@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class {0,1}


@data
1.094, 2.35, -0.346, 0.183, -0.108, 0
3.01, 0.67, 0.18, 0.122, 0.067, 0
0.762, 3.061, -0.456, -0.209, 0.159, 0
2.87, 0.496, -0.104, -0.066, -0.047, 0
0.355, 1.684, 1.279, 0.477, -0.231, 0
1.4, 1.535, 0.36, 0.265, 0.143, 0
1.72, 1.719, 0.384, 0.37, 0.846, 0
0.362, 1.662, 2.35, -0.636, 0.0, 0
0.27, 1.23, 2.807, -0.812, -0.394, 0
1.055, 1.185, 0.293, 0.182, -0.141, 0
2.399, 0.797, 0.392, -0.116, -0.045, 0
3.065, -0.264, -0.112, -0.067, -0.05, 0
0.118, 0.263, 0.533, 1.373, 1.235, 0
0.151, 0.415, 0.501, 2.147, -0.987, 0
-0.314, -0.724, -0.463, -0.163, -0.101, 0
1.11, 0.729, -0.13, 0.089, 0.094, 0
0.135, 0.436, -0.691, 1.634, 1.761, 0
0.947, 2.345, -0.401, 0.399, 1.167, 0
0.424, 0.428, 1.041, 1.114, 0.792, 0
0.107, 0.288, 0.443, 1.758, 1.26, 0
1.977, 1.376, -0.303, 0.236, -0.095, 0
0.478, 2.114, -0.458, -0.191, -0.116, 0
0.399, 3.177, -0.509, -0.212, -0.141, 0
1.577, 1.626, 0.78, 0.399, 0.394, 0
0.136, 0.627, 1.501, 1.188, 0.0, 0
1.162, 0.738, 0.243, 0.208, -0.088, 0
0.226, 1.21, -0.274, 0.435, 0.55, 0
0.243, 1.265, 2.289, -0.524, 0.0, 0
0.344, 1.121, 2.403, 1.178, -0.41, 0
0.757, 1.605, 0.535, 0.236, -0.099, 0
1.313, 1.111, -0.243, 0.106, -0.065, 0
0.52, 3.048, 0.992, 0.453, 0.0, 0
2.286, 1.321, 0.696, -0.171, 0.204, 0
2.906, 0.775, 0.272, 0.176, 0.25, 0
0.347, 2.162, -0.536, 0.423, -0.164, 0
0.365, 1.946, -0.279, -0.137, -0.091, 0
0.238, 1.965, 0.718, 0.375, 0.0, 0
0.832, 2.759, -0.452, -0.184, -0.13, 0
0.227, 1.501, 1.921, 0.993, 1.152, 0
0.136, 0.369, 0.726, 1.567, 0.0, 0
0.216, 0.365, 0.371, 0.981, 1.464, 0
0.706, 2.348, 1.569, -0.378, -0.173, 0
0.221, 1.265, 1.291, 0.504, -0.197, 0
0.519, 2.216, -0.407, -0.173, -0.095, 0
0.438, 2.465, -0.387, -0.202, -0.194, 0
0.303, 2.881, -0.481, 0.221, 0.157, 0
0.6, 1.791, 1.23, 0.983, 1.141, 0
0.16, 1.252, 1.345, 0.436, -0.179, 0
2.102, 0.355, -0.092, 0.095, -0.047, 0
2.331, 0.652, -0.107, 0.128, -0.051, 0
1.998, 1.349, -0.185, -0.08, 0.104, 0
0.421, 1.055, 2.305, -0.547, 0.344, 0
3.164, -0.263, -0.098, 0.069, -0.057, 0
3.164, 0.728, -0.145, 0.101, 0.054, 0
0.129, 0.355, 0.724, 1.469, 0.0, 0
2.975, 0.585, -0.127, 0.086, -0.05, 0
1.989, 2.52, -0.359, -0.137, -0.09, 0
0.259, 0.381, 0.92, 2.362, -0.833, 0
3.172, 0.774, -0.207, -0.092, -0.056, 0
2.852, 0.393, -0.115, 0.11, 0.099, 0
0.686, 3.259, -0.525, -0.225, 0.157, 0
1.004, 2.024, 0.606, 1.205, -0.397, 0
0.227, 0.987, 2.503, -0.842, 0.616, 0
1.444, 1.336, 0.326, -0.104, 0.12, 0
0.333, 1.645, 1.533, 0.638, 0.0, 0
0.21, 0.847, 1.963, -0.94, -0.732, 0
0.314, 0.497, 1.792, 0.866, 1.159, 0
2.039, 1.226, 0.508, 0.35, -0.135, 0
0.397, 0.967, 2.542, -0.79, -0.333, 0
0.404, 1.029, 2.73, -0.799, -0.338, 0
0.409, 1.351, 1.97, 0.873, -0.322, 0
0.775, 1.66, 0.962, 0.452, 0.246, 0
0.229, 1.118, 1.829, -0.555, 0.0, 0
1.607, 2.311, -0.381, 0.222, 0.163, 0
0.749, 1.506, -0.321, -0.115, 0.079, 0
3.259, 0.65, 0.176, 0.112, -0.066, 0
1.796, 0.858, 0.313, 0.189, -0.131, 0
-0.053, 0.502, 1.327, 1.72, -0.594, 0
0.436, 0.822, 2.479, 1.382, -0.472, 0
