@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class{0,1}
@inputs Aa,Ao,Dcl,Iy,Sh
@outputs Class
@data
1.123, 2.281, -0.331, 0.287, -0.174, 0
3.0, 0.438, 0.136, 0.112, 0.112, 0
0.757, 2.97, -0.461, -0.192, 0.151, 0
2.981, 0.531, -0.134, -0.093, -0.058, 0
0.272, 1.776, 1.417, 0.504, -0.241, 0
1.197, 1.397, 0.353, 0.184, 0.119, 0
1.952, 1.886, 0.387, 0.323, 0.409, 0
0.344, 1.797, 2.33, -0.627, -0.283, 0
0.29, 1.224, 2.774, -0.656, -0.308, 0
1.034, 1.039, 0.257, 0.198, -0.09, 0
2.241, 0.78, 0.341, -0.092, -0.053, 0
2.852, -0.247, -0.104, -0.062, -0.046, 0
0.101, 0.333, 0.52, 1.505, 1.15, 0
0.15, 0.408, 0.536, 2.115, -0.833, 0
-0.993, -0.805, -0.294, -0.151, -0.112, 0
1.141, 0.732, 0.151, 0.088, 0.089, 0
-0.089, -0.227, -0.488, 1.332, 1.273, 0
1.114, 2.285, -0.409, 0.266, 1.002, 0
0.148, 0.495, 1.125, 0.907, 0.82, 0
0.13, 0.394, 0.507, 1.837, 0.985, 0
1.973, 1.483, -0.319, 0.222, -0.101, 0
0.448, 2.085, -0.403, -0.169, -0.09, 0
0.438, 3.303, -0.411, -0.186, -0.166, 0
1.487, 1.554, 0.739, 0.305, 0.337, 0
0.132, 0.588, 1.521, 1.318, -0.437, 0
1.228, 0.904, 0.271, 0.108, 0.082, 0
-0.112, 1.025, -0.216, 0.613, -0.195, 0
0.27, 1.184, 2.32, -0.609, 0.0, 0
0.284, 1.152, 2.329, 1.276, 0.0, 0
0.757, 1.426, 0.594, 0.232, 0.22, 0
1.237, 0.948, -0.251, 0.103, -0.06, 0
0.675, 3.076, 0.902, 0.358, 0.217, 0
2.094, 1.535, 0.75, -0.175, 0.146, 0
2.827, 0.825, 0.298, 0.257, 0.653, 0
0.386, 2.363, -0.524, 0.464, -0.173, 0
0.381, 2.045, -0.306, -0.163, -0.091, 0
-0.197, 1.972, 0.723, 0.477, 0.0, 0
0.89, 2.748, -0.415, -0.176, -0.121, 0
0.216, 1.604, 2.018, 0.773, 0.715, 0
0.179, 0.426, 0.679, 1.696, 0.0, 0
0.223, 0.395, 0.399, 1.208, 1.386, 0
0.699, 2.221, 1.728, -0.482, -0.21, 0
0.165, 1.307, 1.164, 0.551, -0.211, 0
0.542, 2.204, -0.316, -0.17, 0.116, 0
0.442, 2.439, -0.453, -0.226, -0.117, 0
0.27, 2.773, -0.448, 0.247, 0.156, 0
0.57, 1.372, 1.336, 0.604, 1.309, 0
-0.125, 1.264, 1.453, 0.575, 0.0, 0
2.168, 0.402, -0.122, -0.083, -0.051, 0
2.255, 0.648, -0.111, 0.111, -0.049, 0
2.026, 1.547, -0.264, -0.085, 0.088, 0
0.618, 1.016, 2.178, -0.401, 0.533, 0
2.935, -0.233, -0.109, 0.077, 0.063, 0
2.936, 0.788, -0.128, 0.093, 0.061, 0
0.149, 0.355, 0.516, 1.416, 0.0, 0
2.916, 0.539, -0.126, 0.125, -0.06, 0
1.825, 2.402, -0.333, -0.143, -0.097, 0
0.334, 0.442, 0.958, 2.175, -0.879, 0
3.21, 1.435, -0.182, -0.086, -0.06, 0
2.879, 0.424, -0.107, 0.08, -0.055, 0
0.74, 3.439, -0.486, -0.276, 0.284, 0
1.075, 2.002, 0.578, 1.461, -0.355, 0
0.266, 1.04, 2.761, -0.833, 0.651, 0
1.625, 1.636, 0.389, -0.134, 0.125, 0
0.233, 1.784, 1.568, 0.656, -0.307, 0
0.158, 0.825, 1.925, -0.892, -0.4, 0
0.297, 0.428, 1.688, 1.054, 1.12, 0
1.89, 1.009, 0.48, 0.366, -0.179, 0
0.386, 0.998, 2.518, -0.665, -0.302, 0
0.338, 1.087, 2.791, -0.824, -0.381, 0
0.335, 1.056, 1.936, 0.866, -0.264, 0
1.038, 1.656, 0.949, 0.371, 0.632, 0
0.525, 0.974, 1.819, -0.586, 0.362, 0
1.549, 2.37, -0.361, 0.215, 0.596, 0
0.668, 1.559, -0.3, -0.128, -0.07, 0
3.26, 0.431, 0.198, 0.124, 0.394, 0
1.841, 0.911, 0.342, 0.199, -0.323, 0
-0.104, 0.551, 1.352, 1.942, -0.836, 0
0.336, 0.875, 2.576, 1.339, -0.557, 0
0.226, 0.958, 2.176, 1.043, -0.352, 0
0.252, 1.133, 2.402, -0.701, 0.0, 0
1.29, 1.92, -0.346, 0.27, -0.174, 0
3.328, -0.317, 0.134, 0.095, 0.055, 0
0.499, 2.983, -0.67, 0.396, -0.158, 0
1.362, 1.301, 0.486, 0.385, -0.277, 0
1.067, 2.854, -0.433, -0.195, -0.129, 0
0.499, 1.921, -0.791, -0.35, 0.217, 0
1.495, 2.295, 0.593, 0.225, 0.134, 0
0.89, 1.42, -0.319, -0.097, 0.09, 0
0.87, 1.801, 0.956, -0.251, -0.156, 0
0.136, 0.736, 1.847, 1.073, -0.424, 0
0.14, 0.369, 0.453, 2.025, -0.919, 0
0.365, 0.624, 1.886, 0.956, -0.393, 0
0.267, 1.344, 0.978, 0.492, -0.16, 0
0.307, 1.272, 2.656, -0.946, -0.467, 0
0.25, 0.5, 2.194, 0.831, 0.616, 0
0.248, 0.667, 0.729, -0.804, 2.286, 0
0.618, 2.822, -0.629, 0.446, 1.001, 0
0.159, 0.356, 0.591, 1.763, 1.424, 0
0.327, 1.618, -0.42, 0.321, -0.126, 0
0.301, 2.389, 0.648, -0.245, 0.238, 0
0.629, 2.94, -0.743, 0.313, 0.0, 0
0.387, 0.902, 2.307, -0.648, -0.342, 0
0.395, 0.914, 2.53, -0.813, -0.314, 0
0.264, 1.064, 2.082, -0.627, -0.305, 0
0.352, 2.01, 0.611, 0.314, -0.135, 0
1.454, 1.226, -0.265, 0.1, -0.054, 0
0.212, 1.23, 1.895, -0.561, 0.0, 0
-0.185, -0.656, -0.802, -0.64, -0.32, 0
2.064, 0.657, -0.111, 0.107, 0.074, 0
0.154, 0.52, 0.484, -0.534, 0.0, 0
0.434, 2.539, 1.364, -0.374, -0.193, 0
0.229, 1.112, 1.99, 1.062, 0.0, 0
0.817, 0.796, 0.222, -0.066, 0.053, 0
0.729, 2.246, -0.346, -0.176, -0.113, 0
