@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class{0,1}
@inputs Aa,Ao,Dcl,Iy,Sh
@outputs Class
@data
1.127, 2.254, -0.299, 0.172, -0.16, 0
2.991, 0.411, -0.115, 0.109, 0.104, 0
0.729, 3.026, -0.471, -0.192, 0.185, 0
3.055, 0.508, -0.123, -0.075, -0.049, 0
0.346, 1.786, 1.235, 0.459, -0.209, 0
1.274, 1.404, 0.394, 0.185, 0.119, 0
1.712, 1.764, 0.375, 0.511, 0.589, 0
0.34, 1.797, 2.403, -0.652, -0.289, 0
0.264, 1.276, 2.683, -0.635, -0.376, 0
1.086, 1.046, 0.254, 0.202, -0.089, 0
2.163, 0.875, 0.376, -0.095, -0.06, 0
2.891, -0.298, -0.102, 0.079, -0.057, 0
0.09, 0.311, 0.43, 1.454, 1.135, 0
0.145, 0.384, 0.491, 2.14, -0.834, 0
-0.668, -0.709, -0.391, -0.143, -0.089, 0
1.139, 0.866, 0.238, 0.096, 0.081, 0
-0.101, -0.372, -0.421, 0.878, 1.853, 0
1.098, 2.524, -0.429, 0.276, 1.019, 0
0.132, 0.489, 1.098, 0.915, 0.0, 0
0.12, 0.311, 0.426, 1.818, 1.201, 0
1.957, 1.436, -0.279, 0.232, -0.102, 0
0.462, 2.139, -0.388, -0.164, -0.089, 0
0.43, 3.32, -0.579, -0.24, -0.151, 0
1.58, 1.639, 0.709, 0.28, 0.357, 0
0.117, 0.571, 1.476, 1.128, -0.35, 0
1.246, 1.017, 0.35, 0.208, 0.131, 0
-0.089, 1.333, -0.289, 0.746, -0.266, 0
0.295, 1.277, 2.28, -0.574, 0.0, 0
0.319, 1.027, 2.416, 1.356, 0.0, 0
0.727, 1.561, 0.564, 0.236, 0.214, 0
1.2, 0.979, -0.232, 0.129, 0.101, 0
0.674, 2.695, 0.917, 0.309, 0.184, 0
2.035, 1.726, 0.717, -0.165, 0.153, 0
2.628, 0.845, 0.402, 0.299, 0.703, 0
0.418, 2.521, -0.509, 0.42, -0.151, 0
0.404, 2.028, -0.358, -0.176, -0.096, 0
-0.194, 2.018, 0.89, 0.504, 0.0, 0
0.902, 2.825, -0.413, -0.171, -0.128, 0
0.233, 1.469, 2.062, 1.012, 1.114, 0
0.15, 0.424, 0.742, 1.839, 0.0, 0
0.108, 0.378, 0.428, 1.134, 1.297, 0
0.662, 2.223, 1.825, -0.417, -0.239, 0
0.169, 1.441, 1.267, 0.545, -0.214, 0
0.668, 2.159, -0.382, -0.154, 0.117, 0
0.487, 2.467, -0.428, -0.213, -0.121, 0
0.279, 2.745, -0.406, 0.231, 0.161, 0
0.675, 1.505, 1.339, 0.665, 0.878, 0
-0.125, 1.458, 1.659, 0.643, 0.0, 0
2.203, 0.377, -0.094, 0.067, 0.048, 0
2.328, 0.651, -0.112, 0.131, -0.051, 0
2.133, 1.473, -0.194, -0.073, 0.09, 0
0.562, 1.013, 2.075, -0.383, 0.528, 0
3.059, -0.314, -0.104, 0.078, -0.051, 0
3.027, 0.863, -0.149, 0.099, 0.063, 0
0.096, 0.337, 0.513, 1.485, 0.0, 0
2.877, 0.52, -0.129, 0.13, -0.057, 0
1.887, 2.525, -0.323, -0.149, -0.11, 0
0.348, 0.475, 0.973, 2.294, -0.962, 0
3.5, 1.474, -0.182, -0.045, -0.032, 0
2.954, 0.435, -0.11, 0.086, -0.061, 0
0.724, 3.408, -0.449, -0.215, 0.169, 0
1.104, 2.076, 0.701, 1.452, -0.314, 0
0.25, 1.027, 2.634, -0.859, 0.611, 0
1.508, 1.749, 0.569, -0.174, 0.0, 0
0.245, 1.495, 1.543, 0.718, -0.4, 0
0.317, 0.804, 1.952, -0.885, -0.378, 0
0.34, 0.428, 1.703, 1.236, 1.018, 0
1.843, 1.023, 0.369, 0.204, -0.137, 0
0.378, 0.982, 2.602, -0.623, -0.331, 0
0.308, 1.127, 2.844, -0.784, -0.377, 0
0.296, 1.004, 1.78, 0.807, -0.361, 0
1.107, 1.683, 1.012, 0.521, 0.316, 0
0.466, 1.018, 1.778, -0.431, -0.202, 0
1.612, 2.319, -0.385, 0.22, 0.164, 0
0.598, 1.583, -0.355, -0.152, -0.075, 0
3.381, 0.566, 0.22, 0.202, 0.565, 0
1.902, 0.911, 0.354, 0.189, -0.293, 0
0.111, 0.558, 1.359, 2.035, -0.662, 0
0.328, 0.901, 2.62, 1.194, -0.555, 0
0.279, 0.929, 2.174, 1.115, -0.46, 0
0.219, 1.027, 2.399, -0.68, 0.0, 0
1.087, 1.908, -0.373, 0.25, -0.18, 0
3.397, -0.285, 0.183, 0.114, -0.059, 0
0.566, 2.962, -0.624, 0.388, -0.181, 0
1.313, 1.232, 0.433, 0.375, -0.391, 0
1.141, 2.928, -0.455, -0.207, -0.138, 0
0.55, 1.931, -0.482, -0.207, -0.128, 0
1.7, 2.193, 0.514, 0.222, -0.132, 0
0.864, 1.505, -0.241, -0.13, 0.097, 0
0.686, 1.876, 1.048, -0.326, -0.158, 0
