@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class{0,1}
@inputs Aa,Ao,Dcl,Iy,Sh
@outputs Class
@data
1.115, 2.261, -0.346, 0.275, -0.156, 0
2.963, 0.322, 0.206, 0.088, 0.11, 0
0.762, 3.019, -0.482, -0.194, 0.187, 0
2.999, 0.473, -0.124, -0.072, -0.048, 0
0.334, 1.78, 1.431, 0.65, -0.232, 0
1.233, 1.407, 0.373, 0.184, 0.117, 0
1.95, 1.598, 0.495, 0.252, 0.503, 0
0.337, 1.78, 2.348, -0.639, -0.286, 0
0.289, 1.29, 2.774, -0.784, -0.337, 0
1.017, 1.05, 0.256, 0.202, -0.089, 0
2.384, 0.771, 0.374, -0.118, -0.051, 0
2.725, -0.239, -0.101, -0.06, -0.045, 0
0.096, 0.326, 0.449, 1.419, 1.145, 0
0.154, 0.388, 0.555, 2.153, -0.829, 0
-1.046, -1.081, -0.35, -0.149, -0.126, 0
1.288, 0.722, 0.123, 0.095, 0.106, 0
-0.24, -0.446, -0.452, 0.939, 1.058, 0
1.094, 2.253, -0.441, 0.33, 0.929, 0
0.133, 0.503, 1.141, 0.981, 0.826, 0
0.108, 0.298, 0.471, 1.854, 1.152, 0
1.973, 1.482, -0.319, 0.222, -0.101, 0
0.463, 2.106, -0.409, -0.187, -0.098, 0
0.422, 3.294, -0.51, -0.203, -0.133, 0
1.482, 1.573, 0.795, 0.349, 0.318, 0
0.13, 0.56, 1.377, 1.336, -0.43, 0
1.304, 1.082, 0.306, 0.137, 0.104, 0
0.072, 1.116, -0.282, 0.624, -0.243, 0
0.257, 1.155, 2.326, -0.601, 0.0, 0
0.276, 1.107, 2.229, 1.18, 0.0, 0
0.805, 1.398, 0.578, 0.222, 0.206, 0
1.251, 0.944, -0.18, 0.093, 0.0, 0
0.635, 3.054, 0.796, 0.31, 0.201, 0
2.059, 1.637, 0.746, -0.169, 0.157, 0
2.807, 0.776, 0.292, 0.191, 0.561, 0
0.395, 2.376, -0.59, 0.499, -0.181, 0
0.402, 2.047, -0.326, -0.175, -0.092, 0
-0.18, 1.99, 0.772, 0.489, -0.208, 0
0.898, 2.733, -0.381, -0.161, -0.106, 0
0.223, 1.533, 2.011, 0.902, 0.0, 0
0.172, 0.391, 0.64, 1.694, 0.0, 0
0.223, 0.395, 0.399, 1.207, 1.386, 0
0.639, 2.275, 1.741, -0.418, -0.247, 0
0.156, 1.334, 1.158, 0.556, -0.214, 0
0.65, 2.187, -0.387, -0.179, 0.181, 0
0.455, 2.401, -0.457, -0.242, -0.123, 0
0.286, 2.793, -0.459, 0.22, 0.156, 0
0.647, 1.483, 1.368, 0.627, 1.016, 0
-0.12, 1.159, 1.366, 0.598, -0.285, 0
2.256, 0.508, -0.113, -0.066, -0.046, 0
2.324, 0.65, -0.112, 0.131, -0.052, 0
2.101, 1.502, -0.196, -0.085, 0.09, 0
0.58, 1.03, 2.133, -0.391, 0.541, 0
3.085, -0.229, -0.104, 0.071, 0.065, 0
2.986, 0.818, -0.128, 0.094, 0.065, 0
0.098, 0.335, 0.508, 1.478, 0.0, 0
2.925, 0.506, -0.129, 0.137, -0.057, 0
1.834, 2.557, -0.313, -0.143, -0.099, 0
0.333, 0.427, 0.952, 2.152, -0.796, 0
2.995, 1.389, -0.242, -0.106, -0.069, 0
2.92, 0.446, -0.105, 0.08, -0.049, 0
0.635, 3.459, -0.525, -0.291, 0.332, 0
1.05, 1.982, 0.613, 1.541, -0.359, 0
0.271, 1.024, 2.694, -0.854, 0.656, 0
1.592, 1.644, 0.581, -0.183, -0.11, 0
0.301, 1.934, 1.666, 0.695, -0.315, 0
0.131, 0.858, 1.839, -0.834, -0.411, 0
0.294, 0.453, 1.748, 0.946, 1.138, 0
1.889, 1.009, 0.479, 0.366, -0.179, 0
0.371, 0.961, 2.531, -0.704, -0.379, 0
0.325, 1.122, 2.831, -0.798, -0.366, 0
0.328, 1.107, 1.964, 0.776, -0.247, 0
1.134, 1.628, 1.065, 0.4, 0.601, 0
0.651, 1.128, 1.883, -0.506, 0.417, 0
1.612, 2.32, -0.385, 0.22, 0.163, 0
0.608, 1.52, -0.344, -0.129, -0.074, 0
3.43, 0.548, 0.239, 0.161, 0.286, 0
1.854, 0.906, 0.339, 0.2, -0.32, 0
-0.082, 0.579, 1.385, 1.848, -0.912, 0
0.334, 0.9, 2.589, 1.297, -0.544, 0
0.234, 0.973, 2.176, 1.023, -0.353, 0
0.225, 1.075, 2.367, -0.734, 0.0, 0
1.284, 1.71, -0.321, 0.249, -0.181, 0
3.388, -0.334, 0.176, 0.112, -0.06, 0
0.495, 2.94, -0.701, 0.4, -0.16, 0
1.362, 1.3, 0.486, 0.385, -0.276, 0
1.102, 2.78, -0.438, -0.205, -0.135, 0
0.398, 1.887, -0.485, -0.292, 0.293, 0
1.669, 2.226, 0.545, 0.229, -0.139, 0
0.898, 1.405, -0.344, -0.113, 0.0, 0
0.928, 1.866, 1.028, -0.282, -0.136, 0
0.146, 0.75, 1.779, 1.066, -0.592, 0
0.113, 0.303, 0.498, 2.092, -0.919, 0
0.363, 0.694, 1.93, 0.798, -0.367, 0
0.334, 1.312, 0.99, 0.464, -0.201, 0
0.296, 1.257, 2.688, -0.762, -0.372, 0
0.245, 0.484, 1.991, 0.879, 0.608, 0
0.187, 0.518, 0.709, -0.783, 1.877, 0
0.559, 2.887, -0.677, 0.487, 0.942, 0
0.134, 0.329, 0.443, 1.537, 1.551, 0
0.273, 1.623, -0.435, 0.226, -0.093, 0
0.27, 2.186, 0.949, -0.248, 0.219, 0
0.515, 2.984, -0.793, 0.352, -0.202, 0
0.388, 0.955, 2.328, -0.656, -0.296, 0
0.263, 0.913, 2.603, -0.687, -0.337, 0
0.209, 1.072, 2.069, -0.636, -0.238, 0
0.375, 2.068, 0.612, 0.311, -0.129, 0
1.386, 1.298, -0.23, 0.109, 0.095, 0
0.21, 1.195, 1.902, -0.557, 0.0, 0
-0.191, -0.863, -0.927, -0.577, -0.297, 0
2.089, 0.672, -0.1, 0.078, 0.065, 0
