@relation yeast-0-2-5-6_vs_3-7-8-9
@attribute mcg real [0.19, 1.0]
@attribute gvh real [0.14, 1.0]
@attribute alm real [0.21, 1.0]
@attribute mit real [0.0, 1.0]
@attribute erl real [0.5, 1.0]
@attribute pox real [0.0, 0.83]
@attribute vac real [0.13, 0.73]
@attribute nuc real [0.0, 0.83]
@attribute class {positive, negative}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs class
@data
0.59, 0.53, 0.43, 0.44, 0.5, 0.0, 0.5, 0.22, negative
0.45, 0.58, 0.48, 0.67, 0.5, 0.0, 0.52, 0.22, negative
0.43, 0.35, 0.52, 0.52, 0.5, 0.0, 0.54, 0.22, negative
0.5, 0.54, 0.53, 0.54, 0.5, 0.0, 0.51, 0.27, negative
0.5, 0.58, 0.46, 0.46, 0.5, 0.0, 0.46, 0.22, negative
0.54, 0.52, 0.63, 0.37, 0.5, 0.0, 0.46, 0.22, negative
0.78, 0.75, 0.4, 0.28, 0.5, 0.0, 0.53, 0.22, negative
0.64, 0.62, 0.29, 0.28, 0.5, 0.0, 0.51, 0.22, negative
0.55, 0.53, 0.55, 0.46, 0.5, 0.0, 0.52, 0.22, negative
0.58, 0.62, 0.54, 0.17, 0.5, 0.0, 0.48, 0.22, negative
0.57, 0.57, 0.44, 0.37, 0.5, 0.0, 0.52, 0.25, negative
0.42, 0.58, 0.41, 0.65, 0.5, 0.0, 0.46, 0.26, negative
0.49, 0.6, 0.43, 0.56, 0.5, 0.0, 0.36, 0.22, negative
0.53, 0.44, 0.51, 0.33, 0.5, 0.0, 0.52, 0.22, negative
0.69, 0.5, 0.49, 0.42, 0.5, 0.0, 0.49, 0.22, negative
0.53, 0.56, 0.49, 0.46, 0.5, 0.0, 0.52, 0.22, negative
0.45, 0.54, 0.54, 0.62, 0.5, 0.0, 0.53, 0.22, negative
0.47, 0.63, 0.66, 0.45, 0.5, 0.0, 0.37, 0.11, negative
0.48, 0.57, 0.52, 0.61, 0.5, 0.0, 0.51, 0.22, negative
0.45, 0.48, 0.63, 0.67, 0.5, 0.0, 0.48, 0.22, negative
0.48, 0.47, 0.54, 0.55, 0.5, 0.0, 0.51, 0.65, negative
0.59, 0.57, 0.43, 0.26, 0.5, 0.0, 0.51, 0.22, negative
0.36, 0.4, 0.53, 0.48, 0.5, 0.0, 0.48, 0.22, negative
0.51, 0.42, 0.56, 0.38, 0.5, 0.0, 0.46, 0.22, negative
0.41, 0.54, 0.58, 0.2, 0.5, 0.0, 0.52, 0.22, negative
0.57, 0.4, 0.62, 0.3, 0.5, 0.0, 0.48, 0.11, negative
0.5, 0.46, 0.64, 0.36, 0.5, 0.0, 0.49, 0.22, negative
0.6, 0.51, 0.6, 0.38, 0.5, 0.83, 0.52, 0.24, negative
0.58, 0.52, 0.61, 0.33, 0.5, 0.0, 0.38, 0.11, negative
0.56, 0.5, 0.61, 0.49, 0.5, 0.0, 0.46, 0.28, negative
0.6, 0.46, 0.59, 0.16, 0.5, 0.0, 0.49, 0.22, negative
0.61, 0.46, 0.51, 0.37, 0.5, 0.0, 0.51, 0.22, negative
0.54, 0.64, 0.5, 0.13, 0.5, 0.0, 0.49, 0.22, negative
0.46, 0.46, 0.56, 0.12, 0.5, 0.0, 0.55, 0.22, negative
0.39, 0.28, 0.54, 0.14, 0.5, 0.0, 0.59, 0.22, negative
0.6, 0.54, 0.54, 0.53, 0.5, 0.0, 0.52, 0.27, negative
0.47, 0.54, 0.53, 0.77, 0.5, 0.0, 0.52, 0.36, negative
0.47, 0.56, 0.46, 0.5, 0.5, 0.0, 0.51, 0.22, negative
0.47, 0.58, 0.47, 0.52, 0.5, 0.0, 0.54, 0.22, negative
0.47, 0.52, 0.54, 0.25, 0.5, 0.0, 0.54, 0.29, negative
0.51, 0.39, 0.56, 0.55, 0.5, 0.0, 0.46, 0.64, negative
0.58, 0.63, 0.52, 0.7, 0.5, 0.0, 0.46, 0.22, negative
0.46, 0.62, 0.46, 0.54, 0.5, 0.0, 0.51, 0.27, negative
0.52, 0.53, 0.58, 0.69, 0.5, 0.0, 0.5, 0.22, negative
0.38, 0.47, 0.47, 0.18, 0.5, 0.0, 0.44, 0.26, negative
0.43, 0.57, 0.51, 0.49, 0.5, 0.0, 0.48, 0.22, negative
0.52, 0.56, 0.54, 0.53, 0.5, 0.0, 0.45, 0.22, negative
0.42, 0.31, 0.62, 0.12, 0.5, 0.0, 0.4, 0.22, negative
0.37, 0.51, 0.57, 0.4, 0.5, 0.0, 0.48, 0.27, negative
0.75, 0.67, 0.51, 0.29, 0.5, 0.0, 0.52, 0.36, negative
0.41, 0.41, 0.43, 0.61, 0.5, 0.0, 0.53, 0.22, negative
0.46, 0.61, 0.55, 0.29, 0.5, 0.0, 0.49, 0.22, negative
0.45, 0.4, 0.5, 0.16, 0.5, 0.0, 0.5, 0.22, negative
0.64, 0.56, 0.56, 0.22, 0.5, 0.0, 0.45, 0.22, negative
0.66, 0.62, 0.49, 0.1, 0.5, 0.0, 0.49, 0.22, negative
0.47, 0.39, 0.59, 0.15, 0.5, 0.0, 0.57, 0.22, negative
0.42, 0.47, 0.52, 0.41, 0.5, 0.0, 0.53, 0.32, negative
0.47, 0.39, 0.55, 0.24, 0.5, 0.0, 0.47, 0.22, negative
0.6, 0.5, 0.57, 0.25, 0.5, 0.0, 0.41, 0.26, negative
0.54, 0.49, 0.49, 0.2, 0.5, 0.0, 0.52, 0.22, negative
0.35, 0.66, 0.49, 0.21, 0.5, 0.0, 0.54, 0.25, negative
0.56, 0.41, 0.58, 0.21, 0.5, 0.0, 0.42, 0.22, negative
0.2, 0.26, 0.52, 0.14, 0.5, 0.0, 0.53, 0.44, negative
0.45, 0.56, 0.53, 0.32, 0.5, 0.0, 0.57, 0.22, negative
0.45, 0.4, 0.56, 0.14, 0.5, 0.0, 0.54, 0.22, negative
0.62, 0.58, 0.52, 0.15, 0.5, 0.0, 0.52, 0.29, negative
0.5, 0.5, 0.48, 0.17, 0.5, 0.0, 0.47, 0.26, negative
0.42, 0.39, 0.47, 0.13, 0.5, 0.0, 0.5, 0.27, negative
0.32, 0.38, 0.52, 0.2, 0.5, 0.0, 0.52, 0.28, negative
