@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, positive
0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, positive
0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, positive
0.23, 0.4, 0.48, 0.5, 0.39, 0.28, 0.38, positive
0.29, 0.37, 0.48, 0.5, 0.48, 0.44, 0.52, positive
0.29, 0.52, 0.48, 0.5, 0.42, 0.29, 0.39, positive
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, positive
0.17, 0.38, 0.48, 0.5, 0.45, 0.42, 0.5, positive
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, positive
0.47, 0.29, 0.48, 0.5, 0.51, 0.33, 0.43, positive
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, positive
0.26, 0.26, 0.48, 0.5, 0.34, 0.25, 0.35, positive
0.37, 0.5, 0.48, 0.5, 0.42, 0.36, 0.45, positive
0.42, 0.3, 0.48, 0.5, 0.48, 0.26, 0.36, positive
0.29, 0.47, 0.48, 0.5, 0.41, 0.23, 0.34, positive
0.4, 0.46, 0.48, 0.5, 0.52, 0.49, 0.56, positive
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, positive
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, positive
0.24, 0.57, 0.48, 0.5, 0.63, 0.34, 0.43, positive
0.26, 0.5, 0.48, 0.5, 0.44, 0.32, 0.41, positive
0.34, 0.35, 0.48, 0.5, 0.51, 0.49, 0.56, positive
0.38, 0.3, 0.48, 0.5, 0.43, 0.29, 0.39, positive
0.29, 0.28, 0.48, 0.5, 0.5, 0.42, 0.5, positive
0.24, 0.41, 0.48, 0.5, 0.49, 0.23, 0.34, positive
0.04, 0.31, 0.48, 0.5, 0.41, 0.29, 0.39, positive
0.34, 0.51, 0.48, 0.5, 0.44, 0.37, 0.46, positive
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, positive
0.26, 0.4, 0.48, 0.5, 0.36, 0.26, 0.37, positive
0.44, 0.35, 0.48, 0.5, 0.44, 0.52, 0.59, positive
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, negative
0.48, 0.45, 0.48, 0.5, 0.6, 0.78, 0.8, negative
0.5, 0.66, 0.48, 0.5, 0.31, 0.92, 0.92, negative
0.45, 0.4, 0.48, 0.5, 0.61, 0.74, 0.77, negative
0.5, 0.37, 0.48, 0.5, 0.66, 0.64, 0.69, negative
0.83, 0.37, 0.48, 0.5, 0.61, 0.71, 0.74, negative
0.16, 0.51, 0.48, 0.5, 0.33, 0.39, 0.48, negative
0.7, 0.46, 0.48, 0.5, 0.56, 0.78, 0.73, negative
0.63, 0.65, 0.48, 0.5, 0.66, 0.67, 0.71, negative
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, negative
0.5, 0.57, 0.48, 0.5, 0.71, 0.61, 0.66, negative
0.35, 0.51, 0.48, 0.5, 0.61, 0.71, 0.74, negative
0.68, 0.51, 0.48, 0.5, 0.71, 0.75, 0.78, negative
0.0, 0.51, 0.48, 0.5, 0.35, 0.67, 0.44, negative
0.3, 0.51, 0.48, 0.5, 0.42, 0.61, 0.34, negative
