@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, positive
0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, positive
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, positive
0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0.44, 0.27, 0.48, 0.5, 0.55, 0.52, 0.58, positive
0.4, 0.45, 0.48, 0.5, 0.38, 0.22, 0.0, positive
0.3, 0.16, 0.48, 0.5, 0.56, 0.11, 0.23, positive
0.32, 0.42, 0.48, 0.5, 0.35, 0.28, 0.38, positive
0.38, 0.46, 0.48, 0.5, 0.48, 0.22, 0.29, positive
0.44, 0.35, 0.48, 0.5, 0.55, 0.55, 0.61, positive
0.29, 0.3, 0.48, 0.5, 0.45, 0.03, 0.17, positive
0.54, 0.47, 0.48, 0.5, 0.28, 0.33, 0.42, positive
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, positive
0.36, 0.41, 0.48, 0.5, 0.48, 0.47, 0.54, positive
0.24, 0.43, 0.48, 0.5, 0.54, 0.52, 0.59, positive
0.25, 0.37, 0.48, 0.5, 0.41, 0.33, 0.42, positive
0.41, 0.48, 0.48, 0.5, 0.51, 0.44, 0.51, positive
0.29, 0.41, 0.48, 0.5, 0.48, 0.38, 0.46, positive
0.38, 0.26, 0.48, 0.5, 0.54, 0.16, 0.28, positive
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, positive
0.44, 0.49, 0.48, 0.5, 0.39, 0.38, 0.4, positive
0.43, 0.32, 0.48, 0.5, 0.33, 0.45, 0.52, positive
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, positive
0.35, 0.34, 0.48, 0.5, 0.46, 0.3, 0.27, positive
0.51, 0.49, 0.48, 0.5, 0.53, 0.14, 0.26, positive
0.25, 0.26, 0.48, 0.5, 0.39, 0.32, 0.42, positive
0.61, 0.36, 0.48, 0.5, 0.49, 0.35, 0.44, positive
0.39, 0.31, 0.48, 0.5, 0.38, 0.34, 0.43, positive
0.3, 0.37, 0.48, 0.5, 0.43, 0.18, 0.3, positive
0.44, 0.52, 0.48, 0.5, 0.43, 0.47, 0.54, negative
0.29, 0.47, 0.48, 0.5, 0.71, 0.65, 0.69, negative
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, negative
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, negative
0.33, 0.56, 0.48, 0.5, 0.33, 0.78, 0.8, negative
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, negative
0.33, 0.45, 0.48, 0.5, 0.45, 0.88, 0.89, negative
0.71, 0.4, 0.48, 0.5, 0.71, 0.7, 0.74, negative
0.66, 0.53, 0.48, 0.5, 0.59, 0.66, 0.66, negative
0.63, 0.54, 0.48, 0.5, 0.65, 0.79, 0.81, negative
0.6, 0.5, 1.0, 0.5, 0.54, 0.77, 0.8, negative
0.6, 0.46, 0.48, 0.5, 0.45, 0.81, 0.83, negative
0.39, 0.41, 0.48, 0.5, 0.52, 0.72, 0.75, negative
0.11, 0.5, 0.48, 0.5, 0.58, 0.72, 0.68, negative
0.61, 0.47, 0.48, 0.5, 0.0, 0.8, 0.32, negative
