@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, positive
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, positive
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, positive
0.65, 0.47, 0.48, 0.5, 0.59, 0.3, 0.4, positive
0.28, 0.38, 0.48, 0.5, 0.5, 0.33, 0.42, positive
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, positive
0.42, 0.35, 0.48, 0.5, 0.58, 0.15, 0.27, positive
0.22, 0.36, 0.48, 0.5, 0.35, 0.39, 0.47, positive
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, positive
0.51, 0.37, 0.48, 0.5, 0.35, 0.36, 0.45, positive
0.42, 0.38, 0.48, 0.5, 0.54, 0.34, 0.43, positive
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, positive
0.25, 0.37, 0.48, 0.5, 0.43, 0.26, 0.36, positive
0.44, 0.42, 0.48, 0.5, 0.42, 0.25, 0.2, positive
0.24, 0.43, 0.48, 0.5, 0.37, 0.28, 0.38, positive
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, positive
0.5, 0.49, 0.48, 0.5, 0.49, 0.46, 0.53, positive
0.3, 0.45, 0.48, 0.5, 0.36, 0.21, 0.32, positive
0.35, 0.37, 0.48, 0.5, 0.3, 0.34, 0.43, positive
0.51, 0.46, 0.48, 0.5, 0.58, 0.31, 0.41, positive
0.38, 0.4, 0.48, 0.5, 0.63, 0.25, 0.35, positive
0.47, 0.28, 0.48, 0.5, 0.56, 0.2, 0.25, positive
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, positive
0.41, 0.51, 0.48, 0.5, 0.58, 0.2, 0.31, positive
0.25, 0.51, 0.48, 0.5, 0.37, 0.42, 0.5, positive
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, positive
0.37, 0.44, 0.48, 0.5, 0.42, 0.39, 0.47, positive
0.27, 0.3, 0.48, 0.5, 0.71, 0.28, 0.39, positive
0.16, 0.43, 0.48, 0.5, 0.54, 0.27, 0.37, positive
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, negative
0.34, 0.49, 0.48, 0.5, 0.58, 0.85, 0.8, negative
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, negative
0.12, 0.67, 0.48, 0.5, 0.74, 0.58, 0.63, negative
0.54, 0.49, 0.48, 0.5, 0.4, 0.87, 0.88, negative
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, negative
0.49, 0.42, 0.48, 0.5, 0.53, 0.79, 0.81, negative
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, negative
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, negative
0.41, 0.51, 0.48, 0.5, 0.53, 0.75, 0.78, negative
0.59, 0.56, 0.48, 0.5, 0.55, 0.8, 0.82, negative
0.51, 0.4, 0.48, 0.5, 0.57, 0.62, 0.67, negative
0.36, 0.47, 0.48, 0.5, 0.51, 0.69, 0.72, negative
0.31, 0.36, 0.48, 0.5, 0.58, 0.94, 0.94, negative
0.36, 0.45, 0.48, 0.5, 0.38, 0.79, 0.17, negative
