@relation  sonar
@attribute Band1 numeric
@attribute Band2 numeric
@attribute Band3 numeric
@attribute Band4 numeric
@attribute Band5 numeric
@attribute Band6 numeric
@attribute Band7 numeric
@attribute Band8 numeric
@attribute Band9 numeric
@attribute Band10 numeric
@attribute Band11 numeric
@attribute Band12 numeric
@attribute Band13 numeric
@attribute Band14 numeric
@attribute Band15 numeric
@attribute Band16 numeric
@attribute Band17 numeric
@attribute Band18 numeric
@attribute Band19 numeric
@attribute Band20 numeric
@attribute Band21 numeric
@attribute Band22 numeric
@attribute Band23 numeric
@attribute Band24 numeric
@attribute Band25 numeric
@attribute Band26 numeric
@attribute Band27 numeric
@attribute Band28 numeric
@attribute Band29 numeric
@attribute Band30 numeric
@attribute Band31 numeric
@attribute Band32 numeric
@attribute Band33 numeric
@attribute Band34 numeric
@attribute Band35 numeric
@attribute Band36 numeric
@attribute Band37 numeric
@attribute Band38 numeric
@attribute Band39 numeric
@attribute Band40 numeric
@attribute Band41 numeric
@attribute Band42 numeric
@attribute Band43 numeric
@attribute Band44 numeric
@attribute Band45 numeric
@attribute Band46 numeric
@attribute Band47 numeric
@attribute Band48 numeric
@attribute Band49 numeric
@attribute Band50 numeric
@attribute Band51 numeric
@attribute Band52 numeric
@attribute Band53 numeric
@attribute Band54 numeric
@attribute Band55 numeric
@attribute Band56 numeric
@attribute Band57 numeric
@attribute Band58 numeric
@attribute Band59 numeric
@attribute Band60 numeric
@attribute Type {R,M}


@data
0.013, 0.052, 0.062, 0.052, 0.107, 0.259, 0.23, 0.207, 0.342, 0.428, 0.302, 0.121, 0.33, 0.571, 0.696, 0.975, 1.0, 0.929, 0.621, 0.459, 0.5, 0.503, 0.708, 0.842, 0.811, 0.769, 0.81, 0.62, 0.236, 0.26, 0.63, 0.676, 0.29, 0.439, 0.853, 0.718, 0.48, 0.586, 0.499, 0.287, 0.06, 0.117, 0.274, 0.281, 0.208, 0.066, 0.049, 0.034, 0.017, 0.029, 0.0030, 0.021, 0.0050, 0.02, 0.013, 0.0020, 0.0040, 0.0030, 0.011, 0.0080, R
0.0090, 0.018, 0.0060, 0.0060, 0.026, 0.046, 0.047, 0.0060, 0.042, 0.064, 0.089, 0.16, 0.154, 0.277, 0.218, 0.28, 0.349, 0.282, 0.248, 0.3, 0.43, 0.468, 0.452, 0.503, 0.622, 0.657, 0.663, 0.732, 0.853, 1.0, 0.845, 0.635, 0.631, 0.621, 0.698, 0.587, 0.489, 0.368, 0.204, 0.147, 0.222, 0.145, 0.149, 0.121, 0.114, 0.079, 0.036, 0.015, 0.0080, 0.012, 0.0020, 0.0070, 0.0060, 0.013, 0.011, 0.0050, 0.0090, 0.0050, 0.0060, 0.0020, R
0.052, 0.055, 0.084, 0.032, 0.116, 0.092, 0.103, 0.061, 0.146, 0.284, 0.28, 0.309, 0.266, 0.38, 0.563, 0.438, 0.262, 0.12, 0.668, 0.94, 0.783, 0.535, 0.681, 0.917, 0.761, 0.822, 0.887, 0.609, 0.297, 0.11, 0.132, 0.062, 0.099, 0.401, 0.367, 0.105, 0.192, 0.393, 0.429, 0.255, 0.115, 0.22, 0.188, 0.144, 0.215, 0.236, 0.112, 0.025, 0.028, 0.018, 0.0050, 0.0080, 0.012, 0.0040, 0.012, 0.01, 0.0080, 0.0050, 0.0050, 0.0050, R
0.026, 0.045, 0.039, 0.024, 0.132, 0.132, 0.161, 0.214, 0.085, 0.056, 0.089, 0.086, 0.153, 0.152, 0.185, 0.287, 0.201, 0.275, 0.502, 0.217, 0.498, 0.526, 0.365, 0.577, 0.516, 0.572, 0.401, 0.365, 0.668, 0.866, 0.805, 0.408, 0.338, 0.509, 0.678, 0.731, 0.606, 0.704, 0.885, 0.898, 0.775, 0.725, 0.773, 0.776, 0.601, 0.451, 0.31, 0.186, 0.096, 0.021, 0.021, 0.01, 0.015, 0.01, 0.013, 0.02, 0.0020, 0.02, 0.026, 0.018, R
0.0090, 0.022, 0.024, 0.044, 0.067, 0.077, 0.05, 0.091, 0.123, 0.118, 0.078, 0.11, 0.104, 0.085, 0.046, 0.13, 0.269, 0.295, 0.367, 0.495, 0.628, 0.816, 0.924, 0.871, 0.805, 0.876, 1.0, 0.986, 0.943, 0.811, 0.699, 0.681, 0.659, 0.695, 0.729, 0.668, 0.592, 0.49, 0.344, 0.237, 0.172, 0.101, 0.077, 0.084, 0.026, 0.033, 0.02, 0.031, 0.01, 0.01, 0.0050, 0.0070, 0.0050, 0.0020, 0.0020, 0.0030, 0.0060, 0.0050, 0.0020, 0.0030, R
0.0090, 0.027, 0.022, 0.034, 0.03, 0.117, 0.145, 0.064, 0.074, 0.136, 0.213, 0.374, 0.374, 0.267, 0.233, 0.537, 0.731, 0.766, 0.627, 0.44, 0.433, 0.433, 0.554, 0.736, 0.859, 0.899, 0.942, 0.94, 0.938, 0.858, 0.728, 0.67, 0.755, 0.877, 0.992, 0.992, 0.942, 0.839, 0.66, 0.482, 0.292, 0.177, 0.114, 0.07, 0.158, 0.194, 0.111, 0.069, 0.018, 0.02, 0.031, 0.021, 0.0090, 0.0060, 0.0090, 0.0090, 0.0070, 0.012, 0.0060, 0.011, R
0.018, 0.015, 0.0030, 0.014, 0.042, 0.047, 0.036, 0.074, 0.14, 0.104, 0.09, 0.067, 0.1, 0.106, 0.035, 0.123, 0.163, 0.365, 0.326, 0.3, 0.211, 0.21, 0.208, 0.228, 0.075, 0.197, 0.409, 0.638, 0.797, 0.751, 0.552, 0.221, 0.467, 0.448, 0.23, 0.324, 0.448, 0.558, 0.652, 0.535, 0.248, 0.227, 0.179, 0.09, 0.054, 0.037, 0.099, 0.096, 0.032, 0.014, 0.0080, 0.022, 0.026, 0.014, 0.023, 0.0040, 0.0020, 0.0050, 0.0090, 0.0080, R
0.019, 0.031, 0.02, 0.062, 0.0080, 0.079, 0.144, 0.145, 0.179, 0.252, 0.261, 0.371, 0.391, 0.267, 0.272, 0.418, 0.699, 0.573, 0.223, 0.263, 0.747, 0.726, 0.339, 0.282, 0.605, 0.59, 0.497, 0.862, 0.834, 0.408, 0.227, 0.174, 0.051, 0.159, 0.304, 0.137, 0.16, 0.206, 0.073, 0.02, 0.164, 0.158, 0.183, 0.189, 0.101, 0.066, 0.018, 0.04, 0.011, 0.014, 0.0090, 0.0040, 0.01, 0.014, 0.019, 0.014, 0.01, 0.0090, 0.0050, 0.0080, R
0.0080, 0.0090, 0.0060, 0.025, 0.034, 0.055, 0.053, 0.096, 0.101, 0.124, 0.11, 0.122, 0.187, 0.338, 0.323, 0.272, 0.394, 0.643, 0.727, 0.867, 0.967, 0.985, 0.948, 0.804, 0.683, 0.514, 0.309, 0.083, 0.402, 0.234, 0.19, 0.124, 0.172, 0.235, 0.249, 0.365, 0.338, 0.159, 0.099, 0.109, 0.104, 0.084, 0.139, 0.082, 0.068, 0.066, 0.12, 0.069, 0.015, 0.027, 0.017, 0.018, 0.013, 0.0090, 0.01, 0.0020, 0.0060, 0.0060, 0.0060, 0.0030, R
0.047, 0.051, 0.082, 0.125, 0.178, 0.307, 0.301, 0.236, 0.383, 0.376, 0.302, 0.291, 0.23, 0.141, 0.158, 0.243, 0.447, 0.596, 0.674, 0.797, 0.832, 0.781, 0.863, 0.737, 0.412, 0.26, 0.339, 0.379, 0.449, 0.628, 0.745, 0.733, 0.77, 0.787, 0.605, 0.586, 0.638, 0.728, 0.629, 0.532, 0.407, 0.179, 0.162, 0.253, 0.19, 0.164, 0.06, 0.021, 0.044, 0.018, 0.011, 0.019, 0.012, 0.0060, 0.0040, 0.0050, 0.0050, 0.0080, 0.0030, 0.0030, R
