@relation  sonar
@attribute Band1 numeric
@attribute Band2 numeric
@attribute Band3 numeric
@attribute Band4 numeric
@attribute Band5 numeric
@attribute Band6 numeric
@attribute Band7 numeric
@attribute Band8 numeric
@attribute Band9 numeric
@attribute Band10 numeric
@attribute Band11 numeric
@attribute Band12 numeric
@attribute Band13 numeric
@attribute Band14 numeric
@attribute Band15 numeric
@attribute Band16 numeric
@attribute Band17 numeric
@attribute Band18 numeric
@attribute Band19 numeric
@attribute Band20 numeric
@attribute Band21 numeric
@attribute Band22 numeric
@attribute Band23 numeric
@attribute Band24 numeric
@attribute Band25 numeric
@attribute Band26 numeric
@attribute Band27 numeric
@attribute Band28 numeric
@attribute Band29 numeric
@attribute Band30 numeric
@attribute Band31 numeric
@attribute Band32 numeric
@attribute Band33 numeric
@attribute Band34 numeric
@attribute Band35 numeric
@attribute Band36 numeric
@attribute Band37 numeric
@attribute Band38 numeric
@attribute Band39 numeric
@attribute Band40 numeric
@attribute Band41 numeric
@attribute Band42 numeric
@attribute Band43 numeric
@attribute Band44 numeric
@attribute Band45 numeric
@attribute Band46 numeric
@attribute Band47 numeric
@attribute Band48 numeric
@attribute Band49 numeric
@attribute Band50 numeric
@attribute Band51 numeric
@attribute Band52 numeric
@attribute Band53 numeric
@attribute Band54 numeric
@attribute Band55 numeric
@attribute Band56 numeric
@attribute Band57 numeric
@attribute Band58 numeric
@attribute Band59 numeric
@attribute Band60 numeric
@attribute Type {R,M}


@data
0.086, 0.045, 0.038, 0.02, 0.038, 0.053, 0.214, 0.311, 0.284, 0.275, 0.271, 0.095, 0.102, 0.452, 0.674, 0.67, 0.707, 0.563, 0.378, 0.272, 0.53, 0.77, 0.864, 0.93, 0.937, 0.625, 0.602, 0.681, 0.505, 0.578, 0.475, 0.24, 0.278, 0.2, 0.53, 0.741, 0.778, 0.442, 0.142, 0.351, 0.448, 0.421, 0.305, 0.224, 0.261, 0.28, 0.239, 0.202, 0.133, 0.036, 0.013, 0.017, 0.014, 0.0080, 0.0040, 0.0050, 0.026, 0.01, 0.0040, 0.0040, R
0.0070, 0.023, 0.051, 0.044, 0.025, 0.064, 0.042, 0.113, 0.191, 0.248, 0.161, 0.092, 0.24, 0.322, 0.43, 0.265, 0.067, 0.144, 0.237, 0.26, 0.249, 0.39, 0.638, 0.804, 0.703, 0.687, 0.7, 0.856, 1.0, 0.962, 0.9, 0.758, 0.69, 0.569, 0.44, 0.455, 0.296, 0.159, 0.168, 0.084, 0.117, 0.175, 0.273, 0.17, 0.019, 0.021, 0.035, 0.042, 0.0090, 0.02, 0.02, 0.017, 0.016, 0.0060, 0.0040, 0.0070, 0.0040, 0.0050, 0.019, 0.01, R
0.012, 0.043, 0.06, 0.045, 0.06, 0.036, 0.053, 0.034, 0.105, 0.212, 0.164, 0.19, 0.303, 0.202, 0.059, 0.239, 0.366, 0.381, 0.593, 0.63, 0.58, 0.457, 0.445, 0.369, 0.645, 0.894, 0.898, 0.498, 0.333, 0.235, 0.155, 0.367, 0.434, 0.308, 0.302, 0.411, 0.55, 0.413, 0.55, 0.502, 0.313, 0.28, 0.235, 0.23, 0.116, 0.072, 0.062, 0.032, 0.045, 0.017, 0.0080, 0.0080, 0.0060, 0.017, 0.019, 0.0050, 0.011, 0.02, 0.015, 0.0060, R
0.02, 0.037, 0.043, 0.021, 0.095, 0.099, 0.154, 0.16, 0.311, 0.211, 0.161, 0.158, 0.224, 0.064, 0.066, 0.227, 0.31, 0.3, 0.508, 0.48, 0.578, 0.507, 0.433, 0.555, 0.671, 0.642, 0.71, 0.808, 0.679, 0.386, 0.131, 0.26, 0.512, 0.755, 0.854, 0.851, 0.669, 0.61, 0.494, 0.274, 0.051, 0.283, 0.282, 0.426, 0.264, 0.139, 0.105, 0.134, 0.038, 0.032, 0.023, 0.0030, 0.0060, 0.016, 0.0070, 0.017, 0.018, 0.0080, 0.0090, 0.0030, R
0.0090, 0.017, 0.04, 0.036, 0.068, 0.071, 0.102, 0.089, 0.038, 0.133, 0.13, 0.027, 0.064, 0.071, 0.12, 0.072, 0.122, 0.235, 0.368, 0.392, 0.492, 0.879, 0.961, 0.879, 0.69, 0.694, 0.567, 0.654, 0.78, 0.758, 0.584, 0.632, 0.811, 0.904, 0.865, 0.67, 0.403, 0.237, 0.268, 0.366, 0.327, 0.22, 0.3, 0.22, 0.116, 0.064, 0.046, 0.042, 0.017, 0.017, 0.013, 0.014, 0.019, 0.014, 0.0060, 0.013, 0.022, 0.0090, 0.0080, 0.012, R
0.035, 0.071, 0.033, 0.027, 0.037, 0.079, 0.108, 0.069, 0.03, 0.088, 0.108, 0.098, 0.225, 0.282, 0.21, 0.124, 0.17, 0.094, 0.109, 0.141, 0.127, 0.315, 0.143, 0.226, 0.576, 0.788, 0.716, 0.6, 0.558, 0.63, 0.766, 0.894, 0.844, 0.681, 0.838, 1.0, 0.95, 0.787, 0.565, 0.348, 0.258, 0.23, 0.295, 0.336, 0.302, 0.219, 0.132, 0.108, 0.056, 0.0040, 0.01, 0.016, 0.024, 0.0040, 0.02, 0.011, 0.0040, 0.01, 0.0090, 0.0050, R
0.0020, 0.031, 0.017, 0.023, 0.043, 0.122, 0.195, 0.166, 0.137, 0.143, 0.099, 0.225, 0.244, 0.324, 0.304, 0.241, 0.037, 0.167, 0.304, 0.407, 0.361, 0.199, 0.461, 0.685, 0.727, 0.715, 0.71, 0.852, 1.0, 0.769, 0.484, 0.372, 0.61, 0.511, 0.259, 0.092, 0.095, 0.229, 0.348, 0.21, 0.19, 0.294, 0.221, 0.152, 0.075, 0.061, 0.069, 0.045, 0.034, 0.0080, 0.011, 0.015, 0.0080, 0.0040, 0.011, 0.0080, 0.01, 0.0020, 0.0030, 0.0010, R
0.021, 0.019, 0.013, 0.021, 0.061, 0.061, 0.061, 0.051, 0.099, 0.109, 0.106, 0.118, 0.129, 0.159, 0.168, 0.192, 0.162, 0.165, 0.14, 0.143, 0.243, 0.282, 0.429, 0.644, 0.906, 1.0, 0.809, 0.612, 0.526, 0.368, 0.275, 0.102, 0.134, 0.158, 0.195, 0.179, 0.043, 0.11, 0.176, 0.248, 0.315, 0.292, 0.19, 0.07, 0.076, 0.091, 0.044, 0.024, 0.026, 0.01, 0.014, 0.0070, 0.0060, 0.0080, 0.0090, 0.0040, 0.0030, 0.0020, 0.0050, 0.0020, R
0.024, 0.019, 0.047, 0.044, 0.066, 0.074, 0.138, 0.11, 0.138, 0.138, 0.094, 0.026, 0.15, 0.285, 0.574, 0.828, 0.867, 0.813, 0.904, 0.905, 1.0, 0.998, 0.987, 0.976, 0.901, 0.972, 0.968, 0.763, 0.443, 0.382, 0.473, 0.401, 0.338, 0.317, 0.222, 0.073, 0.269, 0.189, 0.071, 0.106, 0.069, 0.03, 0.089, 0.146, 0.135, 0.039, 0.055, 0.047, 0.02, 0.01, 0.016, 0.0090, 0.015, 0.0080, 0.0020, 0.0080, 0.0040, 0.0030, 0.0040, 0.0020, R
0.045, 0.052, 0.084, 0.069, 0.118, 0.258, 0.216, 0.348, 0.334, 0.287, 0.492, 0.655, 0.692, 0.78, 0.746, 0.944, 1.0, 0.887, 0.802, 0.782, 0.521, 0.405, 0.396, 0.391, 0.325, 0.32, 0.327, 0.277, 0.442, 0.203, 0.379, 0.295, 0.198, 0.234, 0.131, 0.418, 0.384, 0.106, 0.184, 0.197, 0.167, 0.058, 0.14, 0.163, 0.062, 0.02, 0.053, 0.074, 0.041, 0.0060, 0.012, 0.0080, 0.0090, 0.0050, 0.0090, 0.019, 0.014, 0.0050, 0.0050, 0.0040, R
