@relation  sonar
@attribute Band1 real[0.0020,0.137]
@attribute Band2 real[0.0010,0.234]
@attribute Band3 real[0.0020,0.306]
@attribute Band4 real[0.0060,0.426]
@attribute Band5 real[0.0070,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.0030,0.373]
@attribute Band8 real[0.0060,0.459]
@attribute Band9 real[0.0080,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.0030,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.0080,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.0060,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.0010,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.0010,0.035]
@attribute Band55 real[0.0010,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.0010,0.044]
@attribute Type{R,M}
@inputs Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,Band43,Band44,Band45,Band46,Band47,Band48,Band49,Band50,Band51,Band52,Band53,Band54,Band55,Band56,Band57,Band58,Band59,Band60
@outputs Type
@data
0.01, 0.019, 0.016, 0.049, 0.084, 0.101, 0.163, 0.207, 0.27, 0.299, 0.324, 0.356, 0.395, 0.52, 0.695, 0.847, 1.0, 0.928, 0.851, 0.801, 0.814, 0.882, 0.73, 0.611, 0.716, 0.846, 0.632, 0.481, 0.629, 0.715, 0.6, 0.424, 0.411, 0.399, 0.173, 0.198, 0.237, 0.134, 0.158, 0.315, 0.197, 0.205, 0.127, 0.113, 0.195, 0.22, 0.193, 0.15, 0.077, 0.02, 0.012, 0.013, 0.0070, 0.0080, 0.0080, 0.0060, 0.0080, 0.0020, 0.0050, 0.0020, R
0.022, 0.012, 0.017, 0.015, 0.061, 0.103, 0.114, 0.088, 0.116, 0.087, 0.156, 0.078, 0.1, 0.092, 0.066, 0.113, 0.174, 0.257, 0.329, 0.391, 0.544, 0.612, 0.702, 0.761, 0.797, 0.91, 0.881, 0.795, 0.799, 0.718, 0.641, 0.631, 0.593, 0.617, 0.65, 0.676, 0.625, 0.512, 0.389, 0.327, 0.251, 0.153, 0.132, 0.166, 0.122, 0.098, 0.045, 0.027, 0.018, 0.0090, 0.0020, 0.0050, 0.0050, 0.01, 0.013, 0.012, 0.0050, 0.0020, 0.0010, 0.0020, R
0.012, 0.031, 0.017, 0.031, 0.036, 0.01, 0.018, 0.058, 0.112, 0.084, 0.055, 0.085, 0.203, 0.256, 0.187, 0.203, 0.146, 0.285, 0.582, 0.773, 0.785, 0.852, 0.531, 0.365, 0.597, 0.828, 1.0, 0.867, 0.63, 0.459, 0.394, 0.258, 0.282, 0.264, 0.276, 0.27, 0.399, 0.458, 0.394, 0.252, 0.178, 0.135, 0.052, 0.034, 0.089, 0.086, 0.087, 0.044, 0.013, 0.022, 0.019, 0.013, 0.026, 0.022, 0.0070, 0.012, 0.0030, 0.0090, 0.0010, 0.0040, R
0.037, 0.04, 0.032, 0.029, 0.082, 0.134, 0.116, 0.066, 0.016, 0.051, 0.091, 0.254, 0.146, 0.127, 0.122, 0.167, 0.142, 0.128, 0.186, 0.114, 0.207, 0.022, 0.24, 0.255, 0.024, 0.192, 0.475, 0.7, 0.682, 0.644, 0.706, 0.537, 0.66, 0.871, 0.952, 0.96, 0.771, 0.677, 0.643, 0.672, 0.604, 0.516, 0.38, 0.228, 0.152, 0.08, 0.08, 0.075, 0.057, 0.018, 0.0060, 0.0090, 0.016, 0.016, 0.0080, 0.0070, 0.014, 0.0070, 0.0080, 0.0070, R
0.029, 0.038, 0.026, 0.0060, 0.013, 0.061, 0.09, 0.111, 0.097, 0.075, 0.053, 0.121, 0.176, 0.204, 0.273, 0.232, 0.268, 0.293, 0.33, 0.491, 0.54, 0.626, 0.683, 0.753, 0.85, 0.894, 0.993, 0.913, 0.708, 0.632, 0.613, 0.464, 0.28, 0.172, 0.166, 0.256, 0.274, 0.321, 0.272, 0.188, 0.155, 0.252, 0.212, 0.18, 0.147, 0.068, 0.109, 0.092, 0.04, 0.0090, 0.0080, 0.0060, 0.0070, 0.011, 0.0050, 0.01, 0.0040, 0.0060, 0.0050, 0.0090, R
0.046, 0.044, 0.035, 0.046, 0.0070, 0.089, 0.18, 0.174, 0.16, 0.141, 0.269, 0.326, 0.454, 0.578, 0.447, 0.223, 0.216, 0.32, 0.292, 0.424, 0.446, 0.238, 0.642, 0.897, 0.892, 0.753, 0.684, 0.839, 1.0, 0.836, 0.543, 0.458, 0.807, 0.697, 0.392, 0.156, 0.16, 0.216, 0.518, 0.478, 0.234, 0.36, 0.278, 0.181, 0.035, 0.047, 0.032, 0.041, 0.016, 0.0090, 0.012, 0.0070, 0.0030, 0.011, 0.016, 0.015, 0.0070, 0.0080, 0.012, 0.0060, R
0.022, 0.022, 0.027, 0.014, 0.036, 0.078, 0.091, 0.091, 0.115, 0.097, 0.12, 0.11, 0.119, 0.176, 0.239, 0.214, 0.193, 0.176, 0.075, 0.126, 0.2, 0.157, 0.26, 0.539, 0.844, 1.0, 0.868, 0.674, 0.554, 0.464, 0.361, 0.206, 0.162, 0.209, 0.31, 0.234, 0.106, 0.038, 0.053, 0.129, 0.224, 0.192, 0.159, 0.094, 0.084, 0.067, 0.034, 0.047, 0.036, 0.014, 0.0080, 0.014, 0.0040, 0.0050, 0.0070, 0.0020, 0.0050, 0.0020, 0.0010, 0.0020, R
0.016, 0.017, 0.035, 0.0070, 0.019, 0.067, 0.106, 0.07, 0.096, 0.025, 0.08, 0.106, 0.127, 0.089, 0.02, 0.113, 0.283, 0.323, 0.324, 0.433, 0.607, 0.765, 0.92, 0.972, 0.921, 0.754, 0.829, 0.891, 0.731, 0.69, 0.583, 0.494, 0.31, 0.031, 0.024, 0.111, 0.159, 0.137, 0.07, 0.045, 0.062, 0.142, 0.16, 0.138, 0.037, 0.069, 0.087, 0.051, 0.0090, 0.02, 0.012, 0.0090, 0.022, 0.018, 0.0080, 0.0070, 0.0030, 0.0040, 0.0060, 0.0040, R
0.013, 0.015, 0.064, 0.173, 0.256, 0.256, 0.295, 0.411, 0.498, 0.592, 0.583, 0.542, 0.547, 0.531, 0.498, 0.698, 0.829, 0.784, 0.822, 0.936, 1.0, 0.922, 0.784, 0.547, 0.456, 0.592, 0.545, 0.397, 0.088, 0.238, 0.2, 0.059, 0.254, 0.201, 0.033, 0.155, 0.121, 0.245, 0.317, 0.32, 0.305, 0.084, 0.127, 0.138, 0.114, 0.052, 0.0070, 0.028, 0.037, 0.012, 0.015, 0.0090, 0.0040, 0.01, 0.012, 0.0010, 0.018, 0.0090, 0.012, 0.0060, R
0.0060, 0.027, 0.022, 0.056, 0.094, 0.115, 0.071, 0.1, 0.167, 0.186, 0.248, 0.271, 0.293, 0.264, 0.188, 0.14, 0.203, 0.261, 0.278, 0.335, 0.383, 0.4, 0.511, 0.686, 0.749, 0.784, 0.902, 1.0, 0.889, 0.651, 0.608, 0.446, 0.295, 0.173, 0.149, 0.08, 0.177, 0.138, 0.24, 0.205, 0.197, 0.278, 0.138, 0.068, 0.066, 0.166, 0.181, 0.124, 0.052, 0.0040, 0.018, 0.0070, 0.0060, 0.0070, 0.0070, 0.0080, 0.0040, 0.0020, 0.0030, 0.0010, M
