@relation  sonar
@attribute Band1 real[0.0020,0.137]
@attribute Band2 real[0.0010,0.234]
@attribute Band3 real[0.0020,0.306]
@attribute Band4 real[0.0060,0.426]
@attribute Band5 real[0.0070,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.0030,0.373]
@attribute Band8 real[0.0060,0.459]
@attribute Band9 real[0.0080,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.0030,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.0080,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.0060,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.0010,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.0010,0.035]
@attribute Band55 real[0.0010,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.0010,0.044]
@attribute Type{R,M}
@inputs Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,Band43,Band44,Band45,Band46,Band47,Band48,Band49,Band50,Band51,Band52,Band53,Band54,Band55,Band56,Band57,Band58,Band59,Band60
@outputs Type
@data
0.013, 0.0070, 0.031, 0.031, 0.0080, 0.077, 0.077, 0.064, 0.073, 0.09, 0.075, 0.084, 0.123, 0.162, 0.232, 0.293, 0.353, 0.366, 0.322, 0.309, 0.408, 0.428, 0.466, 0.596, 0.695, 0.839, 0.888, 0.64, 0.331, 0.342, 0.492, 0.459, 0.303, 0.437, 0.518, 0.512, 0.475, 0.49, 0.46, 0.446, 0.42, 0.287, 0.23, 0.095, 0.01, 0.053, 0.038, 0.011, 0.011, 0.0080, 0.011, 0.0060, 0.0030, 0.0040, 0.0080, 0.0040, 0.0050, 0.0010, 0.0050, 0.0020, R
0.022, 0.0020, 0.0080, 0.01, 0.044, 0.091, 0.089, 0.066, 0.162, 0.145, 0.144, 0.095, 0.062, 0.164, 0.071, 0.084, 0.259, 0.268, 0.309, 0.468, 0.596, 0.724, 0.877, 0.921, 0.928, 0.994, 1.0, 0.907, 0.854, 0.729, 0.65, 0.607, 0.559, 0.597, 0.628, 0.546, 0.479, 0.396, 0.209, 0.165, 0.184, 0.065, 0.076, 0.049, 0.035, 0.03, 0.024, 0.038, 0.012, 0.0070, 0.0050, 0.0030, 0.013, 0.01, 0.0040, 0.0060, 0.0030, 0.0040, 0.0020, 0.0030, R
0.0090, 0.0050, 0.0080, 0.023, 0.059, 0.068, 0.099, 0.072, 0.058, 0.082, 0.132, 0.186, 0.279, 0.258, 0.224, 0.257, 0.293, 0.299, 0.392, 0.469, 0.566, 0.646, 0.677, 0.758, 0.886, 0.942, 1.0, 0.856, 0.679, 0.559, 0.415, 0.295, 0.202, 0.069, 0.117, 0.216, 0.222, 0.278, 0.231, 0.144, 0.151, 0.174, 0.176, 0.142, 0.091, 0.014, 0.047, 0.048, 0.016, 0.0040, 0.0020, 0.0050, 0.0040, 0.0080, 0.011, 0.0050, 0.0030, 0.0060, 0.0060, 0.0030, R
0.026, 0.044, 0.014, 0.0080, 0.03, 0.044, 0.034, 0.078, 0.084, 0.078, 0.033, 0.206, 0.191, 0.106, 0.146, 0.223, 0.207, 0.11, 0.108, 0.116, 0.222, 0.069, 0.206, 0.238, 0.09, 0.228, 0.587, 0.846, 0.847, 0.768, 0.806, 0.626, 0.654, 0.875, 0.988, 0.935, 0.696, 0.573, 0.587, 0.666, 0.565, 0.525, 0.368, 0.2, 0.151, 0.051, 0.093, 0.098, 0.052, 0.019, 0.01, 0.0040, 0.019, 0.016, 0.0070, 0.01, 0.0070, 0.0080, 0.0090, 0.01, R
0.015, 0.01, 0.011, 0.026, 0.01, 0.039, 0.086, 0.092, 0.095, 0.15, 0.191, 0.212, 0.225, 0.257, 0.17, 0.202, 0.254, 0.342, 0.403, 0.455, 0.552, 0.599, 0.585, 0.711, 0.95, 0.986, 1.0, 0.958, 0.864, 0.713, 0.589, 0.432, 0.29, 0.174, 0.077, 0.23, 0.246, 0.31, 0.331, 0.222, 0.087, 0.206, 0.181, 0.162, 0.112, 0.082, 0.112, 0.095, 0.041, 0.012, 0.0050, 0.0050, 0.0040, 0.0040, 0.0010, 0.0050, 0.0040, 0.0010, 0.0030, 0.0030, R
0.041, 0.065, 0.04, 0.06, 0.05, 0.182, 0.118, 0.102, 0.058, 0.218, 0.246, 0.333, 0.309, 0.261, 0.323, 0.373, 0.42, 0.536, 0.706, 0.82, 0.884, 0.83, 0.761, 0.76, 0.837, 0.89, 0.765, 0.59, 0.304, 0.082, 0.279, 0.724, 0.803, 0.805, 0.768, 0.747, 0.625, 0.173, 0.292, 0.5, 0.522, 0.482, 0.4, 0.388, 0.165, 0.044, 0.066, 0.042, 0.048, 0.024, 0.0070, 0.0060, 0.013, 0.018, 0.0070, 0.02, 0.02, 0.01, 0.0070, 0.0060, R
0.013, 0.0080, 0.019, 0.014, 0.044, 0.067, 0.061, 0.013, 0.09, 0.092, 0.144, 0.148, 0.209, 0.256, 0.26, 0.198, 0.239, 0.313, 0.408, 0.453, 0.489, 0.567, 0.623, 0.674, 0.828, 0.882, 0.92, 0.896, 0.755, 0.674, 0.646, 0.501, 0.366, 0.23, 0.136, 0.212, 0.24, 0.267, 0.286, 0.206, 0.166, 0.263, 0.255, 0.17, 0.147, 0.129, 0.093, 0.072, 0.032, 0.026, 0.014, 0.0040, 0.0030, 0.0020, 0.0020, 0.0050, 0.014, 0.014, 0.0030, 0.0060, R
0.031, 0.049, 0.069, 0.083, 0.0080, 0.02, 0.098, 0.102, 0.202, 0.077, 0.177, 0.256, 0.281, 0.272, 0.323, 0.346, 0.54, 0.791, 0.906, 0.87, 0.767, 0.296, 0.415, 0.604, 0.318, 0.348, 0.616, 0.805, 0.629, 0.5, 0.583, 0.666, 0.412, 0.126, 0.249, 0.468, 0.538, 0.315, 0.214, 0.185, 0.168, 0.233, 0.102, 0.071, 0.062, 0.078, 0.076, 0.084, 0.059, 0.0070, 0.0090, 0.0090, 0.0030, 0.013, 0.019, 0.01, 0.023, 0.018, 0.0050, 0.0040, R
0.022, 0.034, 0.039, 0.024, 0.108, 0.116, 0.14, 0.101, 0.115, 0.178, 0.408, 0.411, 0.397, 0.508, 0.651, 0.807, 0.982, 1.0, 0.941, 0.845, 0.811, 0.846, 0.621, 0.582, 0.774, 0.82, 0.56, 0.299, 0.501, 0.663, 0.575, 0.406, 0.375, 0.348, 0.158, 0.142, 0.213, 0.187, 0.1, 0.24, 0.224, 0.203, 0.071, 0.161, 0.167, 0.17, 0.183, 0.14, 0.051, 0.022, 0.01, 0.0030, 0.01, 0.0080, 0.0080, 0.0090, 0.0030, 0.0030, 0.0010, 0.0070, R
0.037, 0.028, 0.01, 0.057, 0.076, 0.068, 0.097, 0.147, 0.216, 0.254, 0.294, 0.294, 0.266, 0.319, 0.279, 0.253, 0.198, 0.193, 0.283, 0.324, 0.35, 0.332, 0.422, 0.477, 0.481, 0.632, 0.833, 0.946, 1.0, 0.842, 0.552, 0.48, 0.52, 0.397, 0.194, 0.152, 0.201, 0.174, 0.103, 0.224, 0.372, 0.445, 0.394, 0.203, 0.201, 0.219, 0.184, 0.148, 0.097, 0.022, 0.015, 0.01, 0.0020, 0.0020, 0.0060, 0.0090, 0.0010, 0.0090, 0.011, 0.0050, M
