@relation  sonar
@attribute Band1 real[0.0020,0.137]
@attribute Band2 real[0.0010,0.234]
@attribute Band3 real[0.0020,0.306]
@attribute Band4 real[0.0060,0.426]
@attribute Band5 real[0.0070,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.0030,0.373]
@attribute Band8 real[0.0060,0.459]
@attribute Band9 real[0.0080,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.0030,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.0080,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.0060,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.0010,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.0010,0.035]
@attribute Band55 real[0.0010,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.0010,0.044]
@attribute Type{R,M}
@inputs Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,Band43,Band44,Band45,Band46,Band47,Band48,Band49,Band50,Band51,Band52,Band53,Band54,Band55,Band56,Band57,Band58,Band59,Band60
@outputs Type
@data
0.019, 0.037, 0.095, 0.082, 0.025, 0.049, 0.142, 0.197, 0.187, 0.181, 0.214, 0.152, 0.198, 0.484, 0.73, 0.781, 0.791, 0.612, 0.42, 0.281, 0.515, 0.757, 0.86, 1.0, 0.846, 0.68, 0.697, 0.584, 0.477, 0.52, 0.424, 0.159, 0.167, 0.059, 0.397, 0.715, 0.732, 0.351, 0.059, 0.269, 0.42, 0.387, 0.244, 0.2, 0.231, 0.189, 0.196, 0.17, 0.137, 0.04, 0.014, 0.0090, 0.0030, 0.011, 0.0030, 0.0060, 0.0090, 0.0060, 0.0070, 0.0020, R
0.027, 0.0090, 0.014, 0.028, 0.041, 0.076, 0.103, 0.114, 0.079, 0.152, 0.168, 0.137, 0.136, 0.134, 0.214, 0.535, 0.683, 0.56, 0.309, 0.323, 0.443, 0.557, 0.578, 0.617, 0.813, 0.982, 0.982, 0.917, 0.742, 0.774, 0.847, 0.735, 0.667, 0.608, 0.624, 0.597, 0.572, 0.524, 0.292, 0.154, 0.2, 0.203, 0.221, 0.178, 0.135, 0.137, 0.075, 0.047, 0.032, 0.018, 0.0040, 0.0080, 0.0010, 0.0020, 0.0070, 0.0040, 0.012, 0.013, 0.0070, 0.0090, R
0.015, 0.032, 0.06, 0.105, 0.116, 0.173, 0.168, 0.112, 0.089, 0.12, 0.085, 0.152, 0.23, 0.279, 0.34, 0.453, 0.695, 0.881, 0.915, 0.754, 0.674, 0.715, 0.834, 0.77, 0.699, 0.654, 0.504, 0.493, 0.499, 0.416, 0.163, 0.04, 0.064, 0.296, 0.361, 0.187, 0.048, 0.15, 0.24, 0.198, 0.318, 0.238, 0.172, 0.156, 0.156, 0.042, 0.049, 0.048, 0.022, 0.0060, 0.0090, 0.0060, 0.0020, 0.0080, 0.013, 0.0050, 0.0010, 0.0020, 0.0020, 0.0060, R
0.037, 0.028, 0.023, 0.022, 0.018, 0.073, 0.084, 0.103, 0.099, 0.08, 0.156, 0.256, 0.262, 0.118, 0.06, 0.156, 0.224, 0.359, 0.179, 0.326, 0.608, 0.699, 0.839, 0.855, 0.771, 0.622, 0.574, 0.44, 0.406, 0.441, 0.513, 0.596, 0.727, 0.654, 0.59, 0.539, 0.49, 0.408, 0.414, 0.6, 0.72, 0.663, 0.629, 0.409, 0.321, 0.252, 0.148, 0.099, 0.032, 0.027, 0.0070, 0.0010, 0.0040, 0.0020, 0.0010, 0.0070, 0.01, 0.0050, 0.0080, 0.0060, R
0.033, 0.022, 0.027, 0.048, 0.068, 0.098, 0.084, 0.117, 0.076, 0.092, 0.148, 0.052, 0.112, 0.097, 0.117, 0.168, 0.164, 0.12, 0.049, 0.154, 0.348, 0.615, 0.915, 0.936, 0.868, 0.877, 0.855, 0.883, 1.0, 0.83, 0.66, 0.55, 0.572, 0.686, 0.682, 0.514, 0.275, 0.136, 0.155, 0.265, 0.199, 0.188, 0.275, 0.165, 0.058, 0.07, 0.06, 0.046, 0.0020, 0.0070, 0.0040, 0.0020, 0.0030, 0.0060, 0.0050, 0.0060, 0.014, 0.013, 0.0050, 0.0040, R
0.024, 0.022, 0.032, 0.057, 0.033, 0.051, 0.09, 0.071, 0.057, 0.039, 0.193, 0.243, 0.291, 0.261, 0.381, 0.5, 0.302, 0.366, 0.679, 0.731, 0.505, 0.444, 0.699, 0.813, 0.778, 0.894, 0.893, 0.891, 0.861, 0.806, 0.554, 0.245, 0.346, 0.162, 0.247, 0.556, 0.468, 0.098, 0.158, 0.075, 0.332, 0.374, 0.267, 0.108, 0.142, 0.169, 0.074, 0.063, 0.014, 0.023, 0.0060, 0.016, 0.015, 0.0090, 0.011, 0.0090, 0.0050, 0.0020, 0.0070, 0.0020, R
0.0070, 0.01, 0.014, 0.049, 0.025, 0.081, 0.07, 0.074, 0.012, 0.09, 0.029, 0.155, 0.144, 0.104, 0.142, 0.123, 0.089, 0.205, 0.083, 0.152, 0.303, 0.161, 0.067, 0.143, 0.04, 0.165, 0.34, 0.486, 0.521, 0.551, 0.61, 0.599, 0.676, 0.89, 1.0, 0.952, 0.846, 0.707, 0.67, 0.633, 0.51, 0.416, 0.282, 0.17, 0.142, 0.097, 0.088, 0.086, 0.036, 0.023, 0.025, 0.0040, 0.0050, 0.0080, 0.012, 0.01, 0.0050, 0.0030, 0.0070, 0.0060, R
0.023, 0.037, 0.0040, 0.038, 0.046, 0.145, 0.221, 0.119, 0.075, 0.163, 0.271, 0.336, 0.409, 0.44, 0.548, 0.721, 0.814, 0.918, 1.0, 0.942, 0.912, 0.935, 0.748, 0.515, 0.411, 0.344, 0.698, 0.871, 0.901, 0.801, 0.438, 0.132, 0.171, 0.248, 0.304, 0.231, 0.134, 0.206, 0.247, 0.279, 0.161, 0.0060, 0.035, 0.115, 0.133, 0.028, 0.076, 0.063, 0.031, 0.024, 0.012, 0.0060, 0.0020, 0.012, 0.015, 0.0060, 0.0030, 0.0030, 0.01, 0.016, R
0.02, 0.01, 0.032, 0.024, 0.081, 0.153, 0.115, 0.061, 0.132, 0.137, 0.084, 0.027, 0.125, 0.305, 0.558, 0.797, 0.834, 0.806, 0.862, 0.877, 0.941, 0.94, 0.941, 1.0, 0.972, 0.931, 0.935, 0.732, 0.442, 0.324, 0.416, 0.461, 0.403, 0.3, 0.246, 0.135, 0.254, 0.226, 0.16, 0.148, 0.084, 0.057, 0.086, 0.126, 0.115, 0.057, 0.043, 0.042, 0.024, 0.0010, 0.019, 0.013, 0.0080, 0.0070, 0.0040, 0.0060, 0.0050, 0.0050, 0.0070, 0.0050, R
0.038, 0.032, 0.042, 0.035, 0.179, 0.164, 0.089, 0.082, 0.178, 0.205, 0.314, 0.312, 0.369, 0.388, 0.585, 0.787, 0.974, 1.0, 0.984, 0.861, 0.844, 0.906, 0.585, 0.403, 0.595, 0.679, 0.639, 0.5, 0.558, 0.483, 0.473, 0.332, 0.397, 0.389, 0.231, 0.104, 0.131, 0.086, 0.257, 0.318, 0.265, 0.271, 0.171, 0.058, 0.123, 0.22, 0.22, 0.107, 0.042, 0.016, 0.0090, 0.0050, 0.0040, 0.0080, 0.01, 0.0060, 0.0060, 0.0060, 0.0040, 0.0050, R
