@relation  sonar
@attribute Band1 numeric
@attribute Band2 numeric
@attribute Band3 numeric
@attribute Band4 numeric
@attribute Band5 numeric
@attribute Band6 numeric
@attribute Band7 numeric
@attribute Band8 numeric
@attribute Band9 numeric
@attribute Band10 numeric
@attribute Band11 numeric
@attribute Band12 numeric
@attribute Band13 numeric
@attribute Band14 numeric
@attribute Band15 numeric
@attribute Band16 numeric
@attribute Band17 numeric
@attribute Band18 numeric
@attribute Band19 numeric
@attribute Band20 numeric
@attribute Band21 numeric
@attribute Band22 numeric
@attribute Band23 numeric
@attribute Band24 numeric
@attribute Band25 numeric
@attribute Band26 numeric
@attribute Band27 numeric
@attribute Band28 numeric
@attribute Band29 numeric
@attribute Band30 numeric
@attribute Band31 numeric
@attribute Band32 numeric
@attribute Band33 numeric
@attribute Band34 numeric
@attribute Band35 numeric
@attribute Band36 numeric
@attribute Band37 numeric
@attribute Band38 numeric
@attribute Band39 numeric
@attribute Band40 numeric
@attribute Band41 numeric
@attribute Band42 numeric
@attribute Band43 numeric
@attribute Band44 numeric
@attribute Band45 numeric
@attribute Band46 numeric
@attribute Band47 numeric
@attribute Band48 numeric
@attribute Band49 numeric
@attribute Band50 numeric
@attribute Band51 numeric
@attribute Band52 numeric
@attribute Band53 numeric
@attribute Band54 numeric
@attribute Band55 numeric
@attribute Band56 numeric
@attribute Band57 numeric
@attribute Band58 numeric
@attribute Band59 numeric
@attribute Band60 numeric
@attribute Type {R,M}


@data
0.031, 0.034, 0.02, 0.089, 0.157, 0.175, 0.092, 0.135, 0.159, 0.28, 0.334, 0.294, 0.161, 0.334, 0.498, 0.73, 0.735, 0.825, 0.879, 0.966, 1.0, 0.871, 0.647, 0.597, 0.822, 0.776, 0.611, 0.42, 0.299, 0.135, 0.244, 0.562, 0.556, 0.696, 0.73, 0.702, 0.547, 0.142, 0.474, 0.641, 0.438, 0.318, 0.238, 0.281, 0.137, 0.114, 0.103, 0.069, 0.042, 0.012, 0.0070, 0.017, 0.013, 0.014, 0.0090, 0.0050, 0.0030, 0.012, 0.0060, 0.0020, R
0.02, 0.014, 0.018, 0.041, 0.039, 0.025, 0.089, 0.097, 0.084, 0.119, 0.152, 0.132, 0.143, 0.124, 0.065, 0.089, 0.123, 0.185, 0.388, 0.366, 0.23, 0.261, 0.419, 0.585, 0.564, 0.545, 0.477, 0.69, 0.98, 1.0, 0.955, 0.884, 0.766, 0.655, 0.545, 0.459, 0.468, 0.199, 0.07, 0.149, 0.171, 0.165, 0.26, 0.385, 0.375, 0.241, 0.108, 0.022, 0.016, 0.019, 0.012, 0.0030, 0.0070, 0.012, 0.0010, 0.0020, 0.0060, 0.0040, 0.0070, 0.0010, R
0.021, 0.013, 0.053, 0.057, 0.065, 0.143, 0.134, 0.204, 0.157, 0.157, 0.233, 0.178, 0.151, 0.192, 0.206, 0.231, 0.236, 0.13, 0.381, 0.586, 0.45, 0.488, 1.0, 0.868, 0.472, 0.534, 0.62, 0.714, 0.56, 0.373, 0.248, 0.192, 0.139, 0.332, 0.288, 0.323, 0.261, 0.204, 0.24, 0.132, 0.068, 0.033, 0.072, 0.098, 0.079, 0.052, 0.05, 0.023, 0.022, 0.014, 0.031, 0.039, 0.015, 0.0020, 0.01, 0.01, 0.0080, 0.018, 0.011, 0.0070, R
0.066, 0.058, 0.084, 0.037, 0.046, 0.077, 0.077, 0.113, 0.235, 0.184, 0.287, 0.413, 0.365, 0.198, 0.284, 0.404, 0.584, 0.679, 0.609, 0.486, 0.325, 0.201, 0.208, 0.169, 0.248, 0.274, 0.298, 0.466, 0.699, 0.747, 0.796, 0.798, 0.672, 0.694, 0.744, 0.817, 0.891, 1.0, 0.875, 0.706, 0.68, 0.59, 0.462, 0.364, 0.149, 0.122, 0.131, 0.12, 0.058, 0.024, 0.014, 0.014, 0.019, 0.0040, 0.0040, 0.0030, 0.0020, 0.016, 0.011, 0.0080, R
0.02, 0.012, 0.012, 0.024, 0.055, 0.021, 0.089, 0.084, 0.134, 0.12, 0.174, 0.139, 0.204, 0.258, 0.262, 0.21, 0.253, 0.321, 0.433, 0.476, 0.533, 0.606, 0.67, 0.748, 0.893, 0.94, 1.0, 0.978, 0.847, 0.764, 0.67, 0.499, 0.372, 0.22, 0.142, 0.268, 0.263, 0.31, 0.339, 0.212, 0.117, 0.266, 0.22, 0.154, 0.146, 0.104, 0.122, 0.074, 0.049, 0.022, 0.0030, 0.0080, 0.0040, 0.0060, 0.0080, 0.0040, 0.0040, 0.0030, 0.0010, 0.0020, R
0.02, 0.0030, 0.014, 0.0060, 0.013, 0.015, 0.054, 0.021, 0.05, 0.11, 0.084, 0.094, 0.12, 0.042, 0.0030, 0.016, 0.062, 0.213, 0.344, 0.381, 0.382, 0.476, 0.631, 0.752, 0.868, 0.879, 0.79, 0.836, 0.963, 0.962, 0.924, 0.89, 0.971, 0.965, 0.789, 0.531, 0.272, 0.195, 0.137, 0.31, 0.379, 0.41, 0.336, 0.3, 0.275, 0.202, 0.104, 0.045, 0.034, 0.012, 0.0070, 0.011, 0.0070, 0.0060, 0.0030, 0.0010, 0.0010, 0.0020, 0.0060, 0.0040, R
0.0040, 0.0080, 0.0090, 0.039, 0.053, 0.12, 0.124, 0.103, 0.124, 0.089, 0.094, 0.124, 0.16, 0.154, 0.185, 0.173, 0.148, 0.175, 0.146, 0.158, 0.226, 0.198, 0.337, 0.583, 0.85, 1.0, 0.846, 0.662, 0.556, 0.392, 0.323, 0.205, 0.192, 0.223, 0.315, 0.227, 0.08, 0.075, 0.117, 0.197, 0.262, 0.251, 0.198, 0.095, 0.093, 0.096, 0.038, 0.044, 0.034, 0.0060, 0.0080, 0.012, 0.0060, 0.0040, 0.0040, 0.0, 0.0020, 0.0050, 0.0020, 0.0020, R
0.011, 0.0090, 0.012, 0.038, 0.068, 0.086, 0.1, 0.066, 0.094, 0.104, 0.097, 0.05, 0.155, 0.34, 0.48, 0.657, 0.774, 0.783, 0.815, 0.813, 0.83, 0.854, 0.887, 0.889, 0.898, 0.967, 1.0, 0.913, 0.676, 0.466, 0.29, 0.296, 0.175, 0.211, 0.257, 0.228, 0.215, 0.16, 0.037, 0.012, 0.049, 0.029, 0.06, 0.043, 0.037, 0.0020, 0.033, 0.026, 0.018, 0.011, 0.012, 0.0080, 0.0020, 0.012, 0.0050, 0.0080, 0.0080, 0.0060, 0.0060, 0.0040, R
0.044, 0.048, 0.0050, 0.058, 0.028, 0.068, 0.166, 0.149, 0.097, 0.127, 0.111, 0.238, 0.201, 0.214, 0.111, 0.204, 0.247, 0.668, 0.834, 0.825, 0.802, 0.898, 0.966, 0.852, 0.663, 0.324, 0.205, 0.567, 0.573, 0.488, 0.753, 0.76, 0.518, 0.412, 0.556, 0.557, 0.134, 0.383, 0.461, 0.433, 0.256, 0.147, 0.349, 0.266, 0.094, 0.137, 0.134, 0.042, 0.072, 0.064, 0.021, 0.02, 0.022, 0.014, 0.0060, 0.0070, 0.0080, 0.01, 0.0060, 0.01, R
0.025, 0.081, 0.051, 0.024, 0.172, 0.382, 0.373, 0.358, 0.343, 0.22, 0.265, 0.322, 0.558, 0.692, 0.794, 0.715, 0.351, 0.201, 0.268, 0.43, 0.528, 0.349, 0.143, 0.545, 0.634, 0.771, 0.684, 0.802, 0.807, 0.831, 0.779, 0.505, 0.141, 0.277, 0.508, 0.479, 0.136, 0.23, 0.279, 0.383, 0.293, 0.116, 0.17, 0.129, 0.091, 0.08, 0.057, 0.02, 0.011, 0.015, 0.0080, 0.018, 0.0070, 0.0080, 0.0040, 0.012, 0.0030, 0.0040, 0.0080, 0.0050, R
