@relation  ring
@attribute A1 real[-6879.0,6285.0]
@attribute A2 real[-7141.0,6921.0]
@attribute A3 real[-7734.0,7611.0]
@attribute A4 real[-6627.0,7149.0]
@attribute A5 real[-7184.0,6383.0]
@attribute A6 real[-6946.0,6743.0]
@attribute A7 real[-7781.0,6285.0]
@attribute A8 real[-6882.0,6357.0]
@attribute A9 real[-7184.0,7487.0]
@attribute A10 real[-7232.0,6757.0]
@attribute A11 real[-7803.0,7208.0]
@attribute A12 real[-7395.0,6791.0]
@attribute A13 real[-7096.0,6403.0]
@attribute A14 real[-7472.0,7261.0]
@attribute A15 real[-7342.0,7372.0]
@attribute A16 real[-7121.0,6905.0]
@attribute A17 real[-7163.0,7175.0]
@attribute A18 real[-8778.0,6896.0]
@attribute A19 real[-7554.0,5726.0]
@attribute A20 real[-6722.0,7627.0]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
@outputs Class
@data
-79.0, 975.0, -2805.0, 1492.0, 254.0, 982.0, -102.0, -385.0, -87.0, -1045.0, 165.0, 2637.0, -92.0, -2551.0, -3267.0, 1228.0, -226.0, -1792.0, -2537.0, 223.0, 0
-324.0, 2136.0, -941.0, 2172.0, -1073.0, -2308.0, -1267.0, -177.0, -701.0, 1347.0, -637.0, 2636.0, -1878.0, 1584.0, 51.0, -134.0, 463.0, -172.0, 1737.0, -494.0, 0
-165.0, 267.0, -586.0, -1826.0, -129.0, 441.0, 2394.0, -875.0, -673.0, 1418.0, 689.0, -366.0, -921.0, -167.0, -1485.0, -617.0, -1454.0, -3185.0, -1855.0, -1668.0, 0
-399.0, -1486.0, 61.0, -874.0, 9.0, -1219.0, 2223.0, 1184.0, 1098.0, -499.0, -771.0, 2026.0, 1652.0, -1481.0, 892.0, 2909.0, -1274.0, -215.0, 246.0, 456.0, 0
-629.0, -631.0, -836.0, -833.0, 242.0, 548.0, -173.0, 4718.0, -383.0, 621.0, -1782.0, 837.0, -1212.0, -206.0, -496.0, 973.0, -54.0, 1846.0, -706.0, 116.0, 0
5012.0, 2013.0, 879.0, 1079.0, -1589.0, 52.0, -2831.0, -2779.0, -66.0, 178.0, -1262.0, 1651.0, -2581.0, -454.0, -1449.0, 1626.0, 56.0, 1011.0, 874.0, 1626.0, 0
-1038.0, 1036.0, -3737.0, -2153.0, -54.0, 1022.0, 992.0, -2488.0, 2643.0, 58.0, -1086.0, -187.0, 403.0, -234.0, 1117.0, -276.0, 1559.0, 1183.0, -1318.0, -2292.0, 0
388.0, -347.0, 49.0, -2815.0, -205.0, -3588.0, -828.0, -618.0, 1555.0, 701.0, -73.0, 293.0, 1825.0, -3486.0, 8.0, -1337.0, -1584.0, -806.0, 1639.0, -157.0, 0
84.0, 298.0, -398.0, -209.0, -1199.0, -1.0, -1283.0, -14.0, 356.0, -738.0, -453.0, -2064.0, -744.0, 2563.0, -734.0, 1311.0, -882.0, 34.0, -429.0, 141.0, 0
-313.0, -865.0, -1063.0, 909.0, 699.0, 3269.0, 1326.0, 1541.0, -2858.0, 534.0, 998.0, -1853.0, -2059.0, -2168.0, -1215.0, -202.0, 409.0, 72.0, 1564.0, -976.0, 0
1995.0, 1586.0, 925.0, -2019.0, 2276.0, -231.0, 3654.0, -146.0, 963.0, 64.0, -832.0, 1277.0, -234.0, -451.0, 97.0, -249.0, -133.0, -2577.0, -137.0, -1696.0, 0
-232.0, -1722.0, 72.0, 1352.0, 3074.0, -1901.0, 1852.0, -2322.0, -2437.0, 925.0, 2227.0, -82.0, -248.0, 2131.0, -1432.0, 411.0, 2916.0, -451.0, 1243.0, -2675.0, 0
8.0, 2886.0, -889.0, 486.0, 3455.0, 3113.0, -808.0, -766.0, -2418.0, 2396.0, -1263.0, 271.0, 2727.0, 231.0, 1784.0, 2655.0, -31.0, -2095.0, -2012.0, 793.0, 0
994.0, -1328.0, -87.0, 1958.0, -907.0, 1656.0, -1805.0, 1517.0, -301.0, -861.0, 809.0, 3846.0, -95.0, -1158.0, -638.0, -615.0, 484.0, 5202.0, 202.0, 1185.0, 0
3512.0, 165.0, 1692.0, 77.0, 378.0, 445.0, 222.0, 1289.0, -1612.0, 1904.0, 16.0, 1074.0, 881.0, 4053.0, 975.0, -1667.0, 483.0, 139.0, -23.0, -1576.0, 0
678.0, 2192.0, -3001.0, -2472.0, -1544.0, 228.0, -95.0, -3302.0, 603.0, -138.0, 1181.0, 42.0, 236.0, -953.0, 2244.0, -244.0, 41.0, 799.0, -1266.0, 994.0, 0
-277.0, -399.0, 2745.0, -1312.0, 1287.0, 458.0, 326.0, 528.0, 1183.0, 1414.0, -2288.0, -1242.0, -1529.0, 2203.0, -48.0, 1171.0, 1153.0, -2249.0, 107.0, -2024.0, 0
-239.0, 953.0, 7.0, 46.0, -168.0, -1978.0, -266.0, -1302.0, 449.0, -1305.0, -429.0, -2064.0, 1683.0, -852.0, -865.0, 239.0, 848.0, 268.0, -1398.0, -1219.0, 0
-2695.0, 2625.0, -1968.0, -2552.0, 2488.0, -861.0, -398.0, 2217.0, 354.0, 427.0, 2642.0, 43.0, 3056.0, -2077.0, 1.0, 6905.0, -523.0, 288.0, -2178.0, 748.0, 0
2958.0, -705.0, 79.0, 327.0, 2517.0, -847.0, -317.0, 1215.0, 3788.0, -126.0, 224.0, 207.0, -3046.0, 886.0, 2015.0, -248.0, 32.0, 1112.0, -316.0, 1652.0, 0
59.0, 328.0, -3968.0, -1158.0, 1402.0, -673.0, -172.0, -1816.0, 1965.0, 668.0, 147.0, -1927.0, 2073.0, -422.0, 1827.0, -449.0, 1655.0, -2434.0, -2571.0, 1135.0, 0
-876.0, -117.0, -274.0, 266.0, 538.0, 1536.0, 1306.0, -2234.0, -295.0, 1381.0, 1739.0, -1997.0, 137.0, -1753.0, -741.0, -1123.0, 689.0, -3467.0, -121.0, 1511.0, 0
-2119.0, 3068.0, -8.0, -1398.0, -422.0, -136.0, 1896.0, -1723.0, -1598.0, -534.0, -2418.0, -3927.0, -89.0, -1072.0, 673.0, -422.0, 1297.0, 47.0, 619.0, -4568.0, 0
1305.0, 204.0, -394.0, 953.0, 222.0, -1443.0, 5.0, 1049.0, 1833.0, -1816.0, 2768.0, -928.0, -195.0, 1521.0, 3833.0, -193.0, 1984.0, 33.0, -2919.0, -553.0, 0
364.0, -106.0, -2717.0, 1943.0, 408.0, 1248.0, -2237.0, -2963.0, 222.0, 367.0, 1565.0, -2811.0, -62.0, -1715.0, -477.0, -1553.0, -572.0, -3672.0, 4179.0, 1562.0, 0
-1272.0, 43.0, -2129.0, 28.0, -57.0, 291.0, -228.0, -1735.0, 1553.0, -189.0, -788.0, -624.0, -2277.0, -2186.0, 196.0, -564.0, -1113.0, -301.0, 4733.0, 1461.0, 0
1588.0, -296.0, 3758.0, -133.0, -1779.0, 2704.0, 118.0, -111.0, -2692.0, 745.0, -1015.0, 1813.0, -1483.0, 1937.0, -1983.0, -1577.0, 2368.0, 63.0, -1849.0, 2136.0, 0
1867.0, -1394.0, 1236.0, -2669.0, 3848.0, -3277.0, -1595.0, 546.0, -654.0, 451.0, -1525.0, -478.0, 2323.0, 3621.0, -17.0, 1516.0, -137.0, 92.0, -1412.0, -2374.0, 0
