@relation  winequality-red
@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {0,1,2,3,4,5,6,7,8,9,10}


@data
8.3, 1.02, 0.02, 3.4, 0.084, 6.0, 11.0, 0.99892, 3.48, 0.49, 11.0, 3
9.9, 0.5, 0.24, 2.3, 0.103, 6.0, 14.0, 0.9978, 3.34, 0.52, 10.0, 4
7.5, 0.38, 0.48, 2.6, 0.073, 22.0, 84.0, 0.9972, 3.32, 0.7, 9.6, 4
7.6, 0.68, 0.02, 1.3, 0.072, 9.0, 20.0, 0.9965, 3.17, 1.08, 9.2, 4
6.7, 1.04, 0.08, 2.3, 0.067, 19.0, 32.0, 0.99648, 3.52, 0.57, 11.0, 4
7.9, 0.885, 0.03, 1.8, 0.058, 4.0, 8.0, 0.9972, 3.36, 0.33, 9.1, 4
9.3, 0.32, 0.57, 2.0, 0.074, 27.0, 65.0, 0.9969, 3.28, 0.79, 10.7, 5
8.7, 0.29, 0.52, 1.6, 0.113, 12.0, 37.0, 0.9969, 3.25, 0.58, 9.5, 5
10.3, 0.34, 0.52, 2.8, 0.159, 15.0, 75.0, 0.9998, 3.18, 0.64, 9.4, 5
8.8, 0.47, 0.49, 2.9, 0.085, 17.0, 110.0, 0.9982, 3.29, 0.6, 9.8, 5
9.3, 0.48, 0.29, 2.1, 0.127, 6.0, 16.0, 0.9968, 3.22, 0.72, 11.2, 5
7.8, 0.57, 0.31, 1.8, 0.069, 26.0, 120.0, 0.99625, 3.29, 0.53, 9.3, 5
8.9, 0.75, 0.14, 2.5, 0.086, 9.0, 30.0, 0.99824, 3.34, 0.64, 10.5, 5
7.2, 0.695, 0.13, 2.0, 0.076, 12.0, 20.0, 0.99546, 3.29, 0.54, 10.1, 5
6.6, 0.705, 0.07, 1.6, 0.076, 6.0, 15.0, 0.9962, 3.44, 0.58, 10.7, 5
7.6, 0.39, 0.31, 2.3, 0.082, 23.0, 71.0, 0.9982, 3.52, 0.65, 9.7, 5
8.1, 0.725, 0.22, 2.2, 0.072, 11.0, 41.0, 0.9967, 3.36, 0.55, 9.1, 5
7.2, 0.58, 0.03, 2.3, 0.077, 7.0, 28.0, 0.99568, 3.35, 0.52, 10.0, 5
7.8, 0.6, 0.26, 2.0, 0.08, 31.0, 131.0, 0.99622, 3.21, 0.52, 9.9, 5
10.7, 0.9, 0.34, 6.6, 0.112, 23.0, 99.0, 1.00289, 3.22, 0.68, 9.3, 5
6.4, 0.4, 0.23, 1.6, 0.066, 5.0, 12.0, 0.9958, 3.34, 0.56, 9.2, 5
9.3, 0.43, 0.44, 1.9, 0.085, 9.0, 22.0, 0.99708, 3.28, 0.55, 9.5, 5
7.7, 0.54, 0.26, 1.9, 0.089, 23.0, 147.0, 0.99636, 3.26, 0.59, 9.7, 5
7.3, 0.38, 0.21, 2.0, 0.08, 7.0, 35.0, 0.9961, 3.33, 0.47, 9.5, 5
10.7, 0.46, 0.39, 2.0, 0.061, 7.0, 15.0, 0.9981, 3.18, 0.62, 9.5, 5
7.1, 0.65, 0.18, 1.8, 0.07, 13.0, 40.0, 0.997, 3.44, 0.6, 9.1, 5
6.0, 0.5, 0.0, 1.4, 0.057, 15.0, 26.0, 0.99448, 3.36, 0.45, 9.5, 5
7.7, 0.41, 0.76, 1.8, 0.611, 8.0, 45.0, 0.9968, 3.06, 1.26, 9.4, 5
9.6, 0.68, 0.24, 2.2, 0.087, 5.0, 28.0, 0.9988, 3.14, 0.6, 10.2, 5
8.1, 0.575, 0.22, 2.1, 0.077, 12.0, 65.0, 0.9967, 3.29, 0.51, 9.2, 5
7.1, 0.68, 0.0, 2.2, 0.073, 12.0, 22.0, 0.9969, 3.48, 0.5, 9.3, 5
