@relation  winequality-red
@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {0,1,2,3,4,5,6,7,8,9,10}


@data
7.3, 0.98, 0.05, 2.1, 0.061, 20.0, 49.0, 0.99705, 3.31, 0.55, 9.7, 3
7.1, 0.84, 0.02, 4.4, 0.096, 5.0, 13.0, 0.997, 3.41, 0.57, 11.0, 4
7.0, 0.975, 0.04, 2.0, 0.087, 12.0, 67.0, 0.99565, 3.35, 0.6, 9.4, 4
6.3, 1.02, 0.0, 2.0, 0.083, 17.0, 24.0, 0.99437, 3.59, 0.55, 11.2, 4
8.8, 0.61, 0.3, 2.8, 0.088, 17.0, 46.0, 0.9976, 3.26, 0.51, 9.3, 4
5.7, 1.13, 0.09, 1.5, 0.172, 7.0, 19.0, 0.994, 3.5, 0.48, 9.8, 4
5.0, 1.02, 0.04, 1.4, 0.045, 41.0, 85.0, 0.9938, 3.75, 0.48, 10.5, 4
7.6, 0.54, 0.13, 2.5, 0.097, 24.0, 66.0, 0.99785, 3.39, 0.61, 9.4, 5
6.7, 0.54, 0.13, 2.0, 0.076, 15.0, 36.0, 0.9973, 3.61, 0.64, 9.8, 5
9.9, 0.74, 0.28, 2.6, 0.078, 21.0, 77.0, 0.998, 3.28, 0.51, 9.8, 5
8.9, 0.595, 0.41, 7.9, 0.086, 30.0, 109.0, 0.9998, 3.27, 0.57, 9.3, 5
10.2, 0.67, 0.39, 1.9, 0.054, 6.0, 17.0, 0.9976, 3.17, 0.47, 10.0, 5
7.3, 0.59, 0.26, 7.2, 0.07, 35.0, 121.0, 0.9981, 3.37, 0.49, 9.4, 5
6.9, 0.63, 0.02, 1.9, 0.078, 18.0, 30.0, 0.99712, 3.4, 0.75, 9.8, 5
7.0, 0.78, 0.08, 2.0, 0.093, 10.0, 19.0, 0.9956, 3.4, 0.47, 10.0, 5
7.1, 0.72, 0.0, 1.8, 0.123, 6.0, 14.0, 0.99627, 3.45, 0.58, 9.8, 5
8.2, 0.6, 0.17, 2.3, 0.072, 11.0, 73.0, 0.9963, 3.2, 0.45, 9.3, 5
7.8, 0.5, 0.09, 2.2, 0.115, 10.0, 42.0, 0.9971, 3.18, 0.62, 9.5, 5
7.8, 0.61, 0.29, 1.6, 0.114, 9.0, 29.0, 0.9974, 3.26, 1.56, 9.1, 5
7.1, 0.43, 0.42, 5.5, 0.071, 28.0, 128.0, 0.9973, 3.42, 0.71, 10.5, 5
7.8, 0.5, 0.17, 1.6, 0.082, 21.0, 102.0, 0.996, 3.39, 0.48, 9.5, 5
7.2, 0.655, 0.03, 1.8, 0.078, 7.0, 12.0, 0.99587, 3.34, 0.39, 9.5, 5
9.0, 0.785, 0.24, 1.7, 0.078, 10.0, 21.0, 0.99692, 3.29, 0.67, 10.0, 5
8.5, 0.655, 0.49, 6.1, 0.122, 34.0, 151.0, 1.001, 3.31, 1.14, 9.3, 5
7.4, 0.7, 0.0, 1.9, 0.076, 11.0, 34.0, 0.9978, 3.51, 0.56, 9.4, 5
10.0, 0.32, 0.59, 2.2, 0.077, 3.0, 15.0, 0.9994, 3.2, 0.78, 9.6, 5
13.3, 0.43, 0.58, 1.9, 0.07, 15.0, 40.0, 1.0004, 3.06, 0.49, 9.0, 5
10.0, 0.29, 0.4, 2.9, 0.098, 10.0, 26.0, 1.0006, 3.48, 0.91, 9.7, 5
8.5, 0.46, 0.59, 1.4, 0.414, 16.0, 45.0, 0.99702, 3.03, 1.34, 9.2, 5
8.3, 0.705, 0.12, 2.6, 0.092, 12.0, 28.0, 0.9994, 3.51, 0.72, 10.0, 5
8.4, 0.745, 0.11, 1.9, 0.09, 16.0, 63.0, 0.9965, 3.19, 0.82, 9.6, 5
6.9, 0.58, 0.2, 1.75, 0.058, 8.0, 22.0, 0.99322, 3.38, 0.49, 11.7, 5
9.0, 0.82, 0.05, 2.4, 0.081, 26.0, 96.0, 0.99814, 3.36, 0.53, 10.0, 5
7.0, 0.62, 0.08, 1.8, 0.076, 8.0, 24.0, 0.9978, 3.48, 0.53, 9.0, 5
9.2, 0.63, 0.21, 2.7, 0.097, 29.0, 65.0, 0.9988, 3.28, 0.58, 9.6, 5
8.1, 0.56, 0.28, 1.7, 0.368, 16.0, 56.0, 0.9968, 3.11, 1.28, 9.3, 5
6.8, 0.59, 0.1, 1.7, 0.063, 34.0, 53.0, 0.9958, 3.41, 0.67, 9.7, 5
7.5, 0.63, 0.12, 5.1, 0.111, 50.0, 110.0, 0.9983, 3.26, 0.77, 9.4, 5
6.1, 0.64, 0.02, 2.4, 0.069, 26.0, 46.0, 0.99358, 3.47, 0.45, 11.0, 5
8.6, 0.33, 0.4, 2.6, 0.083, 16.0, 68.0, 0.99782, 3.3, 0.48, 9.4, 5
6.1, 0.32, 0.25, 2.3, 0.071, 23.0, 58.0, 0.99633, 3.42, 0.97, 10.6, 5
7.6, 0.49, 0.33, 1.9, 0.074, 27.0, 85.0, 0.99706, 3.41, 0.58, 9.0, 5
8.4, 0.29, 0.4, 1.7, 0.067, 8.0, 20.0, 0.99603, 3.39, 0.6, 10.5, 5
7.7, 0.64, 0.21, 2.2, 0.077, 32.0, 133.0, 0.9956, 3.27, 0.45, 9.9, 5
6.4, 0.57, 0.02, 1.8, 0.067, 4.0, 11.0, 0.997, 3.46, 0.68, 9.5, 5
11.9, 0.58, 0.66, 2.5, 0.072, 6.0, 37.0, 0.9992, 3.05, 0.56, 10.0, 5
8.3, 0.6, 0.25, 2.2, 0.118, 9.0, 38.0, 0.99616, 3.15, 0.53, 9.8, 5
9.2, 0.58, 0.2, 3.0, 0.081, 15.0, 115.0, 0.998, 3.23, 0.59, 9.5, 5
9.7, 0.66, 0.34, 2.6, 0.094, 12.0, 88.0, 0.99796, 3.26, 0.66, 10.1, 5
7.9, 0.37, 0.23, 1.8, 0.077, 23.0, 49.0, 0.9963, 3.28, 0.67, 9.3, 5
10.4, 0.28, 0.54, 2.7, 0.105, 5.0, 19.0, 0.9988, 3.25, 0.63, 9.5, 5
6.2, 0.65, 0.06, 1.6, 0.05, 6.0, 18.0, 0.99348, 3.57, 0.54, 11.95, 5
7.8, 0.56, 0.19, 2.1, 0.081, 15.0, 105.0, 0.9962, 3.33, 0.54, 9.5, 5
7.7, 0.775, 0.42, 1.9, 0.092, 8.0, 86.0, 0.9959, 3.23, 0.59, 9.5, 5
