@relation vowel0
@attribute TT integer [0, 1]
@attribute SpeakerNumber integer [0, 14]
@attribute Sex integer [0, 1]
@attribute F0 real [-5.211, -0.941]
@attribute F1 real [-1.274, 5.074]
@attribute F2 real [-2.487, 1.431]
@attribute F3 real [-1.409, 2.377]
@attribute F4 real [-2.127, 1.831]
@attribute F5 real [-0.836, 2.327]
@attribute F6 real [-1.537, 1.403]
@attribute F7 real [-1.293, 2.039]
@attribute F8 real [-1.613, 1.309]
@attribute F9 real [-1.68, 1.396]
@attribute Class {positive, negative}
@inputs TT, SpeakerNumber, Sex, F0, F1, F2, F3, F4, F5, F6, F7, F8, F9
@outputs Class
@data
0, 0, 0, -2.598, 1.938, -0.846, 1.062, -1.633, 0.764, 0.394, -0.15, 0.277, -0.396, negative
0, 0, 0, -3.941, 2.305, 0.124, 1.771, -1.815, 0.593, -0.435, 0.992, 0.575, -0.301, negative
0, 0, 0, -2.54, 2.144, -1.024, 0.933, -1.567, 1.024, 0.188, -0.047, 0.309, -0.633, negative
0, 0, 0, -3.673, 1.811, -1.405, 1.621, 0.044, 1.572, -0.453, 0.745, -0.066, -0.733, negative
0, 0, 0, -2.946, 1.649, -1.167, 0.788, -0.909, 1.3, -0.562, 0.902, -0.07, -0.842, negative
0, 0, 0, -2.887, 2.131, -0.83, 0.682, -1.557, 0.818, 0.448, -0.382, 0.207, -0.402, negative
0, 0, 0, -2.859, 1.627, -1.14, 0.769, -0.948, 1.39, -0.608, 0.956, -0.204, -0.727, negative
0, 0, 0, -2.081, 1.05, -1.778, 0.411, -0.518, 1.46, -0.576, 0.735, -0.866, -0.172, negative
0, 0, 0, -2.724, 2.067, -1.142, 0.923, -1.157, 1.17, -0.276, 0.172, -0.0080, -0.649, negative
0, 0, 0, -2.69, 1.652, -1.261, 0.674, -0.964, 1.449, -0.593, 1.005, -0.303, -0.541, negative
0, 0, 0, -3.046, 0.387, -1.165, 0.94, -0.386, 1.978, -0.186, 0.811, -0.394, -0.198, negative
0, 0, 0, -3.543, 1.391, -1.22, 0.699, -0.769, 1.579, -0.379, 1.158, 0.181, -0.178, negative
0, 0, 0, -3.171, 0.49, -1.128, 0.911, -0.388, 2.014, -0.212, 0.707, -0.551, -0.187, negative
0, 0, 0, -2.368, 1.727, -1.556, 1.162, -0.819, 0.941, -0.572, 0.345, -0.279, -0.736, negative
0, 1, 0, -2.654, 2.39, -0.0080, 0.07, -1.063, 0.304, -0.105, 0.281, 0.488, -0.382, negative
0, 1, 0, -4.161, 2.937, 0.157, 0.336, -0.968, 0.641, 0.088, 0.237, 0.565, 0.823, negative
0, 1, 0, -4.52, 2.231, -0.088, 0.513, -0.528, 1.246, 0.198, 0.242, 0.161, 0.769, negative
0, 1, 0, -4.275, 0.162, 0.728, 0.662, 0.94, 1.269, 0.711, 0.073, -0.827, -0.655, positive
0, 1, 0, -2.441, 1.415, 0.386, -0.335, -0.187, -0.079, -0.0, -0.175, 0.792, -0.026, negative
0, 1, 0, -4.267, 3.01, 0.172, 0.028, -0.827, 0.532, 0.099, 0.326, 0.34, 0.696, negative
0, 1, 0, -3.03, 1.185, 0.314, -0.121, -0.591, 0.965, 0.353, -0.137, -0.221, 0.075, negative
0, 1, 0, -4.473, 0.373, 0.858, 0.919, 0.778, 1.272, 0.653, -0.216, -0.891, -0.627, positive
0, 1, 0, -3.84, 3.745, 0.121, -0.656, -1.066, 0.329, 0.734, 0.875, -0.295, 0.418, negative
0, 1, 0, -1.895, -0.012, -0.97, -0.152, -0.161, 1.509, 0.487, 0.809, 0.044, -0.264, negative
0, 1, 0, -2.724, 2.998, -0.56, -0.077, -0.944, 0.548, -0.08, 0.4, 0.144, -0.63, negative
0, 1, 0, -2.05, 0.065, -0.938, -0.037, 0.082, 1.561, 0.393, 0.835, -0.029, -0.394, negative
0, 1, 0, -1.978, 1.542, -1.487, -0.096, -0.025, 0.32, -0.063, 0.097, -0.073, -0.381, negative
0, 1, 0, -2.748, 3.217, -0.976, -0.213, -0.792, 0.771, -0.032, 0.223, 0.043, -0.825, negative
0, 1, 0, -3.985, 3.614, 0.584, -0.42, -1.105, -0.174, 0.348, 0.885, -0.165, 0.65, negative
0, 1, 0, -4.88, 3.064, 0.06, 0.434, -0.575, 0.897, 0.25, 0.085, 0.093, 0.445, negative
0, 1, 0, -1.672, 0.328, -0.833, -0.577, -0.363, 0.84, 0.18, 0.682, -0.124, -0.109, negative
0, 1, 0, -2.051, 1.508, -1.641, -0.058, -0.102, 0.346, -0.021, 0.109, -0.147, -0.298, negative
0, 1, 0, -4.136, 3.582, -0.407, -0.038, -0.687, 1.031, 0.491, 0.157, 0.305, 0.028, negative
0, 2, 0, -1.202, -0.253, -2.487, 0.809, -0.367, 2.169, 0.32, 1.034, -1.385, -0.706, positive
0, 2, 0, -1.768, 0.786, -1.468, 1.077, -0.347, 1.704, -0.171, 1.076, -0.691, -0.06, negative
0, 2, 0, -3.813, 3.705, -0.157, 1.561, -1.503, -0.366, -0.581, 1.412, 0.29, -0.099, negative
0, 2, 0, -1.501, 0.847, -1.619, 0.92, -0.488, 1.616, -0.161, 1.127, -0.613, -0.051, negative
0, 2, 0, -4.17, 2.232, -0.389, 1.211, -1.011, 0.57, 0.543, 0.218, 1.206, 0.044, negative
0, 2, 0, -1.393, -0.305, -2.29, 1.1, -0.254, 2.327, 0.363, 0.795, -1.521, -0.756, positive
0, 2, 0, -2.043, 1.95, -0.435, 1.341, -1.049, 0.558, -0.237, 1.237, -0.283, 0.306, negative
0, 2, 0, -2.704, 1.285, -0.908, 1.57, -0.84, 1.044, -0.399, 0.951, 0.345, -0.695, negative
0, 2, 0, -1.22, 0.831, -1.674, 0.94, -0.425, 1.463, -0.063, 1.135, -0.422, 0.06, negative
0, 2, 0, -2.624, 1.653, -0.156, 2.023, -1.052, 0.086, -0.752, 1.341, 0.196, 0.71, negative
0, 2, 0, -4.373, 2.463, -0.171, 1.501, -0.639, 0.292, 0.518, -0.114, 1.127, 0.332, negative
0, 2, 0, -3.545, 1.926, -0.512, 1.732, -1.109, 1.006, 0.021, 0.82, 0.731, -0.639, negative
0, 2, 0, -1.804, 1.556, -0.803, 1.388, -0.989, 0.751, -0.029, 0.963, -0.228, 0.297, negative
0, 3, 0, -3.566, 1.504, 0.94, 1.829, -1.224, 0.178, -1.454, 0.92, 0.767, 1.059, negative
0, 3, 0, -2.375, 1.642, 0.308, 0.255, -0.82, 0.225, -0.092, 0.874, 0.367, -0.525, negative
0, 3, 0, -1.823, -0.578, -1.624, 0.52, 0.052, 1.711, 0.535, 1.318, -0.115, -0.505, positive
0, 3, 0, -2.089, 1.695, -0.528, -0.232, 0.385, -0.137, 0.033, 0.071, 0.033, -0.744, negative
0, 3, 0, -2.475, 1.498, 0.864, 0.397, -1.17, -0.234, -0.388, 0.825, 0.16, 0.057, negative
0, 3, 0, -2.608, 0.839, 0.203, 0.305, -0.851, 0.78, -0.143, 0.607, 0.344, 0.106, negative
0, 3, 0, -2.291, 1.146, 0.352, 0.354, -0.714, 0.08, -0.181, 0.787, 0.709, -0.409, negative
0, 3, 0, -1.537, 0.043, -1.125, -0.213, -0.378, 1.265, 0.33, 0.87, 0.293, -0.393, negative
0, 3, 0, -2.076, 1.413, -0.584, 0.19, -0.35, 0.518, -0.406, 0.313, 0.027, -0.724, negative
0, 4, 1, -4.079, 2.663, -0.048, -0.315, 0.234, 0.861, 0.335, 0.435, -0.546, -0.928, negative
0, 4, 1, -2.445, 1.503, -0.677, -0.46, -0.14, -0.0020, 1.014, 0.061, -0.599, 0.175, negative
0, 4, 1, -3.128, 0.28, 0.955, 1.264, 0.753, 0.437, -0.841, -0.517, -0.473, 0.0, negative
0, 4, 1, -1.693, 0.807, -0.038, -0.051, -0.174, -0.372, 0.117, 0.053, -0.611, 0.3, negative
0, 4, 1, -3.485, -0.86, 0.582, 1.501, 0.578, 1.48, -0.663, -0.602, -0.318, 0.575, positive
0, 4, 1, -2.842, 1.343, -0.713, 0.0030, 0.126, 0.411, 0.538, -0.077, -0.995, 0.092, negative
0, 4, 1, -4.222, 3.886, 0.016, -0.144, -1.132, -0.053, 0.519, 1.024, 0.075, -0.226, negative
0, 4, 1, -2.976, 1.033, -0.222, -0.099, 0.081, 0.052, 0.479, 0.517, -1.105, -0.125, negative
0, 4, 1, -3.003, 1.163, -0.45, 0.328, 0.097, 0.574, 0.427, -0.017, -1.146, -0.06, negative
0, 4, 1, -3.293, 0.93, 0.522, 1.48, 0.249, -0.661, -0.643, -0.094, -0.132, 0.198, negative
0, 4, 1, -4.216, 3.638, 0.192, -0.023, -1.231, -0.32, 0.128, 1.03, 0.061, -0.179, negative
0, 4, 1, -4.077, 2.542, 0.039, 0.082, 0.218, 0.393, 0.324, 0.399, -0.658, -0.964, negative
0, 5, 1, -3.322, -0.303, -0.5, 0.963, 0.921, 0.981, 1.059, -1.079, -1.004, 0.112, positive
0, 5, 1, -3.844, 1.056, -0.19, 1.685, 0.617, 1.245, -0.811, -0.506, -1.128, 0.076, negative
0, 5, 1, -2.665, 0.772, -1.009, 1.307, 0.287, 0.855, -0.466, -0.19, -0.721, 0.407, negative
