@relation vowel0
@attribute TT integer [0, 1]
@attribute SpeakerNumber integer [0, 14]
@attribute Sex integer [0, 1]
@attribute F0 real [-5.211, -0.941]
@attribute F1 real [-1.274, 5.074]
@attribute F2 real [-2.487, 1.431]
@attribute F3 real [-1.409, 2.377]
@attribute F4 real [-2.127, 1.831]
@attribute F5 real [-0.836, 2.327]
@attribute F6 real [-1.537, 1.403]
@attribute F7 real [-1.293, 2.039]
@attribute F8 real [-1.613, 1.309]
@attribute F9 real [-1.68, 1.396]
@attribute Class {positive, negative}
@inputs TT, SpeakerNumber, Sex, F0, F1, F2, F3, F4, F5, F6, F7, F8, F9
@outputs Class
@data
0, 0, 0, -2.287, 1.809, -1.498, 1.012, -1.053, 1.06, -0.567, 0.235, -0.091, -0.795, negative
0, 0, 0, -2.852, 1.914, -0.755, 0.825, -1.588, 0.855, 0.217, -0.246, 0.238, -0.365, negative
0, 0, 0, -2.826, 2.003, -0.738, 0.801, -1.669, 0.939, 0.245, -0.257, 0.256, -0.458, negative
0, 0, 0, -3.635, 2.25, -0.394, 1.012, -1.693, 0.117, 0.665, 0.281, 0.343, -0.0030, negative
0, 0, 0, -3.712, 1.816, -1.171, 0.647, -0.767, 1.698, -0.347, 0.92, 0.159, -0.359, negative
0, 0, 0, -3.015, 2.232, -0.899, 0.574, -1.331, 0.546, 0.61, -0.452, 0.035, -0.156, negative
0, 0, 0, -3.559, 2.126, -0.445, 1.053, -1.765, 0.349, 0.546, 0.321, 0.443, -0.118, negative
0, 0, 0, -2.299, 1.848, -1.695, 1.065, -0.861, 1.047, -0.607, 0.313, -0.253, -0.759, negative
0, 0, 0, -2.911, 1.928, -1.131, 0.899, -0.911, 1.111, -0.208, -0.047, -0.029, -0.539, negative
0, 0, 0, -4.208, 2.447, 0.049, 1.331, -2.088, 0.585, -0.05, 0.82, 0.606, -0.302, negative
0, 0, 0, -2.302, 0.85, -1.646, 0.455, -0.488, 1.491, -0.617, 0.819, -0.887, -0.08, negative
0, 0, 0, -3.141, 1.873, -1.131, 0.941, -0.759, 1.224, -0.354, 0.016, -0.218, -0.568, negative
0, 0, 0, -3.546, 1.258, -1.227, 0.823, -0.702, 1.734, -0.397, 1.333, -0.277, 0.013, negative
0, 1, 0, -4.102, 0.209, 0.414, 0.423, 0.985, 1.434, 0.663, 0.036, -0.784, -0.668, positive
0, 1, 0, -2.321, 1.303, 0.32, -0.085, -0.278, 0.0010, -0.094, -0.283, 0.852, 0.022, negative
0, 1, 0, -3.941, 3.353, 0.486, -0.506, -1.12, 0.101, 0.297, 0.711, -0.078, 0.648, negative
0, 1, 0, -3.902, 3.586, 0.334, -0.669, -1.087, 0.255, 0.461, 0.812, -0.185, 0.535, negative
0, 1, 0, -4.65, 2.455, 0.013, 0.681, -0.8, 1.434, 0.126, 0.036, 0.382, 0.278, negative
0, 1, 0, -3.054, 3.104, -0.513, -0.085, -0.952, 0.299, -0.269, 0.459, 0.892, -0.308, negative
0, 1, 0, -4.323, 2.853, 0.385, 0.209, -1.096, 0.431, 0.119, 0.268, 0.131, 0.654, negative
0, 1, 0, -4.477, 0.246, 1.087, 1.108, 0.682, 1.057, 0.424, -0.264, -1.195, -0.52, positive
0, 1, 0, -2.351, 1.53, 0.086, -0.075, -0.426, 0.125, -0.197, 0.033, 0.848, -0.038, negative
0, 1, 0, -4.16, 3.329, 0.275, 0.394, -1.287, 0.693, 0.483, 0.121, 0.286, 0.153, negative
0, 2, 0, -1.077, 0.511, -2.006, 0.305, -0.584, 1.962, 0.089, 1.406, -0.669, -0.027, negative
0, 2, 0, -3.05, 1.6, -0.686, 1.543, -1.149, -0.043, 0.297, 0.727, 0.598, 0.458, negative
0, 2, 0, -2.652, 2.156, -0.053, 1.694, -1.258, 0.062, -0.61, 1.397, 0.133, 0.602, negative
0, 2, 0, -1.332, 0.848, -1.665, 0.97, -0.463, 1.522, -0.159, 1.101, -0.541, -0.05, negative
0, 2, 0, -1.501, 1.611, -1.003, 1.156, -0.883, 0.901, -0.169, 0.862, -0.151, 0.164, negative
0, 2, 0, -2.176, 1.952, -0.144, 1.659, -1.128, 0.28, -0.658, 1.346, 0.0080, 0.505, negative
0, 2, 0, -1.123, 0.415, -1.954, 0.563, -0.465, 1.983, 0.027, 1.614, -0.568, 0.0070, negative
0, 2, 0, -3.693, 3.067, -0.273, 1.619, -1.905, 0.045, 0.0060, 1.347, 0.346, 0.36, negative
0, 2, 0, -2.53, 1.492, -0.936, 1.21, -1.154, 1.316, -0.267, 1.149, 0.226, -0.77, negative
0, 2, 0, -1.494, 0.663, -1.58, 1.191, -0.252, 1.777, -0.072, 1.189, -0.409, 0.09, negative
0, 2, 0, -2.447, 1.914, -0.208, 1.641, -1.159, 0.104, -0.539, 1.58, 0.058, 0.786, negative
0, 2, 0, -3.675, 3.132, -0.241, 1.587, -1.75, -0.222, 0.039, 1.052, 0.545, 0.233, negative
0, 3, 0, -2.03, 1.764, -0.386, -0.249, 0.18, 0.117, 0.096, -0.121, 0.067, -0.552, negative
0, 3, 0, -3.193, 2.026, 0.83, 0.813, -1.205, 0.036, -0.95, 0.786, 1.045, 0.21, negative
0, 3, 0, -3.601, 0.742, -0.238, 0.332, -0.561, 1.275, -0.014, 0.844, 0.558, 0.659, negative
0, 3, 0, -1.425, 0.256, -1.13, -0.284, -0.394, 1.253, 0.306, 0.893, 0.272, -0.378, negative
0, 3, 0, -2.007, 1.814, -0.581, -0.027, 0.127, 0.081, 0.089, -0.016, 0.115, -0.719, negative
0, 3, 0, -1.656, -0.496, -1.719, 0.363, -0.0020, 1.637, 0.535, 1.319, -0.012, -0.49, positive
0, 3, 0, -1.764, 0.888, -1.001, 0.197, 0.3, 0.66, 0.159, 0.557, -0.301, -0.65, negative
0, 3, 0, -3.179, 1.346, 0.988, 1.32, -0.852, -0.0080, -1.234, 0.347, 1.02, 0.771, negative
0, 3, 0, -3.576, 1.357, 0.912, 1.878, -1.166, 0.039, -1.537, 0.658, 0.843, 1.087, negative
0, 3, 0, -2.052, 1.483, -0.488, 0.041, -0.131, 0.273, -0.112, -0.064, 0.307, -0.8, negative
0, 3, 0, -2.507, 1.528, 0.852, 0.331, -1.231, -0.259, -0.265, 0.856, 0.07, 0.069, negative
0, 3, 0, -2.058, -0.61, -1.497, 0.696, 0.072, 1.802, 0.626, 1.303, -0.192, -0.538, positive
0, 4, 1, -1.566, 0.93, -0.181, -0.155, -0.164, -0.277, 0.144, -0.047, -0.694, 0.282, negative
0, 4, 1, -3.533, 2.319, 1.085, 0.247, -1.053, -0.429, -0.026, 1.305, -0.243, -0.671, negative
0, 4, 1, -2.923, 0.919, -0.231, -0.307, 0.075, 0.265, 0.403, 0.691, -1.012, -0.157, negative
0, 4, 1, -2.689, 0.528, 0.157, 1.501, 0.349, -0.412, -0.49, -0.512, -0.277, 0.422, negative
0, 4, 1, -2.927, 2.202, -0.532, -0.486, -0.519, 0.585, 0.813, -0.133, -0.475, -0.349, negative
0, 4, 1, -2.555, 1.421, -0.8, -0.233, -0.078, 0.244, 0.771, -0.112, -0.707, 0.165, negative
