@relation ecoli-0-1_vs_5
@attribute a1 real [0.0, 89.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
49.0, 29.0, 48.0, 56.0, 24.0, 35.0, negative
7.0, 4.0, 48.0, 54.0, 35.0, 44.0, negative
59.0, 49.0, 48.0, 52.0, 45.0, 36.0, negative
2.0, 44.0, 48.0, 46.0, 51.0, 57.0, negative
44.0, 27.0, 48.0, 55.0, 52.0, 58.0, negative
4.0, 45.0, 48.0, 38.0, 22.0, 0.0, negative
51.0, 54.0, 48.0, 41.0, 34.0, 43.0, negative
36.0, 39.0, 48.0, 48.0, 22.0, 23.0, negative
21.0, 51.0, 48.0, 5.0, 32.0, 41.0, negative
43.0, 37.0, 48.0, 53.0, 35.0, 44.0, negative
29.0, 52.0, 48.0, 42.0, 29.0, 39.0, negative
65.0, 47.0, 48.0, 59.0, 3.0, 4.0, negative
28.0, 38.0, 48.0, 5.0, 33.0, 42.0, negative
44.0, 35.0, 48.0, 55.0, 55.0, 61.0, negative
23.0, 33.0, 48.0, 43.0, 33.0, 43.0, negative
29.0, 3.0, 48.0, 45.0, 3.0, 17.0, negative
22.0, 36.0, 48.0, 35.0, 39.0, 47.0, negative
4.0, 35.0, 48.0, 45.0, 33.0, 42.0, negative
42.0, 3.0, 48.0, 48.0, 26.0, 36.0, negative
44.0, 28.0, 48.0, 43.0, 27.0, 37.0, negative
29.0, 41.0, 48.0, 48.0, 38.0, 46.0, negative
34.0, 55.0, 48.0, 58.0, 31.0, 41.0, negative
52.0, 44.0, 48.0, 37.0, 36.0, 42.0, negative
41.0, 43.0, 48.0, 5.0, 24.0, 25.0, negative
35.0, 37.0, 48.0, 3.0, 34.0, 43.0, negative
33.0, 47.0, 48.0, 53.0, 18.0, 29.0, negative
24.0, 34.0, 48.0, 38.0, 3.0, 4.0, negative
34.0, 51.0, 48.0, 44.0, 37.0, 46.0, negative
4.0, 46.0, 48.0, 42.0, 35.0, 44.0, negative
44.0, 35.0, 48.0, 44.0, 52.0, 59.0, negative
16.0, 43.0, 48.0, 54.0, 27.0, 37.0, negative
34.0, 49.0, 48.0, 58.0, 85.0, 8.0, negative
43.0, 4.0, 48.0, 58.0, 75.0, 78.0, negative
52.0, 39.0, 48.0, 65.0, 71.0, 73.0, negative
12.0, 67.0, 48.0, 74.0, 58.0, 63.0, negative
4.0, 5.0, 48.0, 65.0, 82.0, 84.0, negative
63.0, 5.0, 48.0, 59.0, 85.0, 86.0, negative
6.0, 5.0, 1.0, 54.0, 77.0, 8.0, negative
41.0, 51.0, 48.0, 53.0, 75.0, 78.0, negative
34.0, 67.0, 48.0, 52.0, 76.0, 79.0, negative
5.0, 57.0, 48.0, 71.0, 61.0, 66.0, negative
31.0, 44.0, 48.0, 5.0, 79.0, 82.0, negative
36.0, 45.0, 48.0, 38.0, 79.0, 17.0, negative
63.0, 75.0, 48.0, 64.0, 73.0, 66.0, negative
78.0, 68.0, 48.0, 83.0, 4.0, 29.0, positive
63.0, 69.0, 48.0, 65.0, 41.0, 28.0, positive
74.0, 9.0, 48.0, 57.0, 53.0, 29.0, positive
69.0, 59.0, 48.0, 77.0, 39.0, 21.0, positive
