@relation vehicle3
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {positive,negative}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
104, 50, 106, 209, 66, 10, 207, 32, 23, 158, 223, 635, 220, 73, 14, 9, 188, 196, negative
97, 43, 73, 173, 65, 6, 153, 42, 19, 143, 176, 361, 172, 66, 13, 1, 200, 204, negative
89, 42, 85, 144, 58, 10, 152, 44, 19, 144, 173, 345, 161, 72, 8, 13, 187, 197, negative
84, 47, 75, 153, 64, 6, 154, 43, 19, 145, 175, 354, 184, 75, 0, 3, 185, 192, negative
94, 43, 64, 173, 69, 7, 150, 43, 19, 142, 169, 344, 177, 68, 9, 1, 199, 206, negative
89, 43, 85, 160, 64, 11, 155, 43, 19, 151, 173, 356, 174, 72, 5, 9, 185, 196, negative
88, 42, 77, 151, 58, 8, 140, 47, 18, 142, 165, 293, 158, 64, 10, 11, 198, 205, negative
95, 48, 104, 214, 67, 9, 205, 32, 23, 151, 227, 628, 202, 74, 5, 9, 186, 193, positive
88, 37, 51, 105, 52, 5, 119, 57, 17, 128, 135, 207, 125, 86, 8, 16, 179, 183, negative
94, 49, 87, 137, 54, 11, 158, 43, 20, 162, 178, 366, 186, 75, 5, 5, 183, 194, negative
92, 38, 71, 174, 66, 7, 154, 43, 19, 133, 181, 355, 130, 70, 4, 24, 189, 195, negative
101, 56, 104, 185, 53, 6, 257, 26, 28, 168, 275, 956, 230, 83, 5, 26, 180, 184, negative
93, 45, 86, 201, 69, 7, 184, 35, 22, 145, 203, 523, 183, 72, 0, 4, 194, 197, negative
98, 49, 84, 219, 74, 7, 190, 34, 22, 154, 208, 558, 209, 74, 4, 7, 195, 195, negative
