@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class {0,1}


@data
0.577, 2.804, -0.435, 1.197, -0.349, 0
-0.106, 0.548, 1.397, 0.0, 0.0, 0
0.133, 0.604, 1.496, 2.193, 0.0, 0
0.387, 2.211, 0.643, 0.32, -0.136, 0
0.368, 3.033, -0.68, 0.476, 0.682, 0
0.279, 0.892, 2.474, -0.53, -0.307, 0
0.647, 1.483, 1.368, 0.627, 1.016, 0
1.675, 1.764, 1.366, -0.238, -0.117, 0
1.4, 1.26, 0.292, 0.157, -0.167, 0
0.641, 2.998, -0.526, -0.204, -0.144, 0
2.082, 1.934, -0.321, -0.1, 0.0, 0
0.115, 0.375, 0.486, 1.742, 0.0, 0
0.414, 1.584, 1.4, 0.571, -0.458, 0
0.608, 1.52, -0.344, -0.129, -0.074, 0
-0.314, -0.724, -0.463, -0.163, -0.101, 0
0.367, 2.259, -0.319, -0.148, -0.081, 0
1.191, 2.054, -0.432, -0.203, 0.223, 0
0.318, 0.67, 0.619, 1.042, 1.099, 0
0.226, 0.807, 2.147, -0.703, 0.395, 0
1.197, 1.397, 0.353, 0.184, 0.119, 0
0.433, 0.595, 0.98, 2.318, -0.762, 0
1.645, 0.571, 2.275, -0.58, -0.221, 0
2.334, 1.326, 0.251, 0.213, -0.097, 0
0.436, 3.27, -0.513, 0.338, 0.678, 0
0.343, 1.708, 0.602, 0.25, 0.138, 0
2.976, 1.442, 0.329, -0.139, -0.083, 0
0.366, 0.414, 0.889, 1.934, -0.584, 0
1.79, 1.505, -0.213, -0.115, 0.088, 0
0.352, 1.531, 1.81, 0.97, 1.126, 0
0.145, 0.331, 0.458, -0.741, 0.0, 0
0.675, 0.849, 1.785, 0.753, 0.385, 0
1.472, 0.728, -0.13, 0.112, 0.121, 0
3.43, 0.548, 0.239, 0.161, 0.286, 0
-0.152, 1.182, 2.085, -0.991, 0.0, 0
0.85, 1.384, -0.238, -0.112, -0.051, 0
2.106, 1.277, -0.176, 0.182, -0.065, 0
0.346, 1.786, 1.235, 0.459, -0.209, 0
1.093, 1.692, 0.445, -0.312, 1.608, 0
0.849, 1.656, 0.464, 0.186, 0.0, 0
0.864, 1.505, -0.241, -0.13, 0.097, 0
0.114, 0.366, 0.477, -0.74, 2.273, 0
0.096, 0.326, 0.449, 1.419, 1.145, 0
1.022, 1.834, -0.253, -0.106, 0.1, 0
1.633, 1.148, 0.444, -0.309, 1.274, 0
0.944, 1.258, 0.308, -0.109, 0.072, 0
0.928, 1.866, 1.028, -0.282, -0.136, 0
0.354, 1.769, 0.552, -0.236, -0.115, 0
0.903, 2.229, -0.481, -0.194, -0.114, 0
3.041, 0.446, -0.122, 0.089, 0.077, 0
0.657, 2.138, 0.619, 0.292, -0.149, 0
0.554, 2.594, 0.879, -0.513, 1.205, 0
0.091, 0.283, 0.337, 0.456, 0.0, 0
0.874, 3.03, -0.496, 0.243, 0.48, 0
1.796, 0.6, 0.135, 0.211, -0.144, 0
0.066, 0.28, 0.417, -0.544, 0.0, 0
0.531, 3.435, -0.592, -0.239, -0.165, 0
3.341, -0.275, -0.106, -0.069, -0.051, 0
0.211, 1.402, 2.503, -0.768, -0.337, 0
0.665, 2.972, -0.438, 0.256, -0.126, 0
0.545, 0.513, 1.504, 1.904, -0.728, 0
1.583, 2.372, -0.478, -0.209, -0.109, 0
1.017, 1.05, 0.256, 0.202, -0.089, 0
3.01, 0.67, 0.18, 0.122, 0.067, 0
0.365, 0.624, 1.886, 0.956, -0.393, 0
2.112, 1.354, -0.184, -0.097, 0.077, 0
1.271, 2.311, -0.337, -0.152, 0.201, 0
1.677, 0.791, -0.41, 2.004, -0.434, 0
1.956, 1.436, -0.279, 0.231, -0.102, 0
0.193, 0.675, 1.384, 1.631, -0.593, 0
0.398, 1.769, 1.494, -0.521, -0.282, 0
0.199, 0.548, 2.208, -0.621, 0.324, 0
2.796, 0.551, 0.577, 0.687, 0.401, 0
0.539, 2.531, 1.08, 0.524, -0.193, 0
1.248, 3.001, -0.43, -0.171, -0.128, 0
3.056, 0.572, 1.055, -0.219, -0.093, 0
0.221, 1.392, 1.834, -0.615, -0.266, 0
0.397, 0.966, 2.131, 1.183, 0.535, 0
0.488, 2.179, 1.624, 0.58, -0.233, 0
1.121, 1.599, 0.512, 0.329, -0.275, 0
1.121, 0.72, -0.142, 0.088, 0.091, 0
0.239, 1.807, 1.377, 0.992, -0.478, 0
2.205, 0.544, 0.162, 0.096, -0.072, 0
2.286, 1.321, 0.696, -0.171, 0.204, 0
0.999, 2.345, -0.471, 1.402, -0.391, 0
3.104, -0.277, 0.154, 0.122, -0.103, 0
0.478, 3.147, -0.605, -0.303, -0.331, 0
0.665, 2.039, -0.492, -0.188, -0.123, 0
0.27, 1.134, 1.964, -0.518, -0.235, 0
0.436, 2.561, 1.097, 0.802, 0.0, 0
0.718, 0.574, 1.589, 1.189, 0.572, 0
0.229, 1.118, 1.829, -0.555, 0.0, 0
2.723, 0.583, 0.284, -0.071, 0.089, 0
0.279, 0.929, 2.174, 1.115, -0.46, 0
0.069, 0.562, 0.563, 0.474, 0.0, 0
0.303, 2.016, -0.448, 0.305, -0.123, 0
0.734, 2.821, 1.114, 0.415, -0.179, 0
0.695, 1.923, -0.27, -0.128, -0.07, 0
0.637, 2.952, 0.826, -0.376, -0.135, 0
2.493, 0.61, 0.189, 0.163, 0.102, 0
0.124, 0.398, 0.432, 1.031, 0.0, 0
0.764, 2.766, -0.449, -0.219, -0.132, 0
3.163, -0.265, 0.107, 0.096, -0.086, 0
0.09, 0.324, 0.286, 0.468, -0.391, 0
2.761, 0.28, 0.185, 0.21, -0.075, 0
0.137, 0.894, 2.211, -0.765, 0.0, 0
2.822, 0.316, -0.097, 0.091, -0.062, 0
0.34, 2.16, -0.488, 0.361, 0.0, 0
-0.202, 2.328, 0.991, 0.592, 0.0, 0
3.074, 0.471, -0.12, -0.069, -0.049, 0
2.509, 0.448, 1.68, -0.387, -0.146, 0
1.025, 2.404, -0.505, 0.259, 0.435, 0
0.541, 2.446, 1.583, -0.44, -0.212, 0
3.644, -0.294, 0.159, -0.072, -0.045, 0
1.126, 2.136, 0.629, -0.165, -0.191, 0
0.515, 2.105, 1.592, -0.564, 0.0, 0
1.207, 1.059, -0.208, -0.083, -0.055, 0
0.159, 0.356, 0.591, 1.763, 1.424, 0
0.816, 3.026, -0.454, -0.198, -0.133, 0
0.395, 0.914, 2.53, -0.813, -0.314, 0
0.541, 2.888, -0.673, -0.254, -0.152, 0
2.302, 0.351, -0.09, -0.052, 0.045, 0
1.887, 2.525, -0.323, -0.149, -0.11, 0
2.309, 1.809, -0.363, 0.917, -0.26, 0
0.234, 0.854, 2.599, -0.725, 0.549, 0
0.252, 1.139, 3.111, -0.832, 0.0, 0
0.348, 2.567, -0.397, 0.297, -0.383, 0
-0.193, 1.33, 2.367, -0.661, -0.348, 0
1.262, 2.093, -0.414, 0.213, 0.166, 0
2.203, 1.252, 0.461, 0.438, -0.234, 0
0.245, 0.624, 2.375, 1.077, 0.457, 0
-0.982, 1.558, -0.327, -0.136, -0.086, 0
2.063, 0.734, 0.317, 0.488, -0.447, 0
0.336, 1.536, 2.01, -0.623, -0.394, 0
0.371, 1.042, 2.799, -0.786, 0.0, 0
