@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class {0,1}


@data
0.965, 2.664, -0.422, 1.123, -0.381, 0
0.125, 0.845, 1.767, -0.737, 0.0, 0
0.127, 0.705, 1.639, 2.19, 0.0, 0
0.375, 2.068, 0.612, 0.311, -0.129, 0
0.39, 3.135, -0.582, 0.456, 0.664, 0
0.265, 0.819, 2.52, -0.627, -0.34, 0
0.62, 1.865, 1.31, 1.097, 0.994, 0
1.735, 1.654, 1.561, -0.351, -0.165, 0
1.517, 1.186, 0.444, 0.248, -0.18, 0
0.702, 3.001, -0.525, -0.234, -0.129, 0
1.858, 1.885, -0.416, 0.174, -0.221, 0
0.098, 0.335, 0.508, 1.478, 0.0, 0
0.334, 1.78, 1.431, 0.65, -0.232, 0
0.643, 1.634, -0.268, -0.141, 0.0, 0
-0.239, -0.788, -0.517, -0.287, -0.152, 0
0.335, 2.197, -0.365, -0.168, -0.104, 0
1.125, 1.966, -0.354, -0.13, 0.135, 0
0.126, 0.436, 0.541, 1.177, 1.25, 0
0.127, 0.79, 2.136, -0.854, 0.0, 0
1.4, 1.535, 0.36, 0.265, 0.143, 0
0.334, 0.442, 0.958, 2.175, -0.879, 0
2.045, 0.531, 2.079, -0.445, -0.161, 0
2.173, 1.297, 0.398, 0.137, -0.101, 0
0.356, 3.227, -0.407, 0.395, 0.814, 0
0.339, 1.855, 0.577, 0.288, 0.139, 0
2.995, 1.389, -0.242, -0.106, -0.069, 0
0.157, 0.432, 0.837, 1.902, -0.875, 0
1.719, 1.625, -0.264, -0.088, 0.0, 0
0.243, 1.585, 1.824, 1.145, 1.123, 0
0.09, 0.361, 0.63, -0.87, 0.0, 0
0.291, 0.858, 1.77, 0.806, 0.509, 0
1.494, 0.721, -0.143, 0.151, 0.112, 0
3.126, 0.482, 0.232, -0.141, 0.524, 0
-0.145, 1.424, 1.738, -0.798, 0.0, 0
0.972, 1.505, -0.232, -0.101, 0.101, 0
2.245, 1.11, -0.149, 0.11, -0.058, 0
0.401, 1.784, 1.217, 0.458, -0.284, 0
1.029, 1.893, 0.658, -0.432, 1.155, 0
0.847, 1.717, 0.516, 0.312, -0.322, 0
0.719, 1.661, -0.247, -0.141, 0.107, 0
0.175, 0.478, 0.669, -0.757, 1.83, 0
0.118, 0.263, 0.533, 1.373, 1.235, 0
1.153, 1.839, -0.26, -0.112, 0.091, 0
1.925, 0.892, 0.355, 0.315, 1.147, 0
0.947, 1.114, 0.333, -0.101, 0.072, 0
0.716, 1.75, 0.852, -0.226, 0.132, 0
0.383, 1.686, 0.65, -0.256, -0.17, 0
0.932, 2.3, -0.49, -0.202, 0.0, 0
3.067, 0.419, -0.117, 0.084, -0.054, 0
0.675, 2.061, 0.701, 0.248, -0.121, 0
0.593, 2.737, 0.856, -0.336, 1.173, 0
0.073, 0.357, 0.324, 0.477, 0.0, 0
1.007, 2.844, -0.424, 0.422, 0.617, 0
1.942, 0.607, 0.137, 0.203, -0.139, 0
0.058, 0.245, 0.368, -0.427, 0.0, 0
0.545, 3.467, -0.483, -0.222, -0.151, 0
3.164, -0.263, -0.098, 0.069, -0.057, 0
0.284, 1.424, 2.617, -0.685, -0.308, 0
0.508, 2.937, -0.498, 0.263, -0.159, 0
0.461, 0.585, 1.306, 1.773, -0.505, 0
