@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class {0,1}


@data
0.524, 2.902, -0.59, 1.191, -0.328, 0
0.145, 0.715, 1.784, 0.792, 0.0, 0
0.128, 0.621, 1.433, 2.052, 0.0, 0
0.36, 1.966, 0.718, 0.319, -0.182, 0
0.362, 2.848, -0.601, 0.483, 0.694, 0
0.266, 0.825, 2.484, -0.527, -0.319, 0
0.57, 1.372, 1.336, 0.604, 1.309, 0
1.638, 1.722, 1.509, -0.338, -0.16, 0
1.439, 1.079, 0.316, 0.216, -0.099, 0
0.594, 3.102, -0.502, -0.196, -0.137, 0
1.666, 1.872, -0.297, 0.164, 0.116, 0
0.09, 0.314, 0.445, 1.544, 0.0, 0
0.233, 1.546, 1.399, 0.716, -0.422, 0
0.668, 1.559, -0.3, -0.128, -0.07, 0
-0.385, -0.797, -0.293, -0.102, -0.069, 0
0.452, 2.226, -0.355, -0.161, -0.096, 0
1.304, 2.081, -0.348, -0.199, 0.177, 0
0.235, 0.605, 0.603, 1.603, 1.161, 0
0.233, 0.824, 2.218, -0.694, 0.388, 0
1.274, 1.404, 0.394, 0.185, 0.119, 0
0.348, 0.475, 0.973, 2.294, -0.962, 0
1.722, 0.517, 2.305, -0.586, -0.218, 0
2.32, 1.249, 0.329, 0.161, -0.075, 0
0.274, 3.21, -0.507, 0.411, 0.834, 0
0.361, 1.791, 0.522, 0.264, 0.132, 0
3.012, 1.408, 0.341, -0.123, -0.073, 0
0.365, 0.433, 0.894, 1.979, -0.535, 0
1.773, 1.634, -0.276, -0.121, 0.105, 0
0.378, 1.681, 1.887, 1.017, 0.937, 0
0.131, 0.316, 0.492, -0.883, 0.0, 0
0.499, 1.066, 1.695, 0.682, 0.402, 0
1.467, 0.76, -0.14, 0.107, 0.08, 0
3.381, 0.566, 0.22, 0.202, 0.565, 0
-0.188, 1.167, 2.054, -0.745, -0.373, 0
0.965, 1.317, -0.295, -0.121, -0.067, 0
2.051, 1.306, -0.168, 0.18, -0.062, 0
0.27, 1.806, 1.146, 0.434, -0.177, 0
1.108, 1.63, 0.42, -0.32, 1.796, 0
0.757, 1.605, 0.535, 0.236, -0.099, 0
0.763, 1.677, -0.381, -0.14, 0.106, 0
0.169, 0.41, 0.485, -0.646, 1.926, 0
0.09, 0.311, 0.43, 1.454, 1.135, 0
1.081, 1.791, -0.267, -0.111, 0.103, 0
1.378, 1.088, 0.484, -0.126, 0.229, 0
1.084, 1.32, 0.354, -0.113, 0.077, 0
0.686, 1.876, 1.048, -0.326, -0.158, 0
0.421, 1.589, 0.578, -0.226, -0.113, 0
0.912, 2.285, -0.449, -0.159, -0.099, 0
3.083, 0.501, -0.135, 0.102, 0.074, 0
0.511, 2.031, 0.578, 0.271, -0.132, 0
0.598, 2.118, 1.005, -0.487, 1.555, 0
0.088, 0.271, 0.34, 0.455, 0.0, 0
0.783, 3.076, -0.424, 0.304, 0.399, 0
1.801, 0.525, 0.163, 0.236, -0.124, 0
0.043, 0.276, 0.423, -0.545, 0.0, 0
0.556, 3.451, -0.597, -0.245, -0.153, 0
3.348, -0.276, -0.111, -0.07, -0.053, 0
0.183, 1.354, 2.581, -0.754, -0.324, 0
0.608, 2.829, -0.437, 0.247, -0.213, 0
0.453, 0.577, 1.37, 1.883, -0.557, 0
1.482, 2.23, -0.55, -0.209, -0.117, 0
1.034, 1.039, 0.257, 0.198, -0.09, 0
3.22, 0.598, 0.316, 0.096, -0.052, 0
0.27, 0.667, 1.827, 1.038, -0.456, 0
2.059, 1.344, -0.213, -0.103, -0.061, 0
1.302, 2.389, -0.356, -0.159, 0.225, 0
1.93, 0.936, 0.46, 1.76, -0.348, 0
1.957, 1.436, -0.279, 0.232, -0.102, 0
0.147, 0.817, 1.534, 1.705, 0.0, 0
0.337, 1.81, 1.486, -0.41, -0.259, 0
0.217, 0.598, 2.218, -0.606, 0.329, 0
2.558, 0.56, 0.572, 0.476, 0.341, 0
0.583, 2.235, 1.159, 0.508, -0.177, 0
1.284, 2.927, -0.485, -0.241, -0.213, 0
3.087, 0.57, 1.064, -0.254, -0.094, 0
0.214, 1.31, 1.792, -0.597, -0.244, 0
0.368, 0.889, 2.206, 1.105, 0.432, 0
0.476, 2.249, 1.43, 0.691, -0.217, 0
1.229, 1.569, 0.535, 0.332, 0.285, 0
1.084, 0.767, -0.153, 0.078, 0.079, 0
0.253, 1.762, 1.652, 1.081, -0.507, 0
2.198, 0.512, 0.109, 0.095, -0.048, 0
2.303, 1.264, 0.682, -0.171, 0.19, 0
0.973, 2.317, -0.46, 1.452, -0.404, 0
3.087, -0.304, 0.15, -0.072, 0.057, 0
0.603, 3.191, -0.558, -0.27, -0.384, 0
0.531, 2.105, -0.397, -0.201, -0.103, 0
0.207, 1.141, 1.935, -0.548, -0.229, 0
0.452, 2.425, 1.323, 0.685, 0.0, 0
0.904, 0.617, 1.67, 0.864, 0.585, 0
0.21, 1.195, 1.902, -0.557, 0.0, 0
2.915, 0.596, 0.294, -0.075, 0.066, 0
0.226, 0.958, 2.176, 1.043, -0.352, 0
0.085, 0.346, 0.602, 0.454, 0.0, 0
0.231, 2.251, -0.457, 0.322, -0.184, 0
0.629, 2.673, 1.008, 0.403, -0.177, 0
0.642, 1.871, -0.317, -0.141, 0.0, 0
0.639, 2.884, 0.871, -0.377, -0.143, 0
2.457, 0.732, 0.172, 0.092, -0.046, 0
0.128, 0.389, 0.516, 1.049, 0.0, 0
0.764, 2.766, -0.448, -0.218, -0.132, 0
3.266, -0.23, 0.174, 0.113, -0.117, 0
0.044, 0.301, 0.313, 0.459, -0.43, 0
2.756, 0.266, 0.158, 0.194, -0.063, 0
0.193, 0.996, 2.144, -0.867, 0.0, 0
2.751, 0.365, -0.107, 0.091, 0.084, 0
0.326, 2.129, -0.537, 0.353, 0.0, 0
-0.194, 2.018, 0.89, 0.504, 0.0, 0
2.999, 0.473, -0.124, -0.072, -0.048, 0
2.744, 0.524, 1.465, -0.331, -0.129, 0
1.032, 2.486, -0.491, 0.28, 0.607, 0
0.587, 2.481, 1.733, -0.49, -0.215, 0
3.568, -0.29, 0.157, -0.071, -0.044, 0
1.146, 1.998, 0.64, -0.189, -0.178, 0
0.669, 1.976, 1.71, -0.43, 0.0, 0
1.215, 1.101, -0.241, -0.082, -0.06, 0
0.253, 0.406, 0.468, 1.568, 1.673, 0
0.647, 3.212, -0.483, -0.223, -0.146, 0
0.371, 0.961, 2.531, -0.704, -0.379, 0
0.58, 2.975, -0.631, -0.255, -0.169, 0
2.203, 0.377, -0.094, 0.067, 0.048, 0
1.834, 2.557, -0.313, -0.143, -0.099, 0
2.342, 1.805, -0.33, 1.068, -0.276, 0
0.233, 0.86, 2.49, -0.71, 0.547, 0
0.334, 1.01, 2.931, -0.842, 0.0, 0
0.42, 2.529, -0.399, 0.237, -0.162, 0
0.342, 1.401, 2.404, -0.665, 0.0, 0
1.246, 2.16, -0.339, 0.221, 0.151, 0
2.18, 1.275, 0.459, 0.427, -0.234, 0
0.34, 0.757, 2.362, 0.896, 0.515, 0
-0.966, 1.326, -0.329, -0.176, -0.15, 0
