@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class{0,1}
@inputs Aa,Ao,Dcl,Iy,Sh
@outputs Class
@data
0.954, 2.609, -0.41, 1.195, -0.377, 0
0.154, 0.804, 1.77, -0.782, 0.0, 0
0.134, 0.612, 1.455, 2.024, 0.0, 0
0.347, 2.408, 0.624, 0.347, -0.311, 0
0.55, 3.32, -0.606, 0.65, 0.875, 0
0.266, 0.825, 2.484, -0.527, -0.319, 0
0.422, 1.671, 1.491, 0.617, 0.503, 0
1.688, 1.674, 1.574, -0.348, -0.164, 0
1.4, 1.01, 0.296, 0.159, -0.166, 0
0.667, 3.055, -0.507, -0.226, -0.128, 0
1.696, 1.867, -0.27, 0.139, 0.158, 0
0.11, 0.319, 0.514, 1.813, 0.0, 0
0.398, 1.547, 1.228, 0.466, -0.268, 0
0.584, 1.42, -0.349, -0.159, -0.072, 0
-0.993, -0.805, -0.294, -0.151, -0.112, 0
0.371, 2.324, -0.456, -0.168, -0.083, 0
1.172, 1.957, -0.32, -0.146, 0.128, 0
0.246, 0.603, 0.553, 1.518, 1.325, 0
0.289, 0.806, 1.815, -0.756, -0.331, 0
1.203, 1.319, 0.321, 0.196, 0.163, 0
0.43, 0.597, 1.02, 2.424, -0.746, 0
1.722, 0.517, 2.304, -0.48, -0.191, 0
2.222, 1.239, 0.352, 0.147, -0.095, 0
0.488, 3.365, -0.445, 0.36, 0.689, 0
0.346, 1.789, 0.629, 0.268, 0.137, 0
2.946, 1.555, -0.247, -0.097, -0.066, 0
0.191, 0.546, 0.884, 1.965, -0.617, 0
1.746, 1.608, -0.257, -0.123, -0.071, 0
0.227, 1.501, 1.921, 0.993, 1.152, 0
0.147, 0.417, 0.515, -0.73, 0.0, 0
0.346, 0.942, 1.713, 0.897, 0.552, 0
1.458, 0.693, -0.129, 0.131, 0.118, 0
3.0, 0.438, 0.136, 0.112, 0.112, 0
-0.158, 1.356, 2.289, -0.745, 0.0, 0
0.898, 1.405, -0.344, -0.113, 0.0, 0
2.035, 1.232, -0.204, 0.103, -0.063, 0
0.403, 1.803, 1.168, 0.516, -0.229, 0
0.896, 1.979, 0.586, -0.279, 1.408, 0
0.869, 1.714, 0.503, 0.308, -0.296, 0
0.907, 1.536, -0.369, -0.114, 0.0, 0
0.187, 0.518, 0.709, -0.783, 1.877, 0
0.117, 0.276, 0.554, 1.391, 1.095, 0
1.037, 1.78, -0.256, -0.107, 0.097, 0
1.923, 0.966, 0.365, 0.301, 1.151, 0
0.983, 1.108, 0.327, -0.082, 0.062, 0
0.794, 1.828, 0.782, -0.201, 0.12, 0
0.427, 1.543, 0.576, -0.193, -0.123, 0
0.924, 2.334, -0.479, -0.175, -0.109, 0
