@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class {0,1}


@data
0.789, 2.739, -0.55, 1.265, -0.318, 0
0.147, 0.696, 1.751, 0.0, 0.0, 0
0.134, 0.651, 1.536, 2.12, 0.0, 0
0.309, 2.255, 0.725, 0.299, -0.229, 0
0.53, 2.976, -0.61, 0.683, 0.671, 0
0.279, 0.892, 2.474, -0.531, -0.307, 0
0.675, 1.505, 1.339, 0.665, 0.878, 0
1.674, 1.764, 1.365, -0.238, -0.118, 0
1.398, 1.223, 0.327, 0.217, -0.1, 0
0.593, 3.003, -0.508, -0.201, -0.142, 0
2.061, 1.922, -0.293, 0.174, 0.114, 0
0.144, 0.335, 0.474, 1.668, 0.0, 0
0.411, 1.587, 1.408, 0.585, -0.479, 0
0.598, 1.583, -0.355, -0.152, -0.075, 0
-0.668, -0.709, -0.391, -0.143, -0.089, 0
0.401, 2.322, -0.347, -0.164, -0.093, 0
1.219, 2.015, -0.417, -0.187, 0.156, 0
0.257, 0.577, 0.638, 1.253, 1.175, 0
0.11, 0.787, 1.749, -0.741, 0.434, 0
1.233, 1.407, 0.373, 0.184, 0.117, 0
0.436, 0.614, 0.964, 2.308, -0.968, 0
1.645, 0.57, 2.274, -0.58, -0.221, 0
2.411, 1.293, 0.256, 0.226, -0.103, 0
0.283, 3.386, -0.521, 0.387, 0.642, 0
0.345, 1.708, 0.567, 0.246, 0.138, 0
2.967, 1.482, 0.376, -0.13, -0.074, 0
0.363, 0.4, 0.848, 1.914, -0.623, 0
1.781, 1.57, -0.209, -0.115, 0.086, 0
0.367, 1.526, 1.57, 1.01, 1.05, 0
0.145, 0.332, 0.467, -0.794, 0.0, 0
0.573, 0.92, 1.713, 0.78, 0.487, 0
1.464, 0.726, -0.13, 0.102, 0.091, 0
3.26, 0.431, 0.198, 0.124, 0.394, 0
-0.148, 1.243, 1.99, -0.757, 0.0, 0
0.959, 1.399, -0.252, -0.1, -0.055, 0
2.173, 1.246, -0.185, 0.192, -0.071, 0
0.358, 1.812, 1.189, 0.441, -0.189, 0
1.258, 1.761, 0.45, -0.319, 1.599, 0
0.907, 1.676, 0.617, 0.197, -0.13, 0
0.749, 1.506, -0.321, -0.115, 0.079, 0
0.163, 0.544, 0.506, -0.782, 2.112, 0
0.101, 0.333, 0.52, 1.505, 1.15, 0
1.048, 1.933, -0.333, -0.127, 0.118, 0
1.573, 1.128, 0.42, -0.215, 1.306, 0
0.996, 1.283, 0.315, -0.108, 0.078, 0
0.87, 1.801, 0.956, -0.251, -0.156, 0
0.357, 1.663, 0.541, -0.196, -0.119, 0
0.909, 2.261, -0.479, -0.195, -0.109, 0
3.042, 0.472, -0.121, 0.093, 0.073, 0
0.533, 2.139, 0.629, 0.241, -0.1, 0
0.529, 2.477, 0.875, -0.484, 1.482, 0
0.093, 0.281, 0.371, 0.441, 0.0, 0
0.934, 3.018, -0.484, 0.233, 0.581, 0
1.825, 0.588, 0.146, 0.207, -0.123, 0
0.059, 0.287, 0.439, -0.522, 0.0, 0
0.486, 3.553, -0.57, -0.26, -0.159, 0
3.343, -0.28, -0.102, 0.077, -0.052, 0
0.219, 1.447, 2.493, -0.868, -0.375, 0
0.665, 2.971, -0.438, 0.257, -0.125, 0
0.5, 0.501, 1.436, 1.989, -0.724, 0
1.609, 2.165, -0.492, -0.547, 0.0, 0
