@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class {0,1}


@data
0.959, 2.559, -0.49, 0.956, -0.299, 0
0.281, 0.867, 1.923, -0.525, 0.0, 0
0.121, 0.582, 1.368, 2.225, 0.0, 0
0.281, 2.246, 0.648, 0.255, 0.281, 0
0.345, 2.885, -0.651, 0.618, 1.117, 0
0.386, 0.998, 2.518, -0.665, -0.302, 0
0.386, 1.497, 1.213, 0.493, 0.254, 0
2.117, 1.646, 0.982, -0.302, -0.129, 0
1.471, 1.344, 0.444, 0.155, -0.226, 0
0.639, 3.1, -0.462, -0.186, -0.127, 0
1.973, 1.483, -0.319, 0.222, -0.101, 0
0.138, 0.34, 0.451, 1.308, 0.0, 0
0.41, 1.803, 1.288, 0.483, -0.278, 0
0.761, 1.655, -0.413, -0.175, -0.078, 0
-0.166, -0.78, -1.11, -0.493, 0.0, 0
0.312, 2.136, -0.335, -0.184, -0.108, 0
1.305, 2.225, -0.353, -0.203, 0.18, 0
0.223, 0.395, 0.399, 1.207, 1.386, 0
0.203, 1.185, 1.777, -0.6, 0.0, 0
1.568, 1.363, 0.414, 0.156, 0.0, 0
0.119, 0.604, 0.831, 2.457, -0.836, 0
1.199, 1.223, 2.284, -0.469, -0.184, 0
2.055, 1.169, 0.301, 0.235, -0.066, 0
0.341, 3.256, -0.561, 0.3, 0.194, 0
0.322, 1.754, 0.628, 0.269, -0.096, 0
2.918, 0.994, 0.745, -0.148, -0.079, 0
0.206, 0.605, 0.757, 1.918, -0.502, 0
2.101, 1.502, -0.196, -0.085, 0.09, 0
0.316, 0.736, 1.614, 1.259, 1.062, 0
0.074, 0.307, 0.355, -0.594, 0.0, 0
0.568, 0.892, 1.698, 0.848, -0.513, 0
1.542, 0.721, -0.098, -0.051, 0.052, 0
3.15, 0.54, 0.227, 0.216, -0.061, 0
-0.109, 1.071, 1.948, -0.623, -0.391, 0
1.001, 1.491, -0.225, -0.094, 0.095, 0
2.174, 1.091, -0.128, 0.105, 0.076, 0
0.494, 1.763, 1.245, 0.454, -0.188, 0
0.872, 2.166, 0.597, -0.248, 1.372, 0
0.859, 1.516, 0.362, 0.236, -0.187, 0
1.022, 1.607, -0.248, -0.109, 0.11, 0
0.159, 0.378, 0.46, -0.601, 1.794, 0
0.12, 0.311, 0.426, 1.818, 1.201, 0
1.156, 1.86, -0.268, -0.115, -0.084, 0
