@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class {0,1}


@data
0.977, 2.536, -0.536, 1.041, -0.288, 0
0.299, 0.891, 1.871, -0.51, 0.0, 0
0.15, 0.661, 1.404, 2.273, 0.0, 0
0.367, 2.32, 0.717, 0.539, -0.427, 0
0.415, 2.713, -0.637, 0.789, 0.885, 0
0.278, 0.949, 2.609, -0.656, -0.315, 0
0.6, 1.791, 1.23, 0.983, 1.141, 0
1.487, 1.569, 1.606, -0.262, -0.131, 0
1.441, 0.97, 0.396, 0.265, -0.163, 0
0.65, 3.042, -0.487, -0.256, -0.206, 0
1.798, 1.851, -0.275, -0.124, 0.163, 0
0.172, 0.391, 0.64, 1.694, 0.0, 0
0.231, 1.566, 1.314, 0.474, -0.253, 0
0.627, 1.375, -0.372, -0.163, -0.075, 0
-0.307, -1.153, -0.601, -0.277, -0.151, 0
0.462, 2.139, -0.388, -0.164, -0.089, 0
1.411, 2.01, -0.329, -0.128, 0.12, 0
0.229, 0.452, 0.523, 1.469, 1.046, 0
0.525, 0.974, 1.819, -0.586, 0.362, 0
1.4, 1.606, 0.361, 0.258, 0.144, 0
0.259, 0.381, 0.92, 2.362, -0.833, 0
1.268, 1.104, 2.24, -0.564, -0.208, 0
2.092, 1.178, 0.318, 0.242, -0.067, 0
0.521, 3.176, -0.506, 0.324, 0.593, 0
0.337, 1.919, 0.578, 0.274, 0.113, 0
2.956, 0.996, 0.73, -0.175, -0.087, 0
0.648, 0.484, 0.776, 1.913, -0.599, 0
1.619, 1.55, -0.28, -0.1, 0.0, 0
0.233, 1.469, 2.062, 1.012, 1.114, 0
0.155, 0.514, 0.49, -0.625, 0.0, 0
0.636, 0.8, 1.945, 0.737, 0.362, 0
1.282, 0.719, -0.128, 0.117, 0.115, 0
3.258, 0.541, 0.207, -0.17, 0.648, 0
0.203, 1.205, 2.009, -0.546, 0.0, 0
