@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class {0,1}


@data
1.027, 2.716, -0.43, 1.009, -0.387, 0
0.104, 0.508, 1.077, 0.0, 0.0, 0
0.137, 0.621, 1.369, 2.234, 0.0, 0
0.273, 2.073, 0.627, 0.313, 0.0, 0
0.463, 2.963, -0.63, 0.324, 0.991, 0
0.292, 1.056, 2.459, -0.652, -0.338, 0
0.942, 1.88, 1.179, 0.719, 0.725, 0
2.141, 1.604, 1.045, -0.292, -0.134, 0
1.441, 0.97, 0.396, 0.265, -0.164, 0
0.638, 3.104, -0.52, -0.249, -0.125, 0
2.023, 1.543, -0.38, 0.199, -0.128, 0
0.149, 0.355, 0.516, 1.416, 0.0, 0
0.355, 1.684, 1.279, 0.477, -0.231, 0
0.723, 1.59, -0.364, -0.139, 0.101, 0
-0.114, -0.206, -0.379, -0.537, 0.0, 0
0.519, 2.216, -0.407, -0.173, -0.095, 0
1.036, 2.038, -0.346, -0.127, 0.099, 0
0.229, 0.452, 0.523, 1.47, 1.046, 0
0.243, 1.116, 1.773, -0.575, 0.0, 0
1.461, 1.555, 0.384, 0.271, 0.149, 0
0.184, 0.425, 0.952, 2.461, -0.845, 0
1.21, 1.167, 2.284, -0.457, -0.185, 0
2.092, 1.178, 0.318, 0.242, -0.067, 0
0.266, 3.155, -0.48, 0.434, 1.022, 0
0.331, 1.72, 0.6, 0.3, -0.119, 0
3.21, 1.435, -0.182, -0.086, -0.06, 0
0.189, 0.548, 0.918, 1.984, -0.614, 0
1.576, 1.608, -0.304, -0.121, 0.108, 0
0.234, 1.459, 2.048, 1.016, 1.183, 0
0.091, 0.36, 0.497, -1.093, 0.0, 0
0.6, 0.791, 2.006, 0.733, 0.348, 0
1.258, 0.737, -0.127, 0.091, 0.065, 0
2.963, 0.322, 0.206, 0.088, 0.11, 0
