@relation iris0
@attribute SepalLength real [4.3, 7.9]
@attribute SepalWidth real [2.0, 4.4]
@attribute PetalLength real [1.0, 6.9]
@attribute PetalWidth real [0.1, 2.5]
@attribute Class {positive, negative}
@inputs SepalLength, SepalWidth, PetalLength, PetalWidth
@outputs Class
@data
4.9, 3.0, 1.4, 0.2, positive
5.4, 3.9, 1.7, 0.4, positive
4.3, 3.0, 1.1, 0.1, positive
5.7, 4.4, 1.5, 0.4, positive
5.1, 3.3, 1.7, 0.5, positive
5.0, 3.0, 1.6, 0.2, positive
5.2, 4.1, 1.5, 0.1, positive
5.0, 3.2, 1.2, 0.2, positive
5.5, 3.5, 1.3, 0.2, positive
5.0, 3.5, 1.3, 0.3, positive
5.5, 2.3, 4.0, 1.3, negative
5.7, 2.8, 4.5, 1.3, negative
5.9, 3.0, 4.2, 1.5, negative
6.2, 2.2, 4.5, 1.5, negative
6.4, 2.9, 4.3, 1.3, negative
5.8, 2.7, 3.9, 1.2, negative
5.8, 2.6, 4.0, 1.2, negative
6.2, 2.9, 4.3, 1.3, negative
5.1, 2.5, 3.0, 1.1, negative
6.3, 3.3, 6.0, 2.5, negative
5.8, 2.7, 5.1, 1.9, negative
6.4, 2.7, 5.3, 1.9, negative
6.4, 3.2, 5.3, 2.3, negative
5.6, 2.8, 4.9, 2.0, negative
7.2, 3.2, 6.0, 1.8, negative
6.9, 3.1, 5.1, 2.3, negative
5.8, 2.7, 5.1, 1.9, negative
6.5, 3.0, 5.5, 1.8, negative
7.7, 2.6, 6.9, 2.3, negative
6.2, 2.8, 4.8, 1.8, negative
