@relation iris0
@attribute SepalLength real [4.3, 7.9]
@attribute SepalWidth real [2.0, 4.4]
@attribute PetalLength real [1.0, 6.9]
@attribute PetalWidth real [0.1, 2.5]
@attribute Class {positive, negative}
@inputs SepalLength, SepalWidth, PetalLength, PetalWidth
@outputs Class
@data
4.6, 3.4, 1.4, 0.3, positive
5.4, 3.7, 1.5, 0.2, positive
5.7, 3.8, 1.7, 0.3, positive
5.1, 3.8, 1.5, 0.3, positive
4.9, 3.1, 1.5, 0.1, positive
4.9, 3.1, 1.5, 0.1, positive
4.4, 3.0, 1.3, 0.2, positive
5.1, 3.8, 1.6, 0.2, positive
4.9, 3.1, 1.5, 0.1, positive
5.0, 3.5, 1.6, 0.6, positive
6.0, 3.4, 4.5, 1.6, negative
6.9, 3.1, 4.9, 1.5, negative
6.3, 3.3, 4.7, 1.6, negative
6.7, 3.1, 4.4, 1.4, negative
5.8, 2.7, 4.1, 1.0, negative
6.7, 3.1, 4.7, 1.5, negative
5.5, 2.5, 4.0, 1.3, negative
6.1, 3.0, 4.6, 1.4, negative
5.0, 2.3, 3.3, 1.0, negative
5.6, 2.7, 4.2, 1.3, negative
7.2, 3.6, 6.1, 2.5, negative
5.7, 2.5, 5.0, 2.0, negative
7.7, 2.8, 6.7, 2.0, negative
6.7, 3.3, 5.7, 2.1, negative
7.9, 3.8, 6.4, 2.0, negative
6.4, 2.8, 5.6, 2.2, negative
6.7, 3.3, 5.7, 2.5, negative
6.7, 3.0, 5.2, 2.3, negative
6.3, 2.5, 5.0, 1.9, negative
5.9, 3.0, 5.1, 1.8, negative
