@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
@outputs Class
@data
0.586, 1.9164, 0.4202, 1.0416, 0.6673, 0.5136, -0.7109, 2.3727, -0.0708, 0.9256, 2.4045, -0.0896, 0.2451, 0.9633, -0.6875, -0.5824, 1.2671, 1.2746, 0.62, 1.1466, 0
0.555, 1.0622, 1.1259, 0.5219, 0.4787, 1.3516, 1.1449, -0.6916, -0.1238, -0.6324, 0.0178, 0.8804, 0.8224, 1.1134, 0.1076, 0.5485, 0.7113, 1.5602, -0.1532, -0.0962, 0
-0.1949, 0.9518, -0.4147, -0.2205, 1.8515, 2.105, -0.7418, 0.3371, 1.1178, 0.3469, -0.331, 0.0040, 0.3185, -0.5648, -0.4259, 0.9074, 1.4289, 1.0384, 1.8452, 1.0543, 0
-0.1163, -0.5735, -0.7302, -0.8167, -0.9405, 0.7702, -0.485, 1.1674, 1.3155, 0.1142, 0.3088, 1.1181, 1.9792, 2.1305, 0.2954, 2.7338, 0.049, -2.1626, 0.1876, 1.5725, 0
0.765, 0.1274, 1.8026, -0.5337, 0.9896, 0.9066, -1.2338, 0.6841, 0.4289, 0.4733, 0.4345, -0.3345, 0.5098, 1.0465, -0.1487, 0.2872, 0.0231, 1.1708, 0.6749, 1.9302, 0
0.8959, 0.5988, 0.2003, 0.9651, 1.2934, 0.495, 1.1283, -1.5348, 0.2583, 0.4954, 0.8642, 0.5222, -0.0496, -0.7378, 0.3942, 1.1344, -1.8255, 0.1982, 0.1694, 1.095, 0
0.1256, 0.8942, 0.7712, 1.1256, 0.699, -0.3654, 0.5101, 1.0258, -0.3151, 0.796, 0.924, -0.4528, 0.6288, -1.999, 0.8031, -0.1651, -0.8711, -0.318, 0.1992, -0.3321, 0
1.9951, 0.2768, 0.3768, 1.0878, 0.5572, -0.481, 0.4746, 1.1097, 0.6252, 1.0508, 1.7767, 0.466, 1.9254, -0.067, 1.1297, 0.0575, 0.6339, -0.03, 1.7419, 0.3142, 0
0.9775, 0.097, -0.8605, 0.8579, 1.8336, -0.2264, 0.696, -0.6448, 0.1815, 0.1753, 0.7956, 0.28, -0.1019, 0.7819, -0.5576, -0.954, 1.7714, 0.4362, 0.3041, 0.2588, 0
1.108, 1.1587, 1.4591, -0.293, 0.6777, 2.5129, 0.3281, 1.1748, 1.5262, 0.6098, 1.3572, -0.4823, -0.4246, 1.4754, -0.2547, -0.3305, 1.2375, 0.0599, 0.4078, 1.1662, 0
