@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
@outputs Class
@data
-1.0809, 0.5437, 0.4712, 1.0027, 0.8841, 0.2614, 0.549, 1.5023, -0.1753, 0.2492, 2.1796, -0.8845, 0.6498, 2.1064, -1.2009, 0.9647, 1.5941, 0.2935, 0.7172, -1.0988, 0
0.8456, 0.6227, 2.1607, 0.5185, 1.3046, 1.1593, -0.1773, 0.2691, 0.0139, 1.1675, -0.0522, 0.8131, 1.5425, 0.2859, 0.9956, 0.4507, 1.8618, 0.9793, -0.2787, -0.0187, 0
-1.1053, 1.7252, -0.4419, 0.4549, 1.1098, 0.6722, -0.7652, 0.949, 0.867, 0.9934, 0.9477, -1.4355, -0.1818, -0.1832, -0.9457, 1.6063, 0.6638, 0.5542, -0.1303, -0.2279, 0
1.1366, -1.0037, -0.8314, -0.0076, 0.788, 1.3179, 0.7849, 1.3298, 0.4404, 0.5542, -0.9058, 0.7464, 1.0039, -1.0097, -0.8996, 2.9338, 0.0346, -0.2432, -0.3221, 0.9686, 0
0.8036, 0.5242, 0.2098, -0.8684, 0.7384, -0.0939, -0.3419, 1.0546, 0.8923, -0.0566, -0.2854, 1.6855, 0.4722, 1.8085, 0.6148, -1.8997, 0.3237, 2.0136, 1.5458, 0.3212, 0
0.752, 0.4658, 0.5661, 0.134, 0.5824, 0.6701, 0.5676, 0.2654, 0.5816, 0.1961, 1.5362, -0.3024, 1.8026, 0.7377, 0.2192, 0.7689, 0.2821, -0.0163, 1.5418, -0.6438, 0
-0.1066, 1.6001, 0.6189, -0.8991, 0.6966, 0.0278, -0.5688, 0.439, -0.8874, 0.4444, -0.3378, -0.2247, 0.481, -0.8685, 0.1096, 0.5113, -0.113, 0.7344, 0.5078, -0.8341, 0
-0.0585, 0.4435, -0.2963, 0.658, -0.2437, -1.2796, 0.8634, 2.2747, 1.4655, 0.4259, 1.4554, -0.8096, 1.1756, 0.8243, 1.7111, 0.6241, 0.4323, 0.308, 1.235, 0.4086, 0
2.3219, -0.5076, -1.5769, 0.5582, 0.2503, 0.052, 2.0457, -0.0262, 1.9958, -0.3934, -0.0238, 2.0636, 0.9578, 0.1847, -0.7583, 0.0535, 1.3835, -0.0155, 1.6497, 0.9412, 0
1.6281, -0.7161, 0.4419, 0.5285, -0.1024, 2.2184, 0.6481, 1.8233, 1.9194, 1.0504, -0.8493, 0.2212, -0.5819, 1.5703, 2.5216, 0.6629, 1.5318, 0.0713, 1.2941, 0.389, 0
