@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class {0,1}


@data
-0.1859, 1.3584, 0.3933, 1.4799, 0.9918, 0.4112, -1.2454, 2.28, -0.0965, -0.7223, 2.6471, -0.1315, -0.1707, 3.1221, 0.0692, 1.0457, 1.2824, -2.2658, 1.0757, -0.979, 0
-0.2713, 0.5842, 1.943, -0.0374, 0.182, 0.983, 1.0539, -0.2754, -1.0033, -1.364, -0.2027, 0.6503, 2.046, 0.3679, 1.805, 0.5, 1.6382, 0.2447, -0.4295, 0.0854, 0
-0.9, -0.0401, -0.1357, -0.2978, 0.5029, 1.7371, -1.1024, 0.8672, 1.496, 0.683, 0.4272, -0.6952, -0.8554, -0.418, -0.5095, 0.7699, 0.6111, 0.8336, 1.2462, -0.6182, 0
0.4655, -0.4277, -1.7676, -0.6189, -1.5045, 1.8077, 0.3861, 1.095, 0.0154, 0.2252, 0.7865, 0.7674, 1.6841, -0.3046, -0.7154, 2.6023, -0.7352, 0.0105, 0.1829, 1.9324, 0
0.4431, 0.3022, 1.7487, -1.0466, 0.5646, -0.2074, 0.2192, 1.6912, 0.7506, 0.1017, -0.1409, -0.8481, 0.9604, 1.2956, -0.0804, -1.2436, 0.695, 1.221, 1.1939, 0.7287, 0
1.2057, 0.5637, 0.2673, 0.7299, 0.035, 0.6233, 0.4851, -0.444, 0.2189, 0.3456, 1.8011, -0.6451, 1.0676, 0.5932, 0.8991, 0.7738, -1.7764, 0.2334, 0.5151, 0.5636, 0
1.0391, 1.4829, 0.6053, -1.5392, 1.3233, -0.4526, -0.1548, 0.9797, -0.7313, 0.5505, 0.1666, -1.4128, 0.891, -1.6799, 0.2263, 0.4409, -0.2155, -0.0837, 0.3801, -0.4197, 0
1.0464, 0.4745, -0.3596, 2.4081, -0.3054, -0.7712, 0.7597, 1.824, 1.1413, 0.0721, 1.7539, 0.0131, 0.8432, 0.2599, 0.8738, -0.3467, 0.6706, -0.5327, 1.5897, 0.6755, 0
1.5883, -0.1707, -1.5038, 0.7861, 0.885, 0.88, 2.0812, -0.9148, 0.3041, -1.4094, -1.1996, 2.5997, 0.8622, -0.505, -0.8624, -0.8975, 2.0585, 0.3825, -0.4994, 0.3626, 0
2.4771, 1.4135, 0.083, 0.6027, -0.405, 2.7491, 0.4631, 1.3464, 2.0552, 0.4373, 0.7401, 0.7572, -0.654, 2.3185, 1.9332, -0.1794, 2.4002, 0.1228, 1.6276, 0.9254, 0
