@relation winequality-white-3_vs_7
@attribute FixedAcidity real [3.8, 14.2]
@attribute VolatileAcidity real [0.08, 1.1]
@attribute CitricAcid real [0.0, 1.66]
@attribute ResidualSugar real [0.6, 65.8]
@attribute Chlorides real [0.009, 0.346]
@attribute FreeSulfurDioxide real [2.0, 289.0]
@attribute TotalSulfurDioxide real [9.0, 440.0]
@attribute Density real [0.98711, 1.03898]
@attribute PH real [2.72, 3.82]
@attribute Sulphates real [0.22, 1.08]
@attribute Alcohol real [8.0, 14.2]
@attribute Class {positive, negative}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Class
@data
6.6, 0.16, 0.4, 1.5, 0.044, 48.0, 143.0, 0.9912, 3.54, 0.52, 12.4, negative
6.6, 0.17, 0.38, 1.5, 0.032, 28.0, 112.0, 0.9914, 3.25, 0.55, 11.4, negative
6.4, 0.31, 0.38, 2.9, 0.038, 19.0, 102.0, 0.9912, 3.17, 0.35, 11.0, negative
7.2, 0.32, 0.36, 2.0, 0.033, 37.0, 114.0, 0.9906, 3.1, 0.71, 12.3, negative
6.6, 0.25, 0.29, 1.1, 0.068, 39.0, 124.0, 0.9914, 3.34, 0.58, 11.0, negative
6.4, 0.26, 0.24, 6.4, 0.04, 27.0, 124.0, 0.9903, 3.22, 0.49, 12.6, negative
7.1, 0.18, 0.36, 1.4, 0.043, 31.0, 87.0, 0.9898, 3.26, 0.37, 12.7, negative
6.9, 0.24, 0.33, 1.7, 0.035, 47.0, 136.0, 0.99, 3.26, 0.4, 12.6, negative
6.9, 0.21, 0.33, 1.8, 0.034, 48.0, 136.0, 0.9899, 3.25, 0.41, 12.6, negative
7.5, 0.17, 0.32, 1.7, 0.04, 51.0, 148.0, 0.9916, 3.21, 0.44, 11.5, negative
8.6, 0.265, 0.36, 1.2, 0.034, 15.0, 80.0, 0.9913, 2.95, 0.36, 11.4, negative
6.5, 0.24, 0.32, 7.6, 0.038, 48.0, 203.0, 0.9958, 3.45, 0.54, 9.7, negative
6.1, 0.3, 0.56, 2.8, 0.044, 47.0, 179.0, 0.9924, 3.3, 0.57, 10.9, negative
