@relation  iris
@attribute SepalLength numeric
@attribute SepalWidth numeric
@attribute PetalLength numeric
@attribute PetalWidth numeric
@attribute Class {Iris-setosa,Iris-versicolor,Iris-virginica}


@data
5.1, 3.7, 1.5, 0.4, Iris-setosa
5.0, 3.2, 1.2, 0.2, Iris-setosa
5.4, 3.9, 1.3, 0.4, Iris-setosa
4.9, 3.1, 1.5, 0.1, Iris-setosa
4.4, 3.2, 1.3, 0.2, Iris-setosa
6.7, 3.1, 4.4, 1.4, Iris-versicolor
5.5, 2.5, 4.0, 1.3, Iris-versicolor
5.5, 2.4, 3.7, 1.0, Iris-versicolor
6.3, 2.5, 4.9, 1.5, Iris-versicolor
5.7, 2.6, 3.5, 1.0, Iris-versicolor
6.5, 3.0, 5.8, 2.2, Iris-virginica
5.9, 3.0, 5.1, 1.8, Iris-virginica
6.8, 3.0, 5.5, 2.1, Iris-virginica
6.5, 3.0, 5.5, 1.8, Iris-virginica
7.7, 3.0, 6.1, 2.3, Iris-virginica
