@relation  iris
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{Iris-setosa,Iris-versicolor,Iris-virginica}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.1, 3.8, 1.5, 0.3, Iris-setosa
5.1, 3.5, 1.4, 0.2, Iris-setosa
5.1, 3.3, 1.7, 0.5, Iris-setosa
4.9, 3.1, 1.5, 0.1, Iris-setosa
4.8, 3.4, 1.9, 0.2, Iris-setosa
6.0, 3.4, 4.5, 1.6, Iris-versicolor
5.8, 2.7, 3.9, 1.2, Iris-versicolor
5.6, 2.7, 4.2, 1.3, Iris-versicolor
6.1, 2.8, 4.7, 1.2, Iris-versicolor
7.0, 3.2, 4.7, 1.4, Iris-versicolor
6.7, 2.5, 5.8, 1.8, Iris-virginica
5.7, 2.5, 5.0, 2.0, Iris-virginica
6.3, 3.3, 6.0, 2.5, Iris-virginica
6.5, 3.2, 5.1, 2.0, Iris-virginica
7.9, 3.8, 6.4, 2.0, Iris-virginica
