@relation  iris
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{Iris-setosa,Iris-versicolor,Iris-virginica}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.0, 3.4, 1.5, 0.2, Iris-setosa
5.5, 3.5, 1.3, 0.2, Iris-setosa
5.0, 3.5, 1.6, 0.6, Iris-setosa
4.6, 3.1, 1.5, 0.2, Iris-setosa
4.6, 3.6, 1.0, 0.2, Iris-setosa
6.2, 2.2, 4.5, 1.5, Iris-versicolor
5.8, 2.7, 4.1, 1.0, Iris-versicolor
5.9, 3.0, 4.2, 1.5, Iris-versicolor
5.4, 3.0, 4.5, 1.5, Iris-versicolor
4.9, 2.4, 3.3, 1.0, Iris-versicolor
6.8, 3.2, 5.9, 2.3, Iris-virginica
6.3, 2.7, 4.9, 1.8, Iris-virginica
6.2, 3.4, 5.4, 2.3, Iris-virginica
6.3, 2.9, 5.6, 1.8, Iris-virginica
5.6, 2.8, 4.9, 2.0, Iris-virginica
