@relation  iris
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{Iris-setosa,Iris-versicolor,Iris-virginica}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.2, 3.5, 1.5, 0.2, Iris-setosa
5.0, 3.6, 1.4, 0.2, Iris-setosa
5.4, 3.4, 1.7, 0.2, Iris-setosa
4.9, 3.0, 1.4, 0.2, Iris-setosa
4.8, 3.4, 1.6, 0.2, Iris-setosa
6.0, 2.9, 4.5, 1.5, Iris-versicolor
5.7, 2.8, 4.1, 1.3, Iris-versicolor
5.5, 2.4, 3.8, 1.1, Iris-versicolor
5.7, 2.8, 4.5, 1.3, Iris-versicolor
6.0, 2.7, 5.1, 1.6, Iris-versicolor
7.1, 3.0, 5.9, 2.1, Iris-virginica
6.3, 2.8, 5.1, 1.5, Iris-virginica
6.3, 3.4, 5.6, 2.4, Iris-virginica
6.5, 3.0, 5.2, 2.0, Iris-virginica
7.6, 3.0, 6.6, 2.1, Iris-virginica
