@relation glass-0-4_vs_5
@attribute RI real [1.51115, 1.52666318]
@attribute Na real [11.02925, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.8884, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.87116, 12.49932]
@attribute Ba real [0.0, 2.1987]
@attribute Fe real [0.0, 0.459]
@attribute typeGlass {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.52099096, 13.68925, 3.592, 1.12139, 71.9604, 0.08694, 9.40044, 0.0, 0.0, negative
1.51910022, 13.90205, 3.73119, 1.17917, 72.1228, 0.0621, 8.89472, 0.0, 0.0, negative
1.51746006, 12.83805, 3.5022, 1.14065, 73.2708, 0.5589, 8.5504, 0.0, 0.0, negative
1.51761952, 12.79815, 3.65935, 1.26905, 73.0076, 0.60237, 8.56116, 0.0, 0.0, negative
1.5177562, 12.85135, 3.47975, 1.23053, 72.9684, 0.60858, 8.56116, 0.09135, 0.1122, negative
1.51910022, 13.88875, 3.52914, 1.32041, 71.8092, 0.50922, 8.77636, 0.11025, 0.0, negative
1.52171992, 13.5097, 3.8614, 0.88064, 71.7924, 0.22977, 9.54032, 0.0, 0.0561, negative
1.52320062, 13.7225, 3.72221, 0.51149, 71.7476, 0.08694, 10.568, 0.0, 0.0816, negative
1.52171992, 13.4831, 3.74017, 0.8999, 72.0108, 0.18009, 9.60488, 0.0, 0.0357, negative
1.51796122, 12.7383, 3.47975, 1.3493, 72.9572, 0.63963, 8.67952, 0.0, 0.0, negative
1.51768786, 12.45235, 2.71196, 1.29152, 73.702, 0.5589, 9.05612, 0.0, 0.1224, negative
1.52119598, 12.97105, 0.32777, 1.5098, 73.3884, 0.13041, 11.27268, 0.0, 0.1428, negative
1.5132002, 12.99765, 0.0, 3.0185, 70.7004, 6.21, 6.92564, 0.0, 0.0, negative
1.51994308, 13.2703, 0.0, 1.76018, 73.03, 0.47196, 11.31572, 0.0, 0.0, negative
1.52058092, 12.85135, 1.61191, 2.17106, 72.1788, 0.75762, 9.70172, 0.2394, 0.2601, negative
1.5196925, 12.63855, 0.0, 1.65104, 73.7524, 0.37881, 11.53092, 0.0, 0.0, negative
1.51937358, 13.789, 2.41113, 1.1888, 72.7612, 0.0, 9.76628, 0.0, 0.0, positive
1.51916856, 14.1481, 0.0, 2.09081, 72.7388, 0.0, 10.88532, 0.0, 0.0, positive
