@relation ecoli-0-3-4_vs_5
@attribute a1 real [0.0, 88.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 92.0]
@attribute a7 real [0.0, 88.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, negative
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, negative
42.0, 24.0, 48.0, 5.0, 57.0, 27.0, 37.0, negative
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, negative
23.0, 4.0, 48.0, 5.0, 39.0, 28.0, 38.0, negative
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, negative
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, negative
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, negative
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, negative
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, negative
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, negative
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, negative
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, negative
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, negative
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, negative
29.0, 47.0, 48.0, 5.0, 41.0, 23.0, 34.0, negative
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, negative
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, negative
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, negative
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, negative
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, negative
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, negative
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, negative
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, negative
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, negative
26.0, 5.0, 48.0, 5.0, 44.0, 32.0, 41.0, negative
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, negative
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, negative
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, negative
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, negative
69.0, 43.0, 48.0, 5.0, 59.0, 74.0, 77.0, negative
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, negative
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, negative
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, negative
87.0, 49.0, 48.0, 5.0, 61.0, 76.0, 79.0, negative
63.0, 69.0, 48.0, 5.0, 65.0, 41.0, 28.0, positive
74.0, 9.0, 48.0, 5.0, 57.0, 53.0, 29.0, positive
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, positive
63.0, 49.0, 48.0, 5.0, 79.0, 45.0, 28.0, positive
