@relation ecoli-0-4-6_vs_5
@attribute a1 real [0.0, 88.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 92.0]
@attribute a7 real [0.0, 88.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
59.0, 49.0, 48.0, 52.0, 45.0, 36.0, negative
22.0, 43.0, 48.0, 48.0, 16.0, 28.0, negative
36.0, 39.0, 48.0, 48.0, 22.0, 23.0, negative
21.0, 51.0, 48.0, 5.0, 32.0, 41.0, negative
43.0, 39.0, 48.0, 47.0, 31.0, 41.0, negative
34.0, 33.0, 48.0, 38.0, 35.0, 44.0, negative
56.0, 51.0, 48.0, 34.0, 37.0, 46.0, negative
24.0, 35.0, 48.0, 31.0, 19.0, 31.0, negative
29.0, 52.0, 48.0, 42.0, 29.0, 39.0, negative
33.0, 45.0, 48.0, 52.0, 32.0, 41.0, negative
4.0, 5.0, 48.0, 45.0, 39.0, 47.0, negative
28.0, 38.0, 48.0, 5.0, 33.0, 42.0, negative
17.0, 38.0, 48.0, 45.0, 42.0, 5.0, negative
29.0, 3.0, 48.0, 45.0, 3.0, 17.0, negative
51.0, 37.0, 48.0, 35.0, 36.0, 45.0, negative
44.0, 34.0, 48.0, 3.0, 33.0, 43.0, negative
24.0, 43.0, 48.0, 37.0, 28.0, 38.0, negative
41.0, 43.0, 48.0, 45.0, 31.0, 41.0, negative
4.0, 46.0, 48.0, 52.0, 49.0, 56.0, negative
5.0, 49.0, 48.0, 49.0, 46.0, 53.0, negative
5.0, 51.0, 48.0, 27.0, 23.0, 34.0, negative
64.0, 76.0, 48.0, 45.0, 35.0, 38.0, negative
57.0, 54.0, 48.0, 37.0, 28.0, 33.0, negative
24.0, 57.0, 48.0, 63.0, 34.0, 43.0, negative
44.0, 49.0, 48.0, 39.0, 38.0, 4.0, negative
25.0, 51.0, 48.0, 37.0, 42.0, 5.0, negative
4.0, 31.0, 48.0, 41.0, 29.0, 39.0, negative
34.0, 51.0, 48.0, 44.0, 37.0, 46.0, negative
3.0, 44.0, 48.0, 49.0, 22.0, 33.0, negative
79.0, 41.0, 48.0, 66.0, 81.0, 83.0, negative
83.0, 48.0, 48.0, 65.0, 76.0, 79.0, negative
78.0, 33.0, 48.0, 57.0, 77.0, 79.0, negative
75.0, 37.0, 48.0, 64.0, 7.0, 74.0, negative
59.0, 29.0, 48.0, 64.0, 75.0, 77.0, negative
81.0, 53.0, 48.0, 57.0, 87.0, 88.0, negative
87.0, 49.0, 48.0, 61.0, 76.0, 79.0, negative
64.0, 45.0, 48.0, 67.0, 61.0, 66.0, negative
63.0, 69.0, 48.0, 65.0, 41.0, 28.0, positive
67.0, 84.0, 48.0, 74.0, 54.0, 37.0, positive
68.0, 76.0, 48.0, 84.0, 45.0, 27.0, positive
52.0, 81.0, 48.0, 72.0, 38.0, 38.0, positive
