@relation  ionosphere
@attribute Pulse1 numeric
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class {g,b}


@data
1, 0.959, 0.101, 1.0, -0.019, 0.983, 0.026, 0.97, -0.093, 0.99, -0.027, 0.98, -0.031, 1.0, -0.053, 1.0, -0.052, 0.938, 0.016, 0.976, -0.093, 0.979, -0.053, 0.916, -0.157, 0.957, -0.07, 0.91, 0.013, 1.0, -0.108, 0.931, -0.069, g
1, 0.741, 0.05, 0.791, 0.025, 0.786, 0.038, 0.662, 0.099, 0.678, 0.312, 0.759, 0.073, 0.747, 0.084, 0.707, -0.079, 0.636, 0.0, 0.7, 0.114, 0.682, 0.122, 0.67, 0.154, 0.642, 0.136, 0.657, 0.175, 0.598, 0.147, 0.575, 0.151, g
1, 1.0, 0.051, 1.0, 0.108, 1.0, 0.195, 1.0, 0.285, 1.0, 0.348, 1.0, 0.383, 0.946, 0.429, 0.891, 0.504, 0.759, 0.588, 0.806, 0.6, 0.796, 0.628, 0.666, 0.639, 0.594, 0.694, 0.495, 0.727, 0.47, 0.717, 0.334, 0.752, g
1, 0.658, 0.436, 0.447, 0.748, 0.053, 0.851, -0.32, 0.821, -0.683, 0.524, -0.842, 0.071, -0.828, -0.287, -0.47, -0.717, -0.048, -0.86, 0.233, -0.763, 0.567, -0.521, 0.743, -0.186, 0.748, 0.237, 0.452, 0.591, 0.205, 0.768, -0.185, 0.744, g
1, 0.857, 0.0010, 0.819, -0.057, 0.775, -0.042, 0.843, 0.09, 0.863, 0.119, 0.881, -0.061, 0.783, 0.035, 0.837, -0.068, 0.836, -0.142, 0.881, 0.012, 0.905, 0.022, 0.797, -0.019, 0.824, -0.037, 0.881, -0.064, 0.739, -0.019, 0.791, -0.092, g
1, 0.683, 0.054, 0.848, 0.0020, 0.843, 0.0030, 0.843, 0.099, 0.758, 0.041, 0.819, 0.0060, 0.807, 0.0070, 0.806, -0.124, 0.779, -0.035, 0.764, 0.0090, 0.746, 0.01, 0.796, -0.042, 0.708, 0.011, 0.622, 0.116, 0.666, 0.012, 0.644, 0.012, g
1, 1.0, -0.034, 1.0, 0.0050, 1.0, -0.121, 0.89, 0.012, 0.731, 0.053, 0.854, 0.0080, 0.546, 0.0030, 0.838, -0.136, 0.755, -0.085, 0.709, -0.275, 0.434, -0.121, 0.575, -0.402, 0.59, -0.221, 0.431, -0.174, 0.604, -0.242, 0.56, -0.382, g
1, 0.901, 0.166, 0.793, 0.374, 0.73, 0.505, 0.598, 0.73, 0.443, 0.812, 0.244, 0.875, 0.064, 0.85, -0.126, 0.874, -0.287, 0.796, -0.466, 0.659, -0.571, 0.538, -0.682, 0.4, -0.718, 0.258, -0.724, 0.112, -0.715, -0.055, -0.677, -0.199, g
1, 1.0, 0.098, 1.0, 0.122, 1.0, 0.226, 0.986, 0.092, 0.949, 0.192, 0.93, 0.243, 0.892, 0.283, 0.855, 0.267, 0.837, 0.331, 0.834, 0.317, 0.748, 0.396, 0.762, 0.347, 0.685, 0.427, 0.628, 0.46, 0.568, 0.47, 0.543, 0.509, g
1, 0.495, 0.097, 0.296, 0.058, 0.35, 0.0, 0.573, -0.024, 0.583, 0.024, 0.335, 0.049, 0.524, 0.0050, 0.471, -0.107, 0.432, 0.0050, 0.35, 0.058, 0.189, 0.257, 0.311, -0.15, 0.365, 0.038, 0.393, 0.175, 0.262, 0.0, 0.374, -0.019, g
1, 1.0, -0.087, 1.0, -0.173, 0.866, -0.818, 0.948, 0.611, 0.955, -0.414, 0.885, -0.317, 0.879, -0.234, 0.811, -0.622, 0.122, -1.0, 0.903, 0.111, 0.624, -0.785, 0.554, -0.829, 0.481, -0.866, 0.406, -0.897, 0.33, -0.921, -0.133, -1.0, g
1, 0.982, 0.0090, 0.981, -0.038, 0.976, -0.057, 0.959, -0.07, 0.99, -0.045, 0.947, -0.111, 0.934, -0.128, 0.942, -0.116, 0.797, -0.192, 0.883, -0.174, 0.863, -0.187, 0.885, -0.197, 0.818, -0.211, 0.785, -0.239, 0.769, -0.231, 0.743, -0.239, g
1, 0.905, 0.411, 0.654, 0.748, 0.299, 0.959, -0.133, 0.978, -0.522, 0.833, -0.797, 0.551, -0.966, 0.152, -0.93, -0.256, -0.719, -0.594, -0.415, -0.852, -0.022, -0.938, 0.363, -0.854, 0.675, -0.62, 0.86, -0.281, 0.887, 0.098, 0.755, 0.463, g
1, 1.0, -0.415, 1.0, 0.761, 0.871, 0.186, 1.0, -0.099, 0.938, 0.48, 0.655, -0.161, 1.0, 0.0090, 0.976, -0.501, 0.8, -0.245, 0.881, -0.191, 1.0, -0.123, 0.936, 0.107, 0.929, -0.072, 1.0, -0.274, 0.44, 0.198, 0.514, -0.054, g
