@relation  ionosphere
@attribute Pulse1 numeric
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class {g,b}


@data
1, 1.0, 0.162, 1.0, -0.056, 1.0, 0.014, 1.0, -0.124, 1.0, -0.015, 1.0, -0.017, 1.0, -0.064, 1.0, -0.072, 1.0, 0.059, 1.0, -0.101, 1.0, -0.027, 1.0, -0.23, 1.0, -0.068, 1.0, 0.083, 1.0, -0.142, 1.0, -0.074, g
1, 0.982, 0.0, 0.886, 0.031, 0.862, 0.046, 0.8, 0.0, 0.691, 0.045, 0.793, 0.084, 0.771, 0.096, 0.627, 0.255, 0.682, 0.127, 0.707, 0.126, 0.686, 0.135, 0.745, 0.227, 0.646, 0.151, 0.673, 0.027, 0.607, 0.165, 0.588, 0.171, g
1, 0.961, 0.086, 0.968, 0.193, 0.96, 0.275, 0.98, 0.351, 0.929, 0.463, 0.863, 0.525, 0.828, 0.588, 0.732, 0.691, 0.69, 0.731, 0.545, 0.688, 0.483, 0.762, 0.406, 0.747, 0.334, 0.838, 0.249, 0.861, 0.138, 0.868, 0.09, 0.863, g
1, 0.87, 0.47, 0.539, 0.822, 0.104, 0.953, -0.38, 0.879, -0.739, 0.582, -0.921, 0.167, -0.824, -0.249, -0.594, -0.633, -0.24, -0.829, 0.188, -0.787, 0.516, -0.574, 0.693, -0.248, 0.691, 0.105, 0.528, 0.398, 0.26, 0.566, -0.067, 0.576, g
1, 0.889, 0.016, 0.92, 0.013, 0.924, 0.014, 0.892, -0.102, 0.901, -0.084, 0.93, -0.01, 0.931, -0.089, 0.86, -0.051, 0.895, -0.04, 0.884, -0.121, 0.889, -0.119, 0.83, -0.141, 0.865, -0.118, 0.855, -0.131, 0.835, -0.125, 0.868, -0.122, g
1, 0.607, -0.027, 0.671, 0.041, 0.529, -0.044, 0.505, 0.037, 0.705, -0.078, 0.58, -0.02, 0.532, 0.078, 0.641, 0.119, 0.569, -0.024, 0.532, 0.0070, 0.715, -0.034, 0.529, -0.034, 0.573, 0.0080, 0.586, -0.0030, 0.59, -0.027, 0.502, 0.068, g
1, 0.882, -0.146, 0.934, -0.111, 0.921, -0.164, 0.883, -0.17, 0.885, -0.318, 0.853, -0.315, 0.821, -0.359, 0.807, -0.336, 0.752, -0.47, 0.706, -0.472, 0.662, -0.501, 0.613, -0.481, 0.568, -0.546, 0.502, -0.599, 0.471, -0.574, 0.422, -0.581, g
1, 0.943, 0.2, 0.961, 0.408, 0.805, 0.566, 0.567, 0.708, 0.418, 0.832, 0.149, 0.895, 0.052, 0.937, -0.247, 0.839, -0.428, 0.756, -0.503, 0.626, -0.655, 0.504, -0.689, 0.309, -0.771, 0.156, -0.754, -0.044, -0.752, -0.179, -0.669, -0.344, g
1, 1.0, 0.074, 1.0, 0.034, 1.0, -0.056, 1.0, 0.088, 1.0, 0.197, 1.0, 0.203, 1.0, 0.128, 1.0, 0.106, 1.0, 0.271, 1.0, 0.448, 1.0, 0.418, 1.0, 0.2, 1.0, 0.367, 0.956, 0.486, 1.0, 0.325, 1.0, 0.467, g
1, 0.499, 0.018, 0.431, -0.096, 0.506, -0.042, 0.501, 0.096, 0.447, 0.06, 0.558, -0.119, 0.517, -0.036, 0.527, -0.06, 0.553, -0.01, 0.486, -0.034, 0.491, -0.01, 0.592, 0.0, 0.532, -0.033, 0.431, 0.034, 0.545, -0.055, 0.59, -0.086, g
