@relation  ionosphere
@attribute Pulse1 numeric
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class {g,b}


@data
1, 1.0, 0.011, 1.0, 0.011, 1.0, 0.023, 0.994, -0.014, 0.994, -0.0020, 0.983, 0.023, 1.0, 0.0090, 0.976, 0.0080, 0.979, 0.017, 0.98, 0.0070, 0.981, 0.021, 0.971, -0.0070, 0.98, 0.016, 0.979, 0.015, 0.986, 0.021, 0.987, 0.028, g
1, 0.615, 0.189, 0.782, 0.018, 0.775, 0.026, 0.651, -0.103, 0.775, 0.08, 0.74, 0.051, 0.723, 0.058, 0.686, -0.089, 0.617, 0.163, 0.662, 0.076, 0.639, 0.08, 0.602, -0.072, 0.588, 0.088, 0.551, 0.257, 0.534, 0.092, 0.506, 0.093, g
1, 0.927, 0.042, 0.893, 0.158, 0.861, 0.198, 0.837, 0.365, 0.806, 0.402, 0.762, 0.406, 0.666, 0.484, 0.601, 0.518, 0.534, 0.522, 0.484, 0.542, 0.425, 0.557, 0.333, 0.553, 0.27, 0.542, 0.223, 0.534, 0.143, 0.491, 0.116, 0.466, g
1, 1.0, 0.549, 0.627, 1.0, 0.02, 1.0, -0.49, 0.922, -0.824, 0.588, -1.0, 0.118, -0.961, -0.333, -0.647, -0.686, -0.235, -0.863, 0.353, -1.0, 0.745, -0.725, 0.922, -0.216, 0.929, 0.219, 0.725, 0.569, 0.235, 0.902, -0.118, 0.902, g
1, 0.876, 0.037, 0.9, 0.0030, 0.892, 0.0050, 0.863, 0.0, 0.95, 0.075, 0.87, 0.01, 0.863, 0.012, 0.839, -0.062, 0.857, 0.025, 0.842, 0.016, 0.835, 0.017, 0.795, -0.043, 0.821, 0.02, 0.82, 0.087, 0.808, 0.023, 0.801, 0.024, g
1, 0.501, -0.036, 0.611, 0.013, 0.589, 0.016, 0.589, 0.025, 0.667, -0.0040, 0.717, -0.047, 0.665, 0.0090, 0.573, 0.025, 0.647, -0.074, 0.569, 0.142, 0.575, -0.036, 0.465, 0.049, 0.566, 0.0080, 0.476, -0.036, 0.546, 0.106, 0.607, -0.081, g
1, 0.964, -0.072, 1.0, -0.143, 1.0, -0.213, 1.0, -0.362, 0.926, -0.436, 0.945, -0.407, 0.904, -0.464, 0.983, -0.353, 0.845, -0.66, 0.753, -0.606, 0.696, -0.642, 0.851, -0.654, 0.576, -0.697, 0.254, -0.639, 0.451, -0.728, 0.389, -0.734, g
1, 1.0, 0.234, 0.914, 0.52, 0.78, 0.721, 0.477, 0.842, 0.276, 0.917, 0.095, 0.882, -0.22, 0.914, -0.342, 0.755, -0.514, 0.645, -0.645, 0.446, -0.741, 0.292, -0.708, 0.036, -0.717, -0.119, -0.65, -0.282, -0.513, -0.445, -0.374, -0.533, g
1, 1.0, 0.068, 1.0, 0.142, 1.0, 0.221, 1.0, -0.125, 1.0, 0.395, 1.0, 0.49, 1.0, 0.59, -0.375, 1.0, 1.0, 0.0, 1.0, 0.92, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25, 1.0, 1.0, 1.0, 1.0, g
1, 0.715, -0.0060, 0.667, -0.042, 0.631, -0.052, 0.78, 0.081, 0.673, 0.097, 0.647, 0.159, 0.602, -0.019, 0.544, -0.045, 0.469, -0.1, 0.647, 0.149, 0.392, 0.217, 0.524, -0.055, 0.451, 0.0, 0.314, -0.068, 0.492, -0.107, 0.304, -0.052, g
