@relation  ionosphere
@attribute Pulse1 integer[0,1]
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class{g,b}
@inputs Pulse1,Pulse3,Pulse4,Pulse5,Pulse6,Pulse7,Pulse8,Pulse9,Pulse10,Pulse11,Pulse12,Pulse13,Pulse14,Pulse15,Pulse16,Pulse17,Pulse18,Pulse19,Pulse20,Pulse21,Pulse22,Pulse23,Pulse24,Pulse25,Pulse26,Pulse27,Pulse28,Pulse29,Pulse30,Pulse31,Pulse32,Pulse33,Pulse34
@outputs Class
@data
1, 0.969, 0.0090, 1.0, 0.0080, 0.987, -0.0080, 0.979, -0.028, 0.998, -0.035, 1.0, -0.013, 1.0, -0.026, 1.0, -0.012, 0.985, 0.0, 1.0, -0.026, 1.0, -0.047, 0.96, -0.045, 0.992, -0.035, 0.97, -0.025, 1.0, -0.039, 0.984, -0.041, g
1, 0.575, -0.032, 0.752, -0.054, 0.615, -0.012, 0.54, 0.034, 0.617, 0.099, 0.591, -0.024, 0.627, 0.012, 0.708, 0.026, 0.603, 0.016, 0.478, -0.028, 0.591, 0.038, 0.5, 0.04, 0.613, -0.012, 0.617, -0.135, 0.688, -0.014, 0.625, -0.032, g
1, 0.975, 0.131, 0.941, 0.2, 0.888, 0.322, 0.89, 0.327, 0.856, 0.452, 0.723, 0.523, 0.699, 0.588, 0.585, 0.669, 0.489, 0.704, 0.442, 0.682, 0.353, 0.756, 0.268, 0.762, 0.168, 0.785, 0.075, 0.804, -0.03, 0.777, -0.103, 0.742, g
1, 0.943, 0.386, 0.483, 0.645, 0.216, 0.775, -0.559, 0.649, -0.737, 0.42, -0.761, 0.0, -0.627, -0.311, -0.384, -0.622, -0.128, -0.693, 0.499, -0.636, 0.715, -0.377, 0.739, -0.055, 0.601, 0.304, 0.455, 0.605, 0.027, 0.545, -0.216, 0.505, g
1, 0.881, -0.0090, 0.898, -0.025, 0.941, -0.018, 0.892, -0.128, 0.822, -0.109, 0.889, 0.012, 0.908, -0.137, 0.871, -0.061, 0.908, -0.024, 0.88, -0.146, 0.829, -0.124, 0.901, -0.195, 0.882, -0.149, 0.844, -0.129, 0.884, -0.185, 0.917, -0.168, g
1, 0.961, 0.071, 1.0, 0.043, 1.0, 0.093, 0.902, -0.051, 0.893, 0.026, 0.832, -0.061, 0.875, 0.098, 0.765, 0.0030, 0.752, -0.053, 0.66, -0.079, 0.642, -0.059, 0.557, -0.077, 0.581, -0.022, 0.497, -0.013, 0.513, -0.0, 0.521, -0.0020, g
1, 1.0, -0.037, 1.0, -0.074, 0.996, -0.11, 0.998, -0.099, 0.989, -0.138, 0.967, -0.217, 0.953, -0.251, 0.912, -0.344, 0.906, -0.322, 0.9, -0.347, 0.879, -0.376, 0.862, -0.43, 0.832, -0.431, 0.814, -0.426, 0.779, -0.48, 0.751, -0.502, g
1, 0.897, 0.382, 0.912, 0.375, 0.743, 0.676, 0.456, 0.779, 0.191, 0.89, -0.022, 0.86, -0.206, 0.824, -0.375, 0.676, -0.5, 0.478, -0.735, 0.382, -0.86, 0.088, -0.743, -0.125, -0.679, -0.241, -0.551, -0.426, -0.441, -0.507, -0.287, -0.566, g
1, 0.996, 0.065, 1.0, -0.012, 0.978, 0.025, 0.961, 0.023, 0.993, 0.078, 0.893, 0.103, 0.942, 0.053, 0.888, 0.111, 0.861, 0.086, 0.816, 0.118, 0.837, 0.144, 0.813, 0.134, 0.795, 0.136, 0.791, 0.154, 0.771, 0.159, 0.709, 0.12, g
1, 0.353, -0.138, 0.694, -0.024, 0.682, -0.036, 0.557, -0.061, 0.618, -0.105, 0.621, -0.065, 0.594, -0.073, 0.423, -0.264, 0.582, 0.05, 0.497, -0.088, 0.462, -0.09, 0.45, -0.0060, 0.391, -0.09, 0.356, -0.103, 0.322, -0.086, 0.289, -0.083, g
1, 1.0, -0.142, 1.0, -0.163, 1.0, -0.237, 1.0, -0.075, 1.0, -0.25, 1.0, -0.262, 1.0, -0.22, 1.0, -0.386, 1.0, -0.462, 1.0, -0.355, 1.0, -0.597, 1.0, -0.476, 0.988, -0.497, 1.0, -0.758, 1.0, -0.758, 1.0, -0.844, g
1, 0.957, -0.121, 0.633, -0.127, 0.964, -0.182, 0.97, 0.085, 0.92, -0.011, 0.835, -0.247, 1.0, -0.314, 0.993, -0.212, 0.987, -0.21, 1.0, -0.272, 0.931, -0.395, 1.0, -0.192, 0.888, -0.316, 0.814, -0.237, 0.891, -0.319, 0.695, -0.416, g
1, 0.896, 0.379, 0.673, 0.694, 0.359, 0.887, -0.042, 0.933, -0.389, 0.844, -0.673, 0.621, -0.827, 0.304, -0.862, -0.054, -0.736, -0.343, -0.518, -0.624, -0.234, -0.739, 0.069, -0.739, 0.335, -0.623, 0.524, -0.421, 0.612, -0.173, 0.601, 0.087, g
1, 0.947, -0.0, 0.932, -0.032, 0.952, -0.034, 0.956, 0.024, 0.941, 0.018, 0.926, 0.047, 0.94, -0.015, 0.948, 0.02, 0.938, 0.014, 0.914, 0.077, 0.895, 0.061, 0.94, 0.032, 0.925, 0.025, 0.921, 0.022, 0.925, 0.0040, 0.927, -0.0060, g
1, 0.525, -0.034, 0.949, 0.085, 0.525, -0.169, 0.305, -0.017, 0.508, -0.136, 0.644, 0.288, 0.831, -0.356, 0.542, 0.017, 0.559, 0.034, 0.593, 0.305, 0.864, 0.051, 0.407, 0.153, 0.673, -0.0030, 0.661, -0.034, 0.831, -0.153, 0.763, -0.102, g
1, 0.798, 0.094, 0.781, 0.207, 0.716, 0.281, 0.693, 0.413, 0.659, 0.501, 0.579, 0.608, 0.492, 0.584, 0.334, 0.679, 0.296, 0.635, 0.096, 0.681, 0.021, 0.722, -0.087, 0.632, -0.119, 0.607, -0.182, 0.56, -0.255, 0.517, -0.273, 0.425, g
1, 0.333, -0.25, 0.444, 0.222, 0.389, 0.167, 0.417, 0.139, 0.5, -0.111, 0.549, -0.084, 0.583, 0.333, 0.556, 0.028, 0.25, -0.194, 0.472, -0.056, 0.528, -0.028, 0.389, 0.083, 0.415, -0.143, 0.194, -0.139, 0.369, -0.148, 0.083, -0.5, g
1, 0.898, 0.352, 0.673, 0.622, 0.439, 0.944, -0.036, 0.805, -0.228, 0.753, -0.251, 0.488, -0.574, 0.284, -0.668, 0.106, -0.474, -0.062, -0.811, -0.06, -0.332, -0.476, -0.129, -0.536, 0.072, -0.519, 0.243, -0.435, 0.366, -0.301, 0.428, 0.133, g
1, 0.946, 0.0090, 0.973, -0.0030, 0.989, 0.0040, 0.958, 0.016, 0.941, 0.035, 0.972, 0.047, 0.986, 0.019, 0.943, 0.071, 0.986, -0.0070, 0.978, 0.05, 0.964, 0.071, 0.933, 0.081, 0.952, 0.044, 0.975, 0.0080, 0.978, 0.071, 1.0, -0.0030, g
1, 0.956, -0.0020, 0.864, -0.132, 0.95, -0.0050, 0.828, -0.512, 0.924, 0.104, 1.0, -0.142, 0.993, -0.025, 0.959, -0.155, 0.84, 0.617, 1.0, -0.163, 0.875, -0.085, 0.857, -0.017, 0.841, -0.018, 0.824, -0.019, 0.806, -0.02, 0.788, -0.02, g
1, 0.87, 0.38, 0.641, 0.692, 0.313, 0.866, -0.039, 0.907, -0.422, 0.793, -0.706, 0.516, -0.81, 0.227, -0.811, -0.125, -0.675, -0.381, -0.383, -0.629, -0.13, -0.708, 0.156, -0.664, 0.385, -0.516, 0.526, -0.299, 0.562, -0.059, 0.515, 0.166, g
1, 0.709, -0.248, 0.643, 0.043, 0.452, 0.383, 0.652, 0.183, 0.5, 0.27, 0.578, -0.23, 0.504, 0.378, 0.387, -0.426, 0.361, -0.261, 0.27, 0.117, 0.532, -0.038, 0.313, -0.122, 0.499, -0.043, 0.483, -0.044, 0.643, -0.252, 0.504, 0.148, g
