@relation  ionosphere
@attribute Pulse1 integer[0,1]
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class{g,b}
@inputs Pulse1,Pulse3,Pulse4,Pulse5,Pulse6,Pulse7,Pulse8,Pulse9,Pulse10,Pulse11,Pulse12,Pulse13,Pulse14,Pulse15,Pulse16,Pulse17,Pulse18,Pulse19,Pulse20,Pulse21,Pulse22,Pulse23,Pulse24,Pulse25,Pulse26,Pulse27,Pulse28,Pulse29,Pulse30,Pulse31,Pulse32,Pulse33,Pulse34
@outputs Class
@data
1, 0.798, 0.383, 0.808, -0.17, 1.0, -0.077, 0.982, -0.074, 0.702, 0.207, 0.997, 0.021, 0.982, 0.025, 1.0, -0.131, 0.957, 0.077, 1.0, 0.0020, 0.903, 0.308, 1.0, -0.145, 1.0, -0.0040, 0.756, 0.079, 1.0, -0.188, 1.0, -0.057, g
1, 0.748, 0.0080, 0.833, 0.017, 0.826, 0.025, 0.866, 0.017, 0.605, 0.059, 0.791, 0.047, 0.774, 0.054, 0.647, 0.193, 0.84, 0.042, 0.713, 0.071, 0.689, 0.076, 0.664, 0.084, 0.637, 0.083, 0.613, 0.017, 0.582, 0.088, 0.553, 0.089, g
1, 1.0, 0.041, 1.0, 0.12, 1.0, 0.162, 1.0, 0.279, 0.987, 0.309, 0.927, 0.376, 0.911, 0.397, 0.819, 0.461, 0.786, 0.47, 0.794, 0.563, 0.703, 0.581, 0.671, 0.597, 0.589, 0.61, 0.54, 0.609, 0.453, 0.636, 0.404, 0.627, g
1, 0.852, 0.393, 0.389, 0.764, 0.089, 0.989, -0.426, 0.887, -0.762, 0.5, -0.931, 0.108, -0.859, -0.31, -0.66, -0.553, -0.193, -0.861, 0.284, -0.805, 0.646, -0.352, 0.778, -0.233, 0.717, 0.213, 0.378, 0.583, 0.197, 0.663, -0.112, 0.649, g
1, 0.847, 0.135, 0.736, -0.062, 0.879, 0.083, 0.889, -0.091, 0.787, 0.067, 0.807, -0.0040, 0.793, -0.011, 0.858, -0.046, 0.872, -0.035, 0.817, -0.095, 0.71, 0.044, 0.865, -0.151, 0.811, -0.048, 0.782, -0.0070, 0.757, -0.067, 0.858, -0.062, g
1, 0.76, 0.011, 0.863, 0.0030, 0.858, 0.0040, 0.8, 0.023, 0.815, 0.121, 0.831, 0.0070, 0.818, 0.0090, 0.828, -0.07, 0.765, 0.039, 0.77, 0.011, 0.751, 0.012, 0.771, -0.0030, 0.709, 0.014, 0.662, 0.0080, 0.663, 0.015, 0.639, 0.015, g
1, 1.0, -0.284, 1.0, -0.253, 0.946, -0.351, 1.0, -0.306, 0.927, -0.491, 0.908, -0.441, 0.757, -0.589, 0.697, -0.58, 0.596, -0.576, 0.685, -0.71, 0.545, -0.873, 0.492, -0.733, 0.355, -0.761, 0.264, -0.782, 0.166, -0.731, 0.14, -0.7, g
1, 0.977, 0.19, 0.827, 0.463, 0.718, 0.587, 0.48, 0.843, 0.314, 0.926, 0.103, 0.939, -0.133, 0.843, -0.32, 0.916, -0.521, 0.795, -0.683, 0.495, -0.774, 0.335, -0.854, 0.178, -0.833, -0.014, -0.824, -0.193, -0.673, -0.337, -0.599, -0.497, g
1, 1.0, 0.058, 0.945, 0.074, 1.0, 0.132, 1.0, -0.019, 0.948, 0.07, 0.957, 0.146, 0.949, 0.112, 0.909, 0.201, 0.967, 0.163, 0.997, 0.143, 0.908, 0.164, 0.917, 0.224, 0.884, 0.236, 0.886, 0.225, 0.783, 0.296, 0.836, 0.312, g
1, 0.5, 0.0, 0.387, 0.104, 0.491, 0.065, 0.47, -0.039, 0.357, -0.126, 0.457, 0.048, 0.504, 0.026, 0.357, 0.196, 0.422, 0.148, 0.422, -0.026, 0.322, -0.113, 0.474, -0.0090, 0.418, 0.069, 0.387, 0.039, 0.352, 0.148, 0.448, 0.174, g
1, 1.0, -0.572, 0.992, -0.734, 0.895, -0.974, 1.0, -0.358, 1.0, -0.232, 0.629, -0.864, 1.0, -0.575, 1.0, -0.796, 0.768, -0.89, 0.966, -1.0, 0.701, -0.749, 0.619, -0.769, 0.538, -0.78, 0.81, -1.0, 1.0, -1.0, 0.304, -0.761, g
1, 0.985, -0.027, 0.981, -0.041, 1.0, -0.076, 0.987, 0.015, 0.953, -0.026, 0.985, -0.075, 0.994, -0.071, 0.974, -0.095, 0.973, -0.122, 0.993, -0.053, 0.953, -0.089, 0.974, -0.083, 0.967, -0.129, 0.935, -0.149, 0.971, -0.158, 0.968, -0.188, g
1, 0.896, 0.393, 0.661, 0.718, 0.295, 0.908, -0.048, 0.944, -0.457, 0.846, -0.777, 0.585, -0.928, 0.251, -0.923, -0.153, -0.761, -0.484, -0.509, -0.762, -0.149, -0.886, 0.216, -0.857, 0.532, -0.686, 0.748, -0.407, 0.831, -0.07, 0.769, 0.279, g
1, 0.901, 0.018, 1.0, -0.018, 0.901, 0.0070, 0.848, 0.057, 1.0, 0.035, 0.979, 0.011, 0.975, 0.035, 1.0, -0.032, 0.897, -0.032, 0.862, 0.078, 1.0, 0.092, 0.901, 0.046, 0.943, 0.032, 0.947, 0.025, 1.0, 0.011, 0.936, 0.021, g
1, 0.744, -0.024, 0.708, 0.033, 0.722, 0.169, 0.792, 0.077, 0.814, 0.439, 0.638, 0.0060, 0.708, 0.217, 1.0, 0.061, 0.61, 0.051, 0.675, 0.042, 0.52, -0.25, 0.73, -0.158, 0.617, 0.071, 0.309, 0.086, 0.559, 0.075, 0.603, 0.217, g
1, 0.988, 0.022, 0.931, 0.341, 0.839, 0.352, 0.747, 0.489, 0.736, 0.519, 0.551, 0.602, 0.431, 0.662, 0.318, 0.704, 0.284, 0.689, 0.075, 0.737, 0.063, 0.713, -0.165, 0.697, -0.166, 0.605, -0.162, 0.558, -0.347, 0.442, -0.335, 0.375, g
1, 0.671, 0.025, 0.666, 0.05, 0.572, 0.188, 0.088, 0.341, 0.636, 0.121, 0.621, 0.143, 0.786, 0.11, 0.584, 0.182, 0.144, 0.412, 0.539, 0.213, 0.514, 0.226, 0.488, 0.237, 0.462, 0.246, 0.434, 0.253, 0.407, 0.258, 1.0, 0.33, g
1, 0.867, 0.36, 0.72, 0.667, 0.372, 0.83, 0.086, 0.859, -0.241, 0.861, -0.518, 0.676, -0.687, 0.415, -0.77, 0.099, -0.694, -0.137, -0.495, -0.422, -0.325, -0.577, -0.028, -0.6, 0.154, -0.531, 0.323, -0.371, 0.462, -0.197, 0.41, 0.018, g
1, 1.0, 0.091, 0.955, -0.091, 0.773, 0.0, 1.0, 0.0, 0.955, 0.0, 1.0, 0.045, 0.909, -0.045, 1.0, 0.0, 1.0, 0.0, 0.864, 0.091, 0.773, 0.091, 0.909, 0.045, 0.915, 0.029, 0.955, 0.091, 0.864, -0.091, 0.864, 0.045, g
1, 0.952, 0.023, 0.938, -0.013, 0.935, 0.012, 0.967, -0.017, 0.969, 0.0050, 0.957, -0.031, 0.953, -0.0040, 0.995, -0.027, 0.998, 0.018, 0.936, -0.05, 0.938, -0.024, 0.971, -0.045, 0.962, -0.016, 0.974, 0.019, 0.954, -0.034, 0.958, 0.0080, g
1, 1.0, 0.5, 1.0, 0.25, 0.25, 1.0, 0.169, 0.912, -0.133, 0.805, -0.341, 0.608, -0.438, 0.379, -0.437, 0.167, -0.367, 0.0070, -0.265, -0.09, -0.162, -0.13, -0.078, -0.127, -0.021, -0.102, 0.01, -0.07, 0.022, -0.041, 0.022, -0.02, g
1, 1.0, -0.066, 1.0, 0.629, 1.0, 0.096, 1.0, 0.203, 1.0, -1.0, 1.0, -0.406, 1.0, -0.159, 1.0, 0.049, 1.0, -0.615, 1.0, -0.266, 1.0, -1.0, 1.0, -0.58, 1.0, -0.814, 1.0, -1.0, 1.0, -0.786, 1.0, -0.483, g
1, 0.444, 0.444, 0.537, 0.908, -0.222, 1.0, -0.333, 0.889, -1.0, 0.333, -1.0, -0.111, -1.0, -0.222, -0.667, -0.778, 0.556, -1.0, -0.222, -0.778, 0.778, -0.222, 0.333, 0.0, 0.921, 0.45, 0.575, 0.844, 0.222, 1.0, -0.556, 1.0, g
1, 0.023, -0.0060, -0.099, -0.119, -0.0080, -0.118, 0.147, 0.066, 0.038, -0.063, 0.0, 0.0, -0.046, -0.155, -0.0030, -0.102, -0.116, -0.054, 0.018, 0.037, 0.015, 0.0090, 0.035, -0.015, -0.032, 0.092, -0.079, 0.0070, 0.0, 0.0, -0.0, 0.12, b
1, -0.656, 0.156, 0.062, 0.0, 0.0, 0.062, 0.625, 0.062, 0.188, 0.0, -0.031, 0.094, 0.062, 0.0, 0.156, -0.156, 0.438, -0.375, 0.0, -0.094, 0.0, 0.0, 0.031, -0.469, 0.031, 0.0, -0.719, 0.031, -0.031, 0.0, 0.0, 0.094, b
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.622, 1.0, 0.0, 0.0, 0.0, 0.0, 0.366, -0.72, 0.561, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
1, 1.0, -0.055, 1.0, -1.0, 0.5, -0.111, 0.361, -0.222, 1.0, -0.257, 0.167, -0.111, 1.0, -0.347, 1.0, -0.389, 1.0, -0.429, 0.0, -0.25, 1.0, -0.503, 1.0, -0.278, 1.0, -0.571, 1.0, -0.278, 1.0, -0.632, 1.0, -0.659, b
0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, b
