@relation  ionosphere
@attribute Pulse1 integer[0,1]
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class{g,b}
@inputs Pulse1,Pulse3,Pulse4,Pulse5,Pulse6,Pulse7,Pulse8,Pulse9,Pulse10,Pulse11,Pulse12,Pulse13,Pulse14,Pulse15,Pulse16,Pulse17,Pulse18,Pulse19,Pulse20,Pulse21,Pulse22,Pulse23,Pulse24,Pulse25,Pulse26,Pulse27,Pulse28,Pulse29,Pulse30,Pulse31,Pulse32,Pulse33,Pulse34
@outputs Class
@data
1, 0.975, 0.0070, 0.986, 0.02, 1.0, 0.02, 0.993, 0.016, 0.957, 0.023, 0.972, 0.036, 1.0, 0.037, 0.979, 0.021, 0.986, 0.057, 0.972, 0.048, 0.945, 0.055, 0.984, 0.036, 0.975, 0.065, 0.948, 0.082, 0.991, 0.062, 0.989, 0.099, g
1, 0.623, -0.035, 0.591, 0.0050, 0.604, -0.075, 0.632, 0.01, 0.625, -0.075, 0.67, 0.072, 0.629, -0.084, 0.675, 0.091, 0.671, 0.0, 0.59, 0.101, 0.501, 0.031, 0.659, 0.141, 0.605, 0.02, 0.514, 0.045, 0.617, -0.01, 0.614, -0.091, g
1, 0.952, 0.066, 0.936, 0.13, 0.91, 0.192, 0.849, -0.5, 0.9, 0.613, 0.779, 0.343, 0.723, 0.38, 0.661, 0.408, 0.955, 0.599, 0.533, 0.441, 0.468, 0.445, 0.404, 0.442, 0.344, 0.432, 0.903, 1.0, 0.234, 0.396, 0.186, 0.372, g
1, 1.0, 0.515, 0.455, 0.333, 0.061, 0.364, -0.321, 0.731, -0.455, 0.485, -0.576, 0.0, -0.576, -0.121, -0.333, -0.485, -0.091, -0.848, 0.485, -0.576, 0.576, -0.424, 1.0, -0.394, 0.73, 0.123, 0.97, 0.576, 0.242, 0.364, 0.091, 0.333, g
1, 0.895, -0.032, 0.875, 0.055, 0.895, 0.014, 0.929, 0.028, 0.913, -0.01, 0.941, -0.016, 0.919, 0.034, 0.937, 0.0, 0.943, 0.014, 0.905, 0.0080, 0.887, -0.018, 0.893, 0.024, 0.89, 0.016, 0.881, 0.0020, 0.873, 0.042, 0.867, 0.024, g
1, 0.468, 0.113, 0.59, 0.0070, 0.554, 0.069, 0.479, -0.14, 0.53, 0.013, 0.639, -0.162, 0.678, -0.033, 0.545, -0.135, 0.53, -0.047, 0.479, -0.195, 0.508, -0.135, 0.415, -0.202, 0.539, -0.115, 0.599, -0.029, 0.537, -0.118, 0.563, -0.044, g
1, 1.0, -0.024, 0.941, 0.065, 0.921, -0.233, 0.772, -0.164, 0.528, -0.203, 0.564, -0.0070, 0.344, -0.275, 0.529, -0.218, 0.451, -0.178, 0.06, -0.356, 0.023, -0.529, 0.033, -0.652, 0.133, -0.532, 0.024, -0.622, -0.057, -0.596, -0.046, -0.657, g
1, 0.347, 0.204, 0.469, 0.245, 0.408, 0.204, 0.469, 0.449, 0.306, 0.592, 0.122, 0.551, 0.0, 0.51, -0.061, 0.551, -0.204, 0.551, -0.286, 0.449, -0.286, 0.327, -0.612, 0.224, -0.466, 0.149, -0.592, 0.184, -0.347, 0.0, -0.265, -0.245, g
1, 1.0, -0.013, 1.0, 0.016, 1.0, -0.0020, 1.0, 0.063, 0.978, 0.045, 0.96, 0.029, 1.0, 0.065, 0.989, 0.034, 1.0, 0.036, 0.998, 0.094, 0.957, 0.074, 1.0, 0.101, 1.0, 0.088, 0.991, 0.085, 1.0, 0.101, 1.0, 0.101, g
1, 0.292, 0.136, 0.453, 0.168, 0.518, -0.0050, 0.526, 0.209, 0.525, -0.166, 0.474, -0.048, 0.555, 0.039, 0.817, -0.224, 0.424, -0.042, 0.35, 0.066, 0.282, -0.209, 0.517, -0.032, 0.504, -0.034, 0.346, 0.098, 0.708, -0.019, 0.396, -0.032, g
1, 1.0, -0.0060, 1.0, -0.098, 1.0, -0.076, 1.0, -0.106, 1.0, -0.111, 1.0, -0.395, 1.0, -0.156, 0.921, -0.319, 0.865, -0.345, 0.917, -0.441, 0.961, -0.469, 0.819, -0.404, 0.827, -0.422, 0.758, -0.382, 0.804, -0.406, 0.744, -0.45, g
1, 0.869, -0.071, 1.0, -0.025, 1.0, -0.069, 0.878, 0.0020, 0.836, -0.064, 1.0, -0.073, 1.0, -0.2, 0.869, 0.053, 0.88, -0.038, 1.0, -0.115, 1.0, -0.187, 0.844, 0.036, 1.0, -0.142, 0.822, -0.147, 1.0, -0.156, 1.0, -0.442, g
1, 0.937, 0.351, 0.753, 0.656, 0.456, 0.886, 0.153, 0.958, -0.218, 0.963, -0.565, 0.834, -0.788, 0.58, -0.931, 0.26, -0.936, -0.064, -0.87, -0.409, -0.651, -0.675, -0.368, -0.85, -0.046, -0.912, 0.273, -0.858, 0.548, -0.696, 0.748, -0.442, g
