@relation  ionosphere
@attribute Pulse1 numeric
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class {g,b}


@data
1, 1.0, -0.012, 1.0, -0.0030, 1.0, -0.016, 1.0, -0.016, 1.0, -0.028, 1.0, -0.022, 0.998, -0.031, 0.995, -0.032, 0.993, -0.035, 1.0, -0.039, 1.0, -0.05, 1.0, -0.049, 0.998, -0.055, 0.994, -0.063, 0.991, -0.065, 0.99, -0.067, g
1, 0.505, -0.169, 0.714, 0.015, 0.711, 0.023, 0.681, 0.013, 0.346, 0.056, 0.69, 0.044, 0.681, 0.051, 0.67, 0.057, 0.634, -0.047, 0.645, 0.069, 0.631, 0.074, 0.84, 0.181, 0.599, 0.083, 0.382, 0.068, 0.565, 0.09, 0.546, 0.093, g
1, 0.923, 0.078, 0.927, 0.163, 0.897, 0.246, 0.841, 0.352, 0.788, 0.422, 0.707, 0.47, 0.708, 0.565, 0.605, 0.642, 0.512, 0.649, 0.399, 0.67, 0.342, 0.683, 0.237, 0.761, 0.188, 0.739, 0.097, 0.71, 0.027, 0.771, -0.04, 0.695, g
1, 0.882, 0.435, 0.596, 0.777, 0.197, 0.945, -0.241, 0.925, -0.625, 0.713, -0.864, 0.337, -0.924, -0.053, -0.774, -0.447, -0.47, -0.733, -0.102, -0.822, 0.264, -0.776, 0.56, -0.559, 0.721, -0.244, 0.725, 0.096, 0.581, 0.389, 0.347, 0.577, g
1, 0.823, -0.076, 0.805, 0.0020, 0.875, -0.012, 0.868, -0.075, 0.728, -0.117, 0.846, 0.05, 0.831, -0.074, 0.748, 0.067, 0.783, 0.064, 0.868, -0.024, 0.788, -0.06, 0.745, -0.024, 0.767, -0.027, 0.74, -0.076, 0.701, -0.042, 0.784, 0.012, g
1, 0.749, -0.028, 0.657, -0.052, 0.806, 0.028, 0.859, 0.025, 0.635, 0.087, 0.716, 0.078, 0.731, 0.052, 0.786, -0.278, 0.66, -0.015, 0.787, 0.07, 0.346, -0.186, 0.654, 0.028, 0.61, -0.066, 0.536, -0.212, 0.59, -0.141, 0.564, 0.03, g
1, 0.922, -0.194, 0.964, -0.177, 0.87, -0.226, 0.817, -0.271, 0.793, -0.289, 0.703, -0.496, 0.633, -0.5, 0.373, -0.707, 0.271, -0.721, 0.405, -0.542, 0.335, -0.597, 0.148, -0.636, 0.093, -0.596, -0.072, -0.549, -0.018, -0.541, -0.075, -0.479, g
1, 0.918, 0.182, 0.861, 0.355, 0.729, 0.457, 0.604, 0.699, 0.504, 0.749, 0.361, 0.818, 0.157, 0.836, 0.0040, 0.852, -0.164, 0.779, -0.36, 0.762, -0.431, 0.654, -0.531, 0.539, -0.603, 0.41, -0.645, 0.273, -0.657, 0.137, -0.641, 0.054, g
1, 1.0, 0.118, 1.0, 0.235, 1.0, 0.412, 1.0, 0.059, 1.0, 0.235, 1.0, 0.118, 1.0, 0.471, 1.0, -0.059, 1.0, -0.118, 1.0, 0.353, 1.0, 0.412, 1.0, -0.118, 1.0, 0.202, 1.0, 0.059, 1.0, 0.353, 1.0, 0.235, g
1, 0.473, 0.195, 0.062, -0.183, 0.623, 0.01, 0.456, -0.044, 0.565, 0.018, 0.447, 0.275, 0.716, -0.038, 0.556, 0.124, 0.414, 0.115, 0.528, 0.028, 0.512, -0.107, 0.479, -0.024, 0.465, 0.033, 0.536, 0.251, 0.32, -0.145, 0.346, -0.0030, g
