@relation glass0
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.52222108, 13.21045, 3.7716, 0.79076, 71.9884, 0.13041, 10.2452, 0.0, 0.0, positive
1.51755118, 13.39, 3.65935, 1.1888, 72.7892, 0.57132, 8.27064, 0.0, 0.0561, positive
1.515706, 12.71835, 3.46179, 1.56116, 73.198, 0.67068, 8.08772, 0.0, 0.1224, positive
1.52171992, 13.5097, 3.8614, 0.88064, 71.7924, 0.22977, 9.54032, 0.0, 0.0561, positive
1.51755118, 12.99765, 3.60098, 1.35893, 72.9908, 0.57132, 8.39976, 0.0, 0.0561, positive
1.51784732, 13.7745, 3.48873, 1.27868, 72.862, 0.60237, 8.48584, 0.0, 0.0, positive
1.5175284, 12.57205, 3.47077, 1.3814, 73.3884, 0.60237, 8.5504, 0.0, 0.0306, positive
1.52171992, 13.4831, 3.74017, 0.8999, 72.0108, 0.18009, 9.60488, 0.0, 0.0357, positive
1.51768786, 12.55875, 3.52016, 1.42955, 73.1476, 0.57132, 8.53964, 0.0, 0.0, positive
1.51796122, 12.7383, 3.47975, 1.3493, 72.9572, 0.63963, 8.67952, 0.0, 0.0, positive
1.51748284, 12.858, 3.56057, 1.26905, 73.2092, 0.54027, 8.37824, 0.0, 0.0867, positive
1.51736894, 12.7782, 3.61894, 1.29152, 72.7892, 0.58995, 8.70104, 0.0, 0.0, positive
1.51566044, 13.29025, 3.44832, 1.21127, 72.7388, 0.5589, 8.57192, 0.0, 0.0, positive
1.5190091, 13.48975, 3.47975, 1.3493, 71.9492, 0.55269, 9.00232, 0.0, 0.0, positive
1.51709558, 12.99765, 3.47077, 1.78907, 72.722, 0.65826, 8.18456, 0.0, 0.0, negative
1.51871296, 12.93115, 3.65935, 1.56116, 72.5092, 0.57753, 8.5504, 0.0, 0.0612, negative
1.51618438, 13.01095, 3.5022, 1.48091, 72.89, 0.60237, 8.12, 0.0, 0.0, negative
1.51645774, 13.4432, 3.60996, 1.53869, 72.3916, 0.65826, 8.03392, 0.0, 0.0, negative
1.51743728, 12.19965, 3.25076, 1.15991, 73.5508, 0.621, 8.89472, 0.0, 0.1224, negative
1.5159338, 13.09075, 3.592, 1.51943, 73.0972, 0.67068, 7.82948, 0.0, 0.0, negative
1.51591102, 12.858, 3.52016, 2.1197, 72.6604, 0.68931, 7.96936, 0.0, 0.0, negative
1.51841682, 13.0176, 3.61894, 1.0604, 72.3412, 0.63963, 9.13144, 0.0, 0.0765, negative
1.52408904, 13.8289, 2.90054, 1.16954, 71.1484, 0.08073, 10.78848, 0.0, 0.0, negative
1.51652608, 13.5629, 3.56955, 1.47128, 72.4476, 0.63963, 7.9586, 0.0, 0.0, negative
1.51805234, 12.99765, 3.79854, 1.07966, 73.0692, 0.5589, 8.37824, 0.0, 0.0612, negative
1.51591102, 13.0176, 3.57853, 1.5098, 73.1196, 0.68931, 7.9586, 0.0, 0.0, negative
1.51591102, 12.8181, 3.52016, 1.90142, 72.862, 0.68931, 7.96936, 0.0, 0.0, negative
1.5167311, 13.2969, 3.64139, 1.52906, 72.5316, 0.65205, 8.03392, 0.0, 0.1479, negative
1.51595658, 13.0176, 3.56057, 1.53869, 73.1084, 0.72036, 7.9048, 0.0, 0.0, negative
1.51796122, 13.50305, 3.35852, 1.62857, 71.938, 0.57132, 8.80864, 0.0, 0.459, negative
1.51670832, 13.23705, 3.56955, 1.3814, 72.6996, 0.5589, 8.4428, 0.0, 0.051, negative
1.51654886, 13.40995, 3.38995, 1.27868, 72.638, 0.52164, 8.64724, 0.0, 0.0, negative
1.51914578, 12.73165, 1.84988, 1.85969, 72.6884, 0.60237, 10.08908, 0.0, 0.0, negative
1.5215149, 11.02925, 1.71069, 1.56116, 73.4388, 0.57753, 11.617, 0.0, 0.0, negative
1.51666276, 12.858, 0.0, 1.8308, 73.8812, 0.96876, 10.17516, 0.0, 0.0, negative
1.51299518, 14.4008, 1.74212, 1.53869, 74.5476, 0.0, 7.59276, 0.0, 0.0, negative
1.51916856, 14.1481, 0.0, 2.09081, 72.7388, 0.0, 10.88532, 0.0, 0.0, negative
1.51652608, 11.94695, 0.0, 1.1888, 75.1804, 2.70135, 8.927, 0.0, 0.0, negative
1.52064926, 14.3609, 0.0, 2.02019, 73.422, 0.0, 8.4428, 1.64115, 0.0, negative
1.51130946, 13.68925, 3.20137, 1.81154, 72.8116, 1.75743, 5.43, 1.1907, 0.0, negative
1.5163894, 14.36755, 0.0, 2.73923, 72.8508, 0.0, 9.45424, 0.53865, 0.0, negative
1.516845, 14.9195, 0.0, 1.9913, 73.58, 0.0, 8.39976, 1.59075, 0.0, negative
1.51602492, 14.853, 0.0, 2.37971, 73.282, 0.0, 8.75484, 0.63945, 0.459, negative
