@relation shuttle-c0-vs-c4
@attribute A1 integer [36, 123]
@attribute A2 integer [-908, 1409]
@attribute A3 integer [74, 113]
@attribute A4 integer [-587, 2565]
@attribute A5 integer [-46, 436]
@attribute A6 integer [-898, 6339]
@attribute A7 integer [-18, 72]
@attribute A8 integer [-353, 130]
@attribute A9 integer [-356, 126]
@attribute Class {positive, negative}
@input A1,A2,A3,A4,A5,A6,A7,A8,A9
@output Class
@data
48, 1, 81, -1, 46, 0, 33, 34, 2, negative
43, 0, 77, 10, 42, -34, 34, 36, 2, negative
44, 0, 79, -2, 44, 0, 35, 35, 0, negative
41, 1, 108, 0, 42, 10, 66, 66, 0, negative
37, 0, 104, -2, 16, -14, 67, 89, 22, negative
56, 0, 89, 0, 56, 0, 33, 32, 0, negative
37, 0, 81, 5, 34, 1, 43, 47, 4, negative
57, 0, 82, 5, 56, 0, 25, 25, 0, negative
56, 0, 95, 0, 54, 1, 39, 41, 2, negative
49, 0, 88, 0, 46, -6, 39, 41, 2, negative
56, 4, 91, 0, 56, 6, 35, 34, 0, negative
37, 0, 104, -1, 16, -5, 67, 88, 22, negative
37, 0, 78, 0, 2, 11, 42, 75, 34, negative
37, 0, 100, 0, 30, -3, 64, 69, 6, negative
47, 5, 84, 0, 46, 0, 37, 38, 0, negative
37, 0, 77, 7, 16, 7, 40, 61, 22, negative
41, -1, 76, 0, 38, -14, 35, 37, 2, negative
45, 1, 76, -2, 44, -4, 31, 32, 0, negative
44, 0, 82, -5, 44, -1, 38, 38, 0, negative
57, 0, 88, 0, 56, 0, 31, 31, 0, negative
37, 0, 83, 0, 8, 19, 47, 75, 28, negative
56, -5, 107, 0, 56, 3, 51, 50, 0, negative
37, 0, 80, 4, 28, 0, 43, 52, 8, negative
55, -3, 90, 0, 54, -12, 34, 35, 2, negative
37, 0, 80, 0, 36, 5, 43, 44, 0, negative
38, 1, 92, 0, 28, 20, 54, 64, 10, negative
41, 0, 106, 0, 38, 0, 65, 67, 2, negative
45, 2, 79, 0, 46, 29, 33, 32, 0, negative
37, 0, 77, 0, 26, 0, 41, 52, 10, negative
37, 0, 77, 0, 24, -16, 40, 54, 14, negative
37, 0, 77, 0, 6, -10, 40, 72, 32, negative
43, 0, 81, -1, 42, -13, 37, 39, 2, negative
37, 0, 108, 2, 36, 0, 70, 71, 2, negative
45, 0, 87, 2, 44, -19, 42, 43, 2, negative
44, 0, 81, 0, 42, -18, 38, 40, 2, negative
37, 0, 84, 0, 26, 9, 47, 58, 10, negative
41, 0, 77, 0, 42, 10, 36, 35, 0, negative
46, 0, 83, -6, 46, 0, 37, 37, 0, negative
37, -1, 106, -15, 28, 0, 69, 78, 8, negative
39, 0, 85, 2, 38, 0, 46, 46, 0, negative
45, 0, 86, 1, 44, -3, 41, 42, 2, negative
55, 1, 79, 0, 54, 0, 23, 24, 2, negative
37, 0, 104, 6, 18, 0, 66, 86, 20, negative
37, 0, 104, -14, 28, 0, 67, 75, 8, negative
43, 0, 87, 0, 42, -10, 44, 46, 2, negative
45, 0, 79, 0, 44, -14, 34, 35, 2, negative
46, 0, 83, 0, 44, -19, 37, 39, 2, negative
41, 0, 76, -4, 38, 0, 35, 37, 2, negative
44, 0, 97, 1, 42, -23, 53, 55, 2, negative
56, -1, 90, -1, 54, -30, 34, 35, 2, negative
53, 0, 103, 0, 52, -17, 50, 51, 2, negative
51, 0, 91, 0, 52, 0, 40, 39, 0, negative
56, 2, 97, 0, 54, 3, 40, 42, 2, negative
37, 0, 78, 6, 36, 23, 41, 42, 0, negative
37, 0, 76, 4, 28, 0, 39, 48, 8, negative
56, 0, 95, 0, 54, 2, 40, 41, 2, negative
39, 3, 80, 5, 38, 0, 41, 41, 0, negative
52, 2, 77, 0, 52, 0, 25, 25, 0, negative
51, 0, 102, 0, 52, 11, 51, 50, 0, negative
37, -2, 77, 8, -2, 0, 39, 79, 40, negative
37, 0, 79, 0, 10, 20, 42, 68, 26, negative
37, 0, 82, 1, 18, -17, 45, 64, 18, negative
55, 4, 91, 0, 54, 0, 35, 37, 2, negative
46, 0, 84, -3, 46, 0, 38, 37, 0, negative
49, -5, 83, 0, 50, 0, 33, 33, 0, negative
41, 0, 106, 0, 42, 1, 65, 65, 0, negative
37, 1, 82, -3, 34, 0, 45, 48, 4, negative
37, -2, 107, 0, 36, -23, 69, 71, 2, negative
49, 1, 77, 0, 50, 18, 28, 28, 0, negative
51, 4, 86, 0, 52, 16, 35, 34, 0, negative
37, 0, 93, 0, 12, 3, 56, 81, 24, negative
