@relation shuttle-c0-vs-c4
@attribute A1 integer [36, 123]
@attribute A2 integer [-908, 1409]
@attribute A3 integer [74, 113]
@attribute A4 integer [-587, 2565]
@attribute A5 integer [-46, 436]
@attribute A6 integer [-898, 6339]
@attribute A7 integer [-18, 72]
@attribute A8 integer [-353, 130]
@attribute A9 integer [-356, 126]
@attribute Class {positive, negative}
@input A1,A2,A3,A4,A5,A6,A7,A8,A9
@output Class
@data
37, 0, 79, 0, 26, -4, 42, 53, 12, negative
44, 4, 82, -7, 44, 1, 38, 38, 0, negative
37, 0, 76, 0, 34, 13, 39, 42, 4, negative
66, 0, 109, 0, 68, 4, 43, 42, 0, negative
37, 0, 77, 0, 38, 4, 39, 38, 0, negative
54, -2, 78, -1, 54, 0, 24, 24, 0, negative
45, 0, 93, 0, 44, -4, 48, 50, 2, negative
43, 0, 81, -5, 42, -1, 37, 39, 2, negative
51, -2, 87, 0, 50, -13, 36, 38, 2, negative
41, 0, 88, 0, 42, 1, 47, 47, 0, negative
46, 0, 81, 1, 46, 8, 35, 35, 0, negative
50, 0, 78, -6, 50, 0, 29, 29, 0, negative
43, 5, 90, 0, 42, 0, 47, 49, 2, negative
43, 0, 78, 0, 42, -1, 35, 37, 2, negative
45, 0, 86, 7, 44, 0, 42, 42, 0, negative
56, 0, 86, 0, 54, -30, 30, 32, 2, negative
37, 0, 77, -1, 20, -4, 40, 56, 16, negative
38, 0, 82, 0, 38, 11, 44, 43, 0, negative
44, 0, 85, 0, 44, 16, 41, 41, 0, negative
41, 0, 77, 0, 38, -1, 37, 39, 2, negative
53, 0, 108, 0, 52, -7, 55, 56, 2, negative
51, 4, 79, 0, 52, 14, 27, 27, 0, negative
39, 0, 76, -2, 38, 0, 36, 37, 0, negative
37, 0, 106, 0, 34, -1, 69, 72, 4, negative
45, 0, 81, 0, 46, 19, 36, 35, 0, negative
37, 0, 82, 0, 26, -15, 45, 56, 10, negative
49, 3, 88, 0, 50, 0, 39, 39, 0, negative
42, 5, 102, 0, 42, 0, 60, 60, 0, negative
43, 0, 108, 0, 42, -2, 64, 66, 2, negative
37, 0, 76, 0, 20, 17, 40, 55, 16, negative
48, 5, 88, 0, 46, 0, 40, 41, 2, negative
48, -3, 80, 0, 46, -5, 32, 34, 2, negative
37, 0, 78, 0, 16, 11, 41, 63, 22, negative
37, 0, 95, 0, 28, 29, 58, 67, 8, negative
46, 0, 83, -1, 44, -25, 37, 39, 2, negative
43, -1, 77, 0, 42, 0, 34, 35, 2, negative
44, 0, 81, 0, 44, 21, 38, 37, 0, negative
37, 0, 105, -4, 16, -21, 68, 89, 22, negative
39, -2, 79, 0, 38, 0, 40, 41, 0, negative
43, 0, 79, 4, 42, 0, 37, 38, 2, negative
41, 0, 76, -2, 38, 0, 35, 37, 2, negative
37, 0, 79, 0, 8, -12, 43, 72, 28, negative
37, 3, 98, 0, 34, 6, 61, 64, 4, negative
37, 0, 80, 0, 8, 23, 43, 72, 28, negative
41, -2, 86, 0, 42, 11, 46, 45, 0, negative
52, -3, 86, 0, 52, 0, 34, 34, 0, negative
43, 0, 86, -3, 42, 0, 42, 44, 2, negative
43, -1, 77, 0, 42, -4, 34, 35, 2, negative
40, 1, 102, 0, 38, 0, 62, 63, 2, negative
41, 0, 89, 0, 38, -23, 48, 50, 2, negative
42, 0, 86, 6, 42, 0, 43, 44, 2, negative
53, 0, 79, 0, 52, -11, 26, 27, 2, negative
37, 0, 75, 0, 18, -18, 38, 57, 18, negative
47, 5, 82, -2, 46, 0, 34, 35, 0, negative
37, -27, 106, 0, 34, 28, 69, 72, 4, negative
49, 0, 77, 0, 46, -21, 28, 30, 2, negative
46, 0, 81, -5, 46, 0, 35, 34, 0, negative
45, 0, 81, -2, 44, -3, 36, 37, 0, negative
37, 5, 75, 0, 18, 0, 38, 57, 18, negative
51, 5, 77, 0, 50, 0, 27, 28, 2, negative
50, -5, 84, 0, 50, 0, 33, 35, 2, negative
48, 0, 81, 0, 50, 30, 33, 32, 0, negative
45, 0, 82, 6, 44, 0, 37, 38, 0, negative
55, 0, 83, -1, 54, 0, 28, 29, 2, negative
49, 0, 81, 0, 50, -4, 32, 32, 0, negative
44, 3, 87, -4, 44, 2, 43, 43, 0, negative
47, 0, 85, 2, 46, 0, 38, 39, 0, negative
39, -4, 97, 0, 38, 0, 58, 59, 0, negative
52, -2, 81, 0, 54, 31, 29, 27, 0, negative
46, 0, 82, 0, 44, -14, 36, 38, 2, negative
42, -1, 86, 0, 42, 0, 45, 45, 0, negative
41, 5, 79, 0, 38, -5, 38, 40, 2, negative
37, 0, 107, 0, 30, 13, 70, 76, 6, negative
37, 0, 80, 0, 8, 21, 43, 72, 30, negative
38, 0, 90, 0, 8, 3, 52, 82, 30, negative
37, 0, 79, -3, 20, -6, 43, 59, 16, negative
37, 0, 79, -6, 2, 0, 43, 77, 34, negative
40, 0, 85, -1, 38, 0, 45, 46, 2, negative
51, 0, 88, 0, 52, 22, 37, 36, 0, negative
37, 0, 78, 0, 24, -15, 41, 55, 14, negative
37, 0, 79, 0, 8, 27, 43, 72, 28, negative
51, 0, 86, 0, 52, 14, 35, 35, 0, negative
46, 2, 81, 1, 46, 14, 35, 35, 0, negative
50, 0, 79, 7, 50, 0, 28, 30, 2, negative
55, 0, 84, 5, 54, 0, 29, 30, 0, negative
41, 0, 86, -1, 42, 9, 45, 44, 0, negative
45, -3, 86, 0, 44, 0, 42, 42, 0, negative
37, -26, 106, 0, 30, 0, 69, 75, 6, negative
43, 0, 81, -3, 42, -15, 37, 39, 2, negative
38, 2, 76, 0, 38, 2, 38, 37, 0, negative
49, 1, 77, 0, 46, -2, 29, 31, 2, negative
37, 0, 78, 0, 10, -10, 41, 68, 26, negative
39, -9, 78, 0, -2, -28, 39, 81, 42, negative
60, 4, 87, 0, 60, 0, 27, 28, 0, negative
46, 5, 79, 0, 46, 20, 33, 32, 0, negative
37, 0, 77, 5, 36, 2, 40, 41, 0, negative
57, 0, 91, 0, 56, 0, 34, 34, 0, negative
