@relation shuttle-c0-vs-c4
@attribute A1 integer [36, 123]
@attribute A2 integer [-908, 1409]
@attribute A3 integer [74, 113]
@attribute A4 integer [-587, 2565]
@attribute A5 integer [-46, 436]
@attribute A6 integer [-898, 6339]
@attribute A7 integer [-18, 72]
@attribute A8 integer [-353, 130]
@attribute A9 integer [-356, 126]
@attribute Class {positive, negative}
@input A1,A2,A3,A4,A5,A6,A7,A8,A9
@output Class
@data
62, 0, 109, 0, 62, 23, 48, 47, 0, negative
49, -4, 107, -1, 50, 0, 58, 58, 0, negative
37, 0, 78, -4, 28, 0, 41, 50, 8, negative
54, 1, 82, 0, 54, 0, 28, 28, 0, negative
53, 1, 78, 0, 52, -7, 25, 26, 2, negative
44, 1, 108, 0, 44, 3, 64, 64, 0, negative
46, 4, 87, 0, 44, -19, 41, 43, 2, negative
37, 0, 83, 0, 0, 3, 46, 83, 36, negative
44, 2, 88, 0, 44, 12, 44, 44, 0, negative
41, 3, 76, 0, 42, 13, 35, 35, 0, negative
37, 0, 82, -3, 8, 0, 45, 74, 30, negative
39, 0, 106, 6, 38, 0, 68, 67, 0, negative
37, 0, 100, 0, 30, -11, 64, 69, 6, negative
56, 1, 86, 0, 54, -8, 31, 32, 2, negative
44, -8, 88, 0, 44, 0, 44, 44, 0, negative
44, 0, 75, -1, 44, 9, 31, 31, 0, negative
41, 0, 86, 3, 42, 20, 46, 45, 0, negative
37, -54, 106, -2, 36, 0, 69, 69, 0, negative
51, -4, 84, 0, 50, -4, 34, 35, 2, negative
37, 0, 77, 0, 38, 17, 39, 38, 0, negative
37, 0, 78, 0, 2, -13, 41, 75, 34, negative
37, 0, 77, 6, 36, -7, 39, 41, 2, negative
51, -2, 77, 0, 50, -13, 26, 28, 2, negative
49, 0, 82, 0, 46, -8, 33, 35, 2, negative
37, 0, 77, 0, 0, 0, 41, 77, 36, negative
37, 0, 76, 0, 26, 17, 40, 50, 10, negative
37, 0, 104, 0, 16, -16, 67, 89, 22, negative
53, 2, 79, 0, 54, 28, 26, 24, 0, negative
