@relation shuttle-c0-vs-c4
@attribute A1 integer [36, 123]
@attribute A2 integer [-908, 1409]
@attribute A3 integer [74, 113]
@attribute A4 integer [-587, 2565]
@attribute A5 integer [-46, 436]
@attribute A6 integer [-898, 6339]
@attribute A7 integer [-18, 72]
@attribute A8 integer [-353, 130]
@attribute A9 integer [-356, 126]
@attribute Class {positive, negative}
@input A1,A2,A3,A4,A5,A6,A7,A8,A9
@output Class
@data
41, 1, 86, 3, 42, 6, 45, 45, 0, negative
50, -4, 83, 0, 50, 0, 33, 34, 2, negative
48, 1, 81, -1, 46, 0, 33, 34, 2, negative
37, 0, 79, 0, 26, -4, 42, 53, 12, negative
37, 0, 81, 0, 38, 7, 43, 42, 0, negative
43, 0, 81, 0, 42, -10, 37, 39, 2, negative
43, 0, 77, 10, 42, -34, 34, 36, 2, negative
44, 0, 79, -2, 44, 0, 35, 35, 0, negative
44, 4, 82, -7, 44, 1, 38, 38, 0, negative
37, 0, 76, 0, 34, 13, 39, 42, 4, negative
62, 0, 109, 0, 62, 23, 48, 47, 0, negative
49, -4, 107, -1, 50, 0, 58, 58, 0, negative
41, 1, 108, 0, 42, 10, 66, 66, 0, negative
45, -4, 81, 1, 44, -21, 36, 37, 2, negative
37, 0, 104, -2, 16, -14, 67, 89, 22, negative
49, -1, 86, 0, 50, 4, 37, 37, 0, negative
66, 0, 109, 0, 68, 4, 43, 42, 0, negative
56, 0, 89, 0, 56, 0, 33, 32, 0, negative
50, 0, 110, 1, 50, 0, 60, 61, 2, negative
37, 0, 81, 5, 34, 1, 43, 47, 4, negative
44, 1, 86, 0, 44, 22, 42, 42, 0, negative
37, 0, 78, -4, 28, 0, 41, 50, 8, negative
57, 0, 82, 5, 56, 0, 25, 25, 0, negative
56, 0, 95, 0, 54, 1, 39, 41, 2, negative
37, 0, 106, 0, 24, -2, 69, 83, 14, negative
54, 1, 82, 0, 54, 0, 28, 28, 0, negative
37, 0, 76, 0, 34, 19, 39, 43, 4, negative
37, 0, 77, 0, 38, 4, 39, 38, 0, negative
45, 0, 106, 0, 46, 14, 61, 60, 0, negative
54, -2, 78, -1, 54, 0, 24, 24, 0, negative
45, 0, 93, 0, 44, -4, 48, 50, 2, negative
53, 1, 78, 0, 52, -7, 25, 26, 2, negative
49, 0, 88, 0, 46, -6, 39, 41, 2, negative
43, 0, 81, -5, 42, -1, 37, 39, 2, negative
51, -2, 87, 0, 50, -13, 36, 38, 2, negative
56, 4, 91, 0, 56, 6, 35, 34, 0, negative
37, 0, 104, -1, 16, -5, 67, 88, 22, negative
37, 0, 78, 0, 2, 11, 42, 75, 34, negative
41, 0, 88, 0, 42, 1, 47, 47, 0, negative
44, 1, 108, 0, 44, 3, 64, 64, 0, negative
37, 0, 100, 0, 30, -3, 64, 69, 6, negative
46, 4, 87, 0, 44, -19, 41, 43, 2, negative
37, 0, 83, 0, 0, 3, 46, 83, 36, negative
46, 0, 81, 1, 46, 8, 35, 35, 0, negative
44, 2, 88, 0, 44, 12, 44, 44, 0, negative
41, 3, 76, 0, 42, 13, 35, 35, 0, negative
37, 0, 81, 3, 34, 1, 43, 47, 4, negative
37, 0, 82, -3, 8, 0, 45, 74, 30, negative
44, 0, 86, -1, 44, 8, 42, 42, 0, negative
44, 3, 77, 0, 44, 23, 33, 33, 0, negative
50, 0, 78, -6, 50, 0, 29, 29, 0, negative
47, 5, 84, 0, 46, 0, 37, 38, 0, negative
43, 5, 90, 0, 42, 0, 47, 49, 2, negative
43, 0, 78, 0, 42, -1, 35, 37, 2, negative
37, 0, 77, 7, 16, 7, 40, 61, 22, negative
45, 0, 86, 7, 44, 0, 42, 42, 0, negative
41, -1, 76, 0, 38, -14, 35, 37, 2, negative
45, 1, 76, -2, 44, -4, 31, 32, 0, negative
41, 0, 84, 2, 38, -4, 43, 45, 2, negative
56, 0, 86, 0, 54, -30, 30, 32, 2, negative
37, 0, 77, -1, 20, -4, 40, 56, 16, negative
44, 0, 82, -5, 44, -1, 38, 38, 0, negative
39, -5, 76, -1, -2, 0, 37, 79, 42, negative
38, 0, 82, 0, 38, 11, 44, 43, 0, negative
39, 0, 106, 6, 38, 0, 68, 67, 0, negative
44, -2, 86, 0, 44, 0, 42, 42, 0, negative
37, 0, 100, 0, 30, -11, 64, 69, 6, negative
57, 0, 88, 0, 56, 0, 31, 31, 0, negative
47, 0, 88, -2, 46, 0, 40, 41, 0, negative
39, -1, 78, -5, 38, 0, 39, 39, 0, negative
37, -1, 79, -3, 20, -7, 42, 58, 16, negative
44, 0, 85, 0, 44, 16, 41, 41, 0, negative
41, 0, 77, 0, 38, -1, 37, 39, 2, negative
53, 0, 108, 0, 52, -7, 55, 56, 2, negative
51, 4, 79, 0, 52, 14, 27, 27, 0, negative
39, 0, 76, -2, 38, 0, 36, 37, 0, negative
56, 1, 86, 0, 54, -8, 31, 32, 2, negative
51, 1, 88, 0, 50, -7, 36, 39, 2, negative
46, 1, 86, 0, 44, -12, 41, 42, 2, negative
39, -1, 79, -3, 38, 0, 40, 41, 0, negative
37, 0, 106, 0, 34, -1, 69, 72, 4, negative
44, -8, 88, 0, 44, 0, 44, 44, 0, negative
40, 4, 90, 0, 38, 0, 49, 51, 2, negative
37, 0, 83, 0, 8, 19, 47, 75, 28, negative
45, 0, 81, 0, 46, 19, 36, 35, 0, negative
37, 0, 82, 0, 26, -15, 45, 56, 10, negative
37, 0, 83, 0, 30, 24, 46, 52, 6, negative
56, -5, 107, 0, 56, 3, 51, 50, 0, negative
37, 0, 80, 4, 28, 0, 43, 52, 8, negative
49, 3, 88, 0, 50, 0, 39, 39, 0, negative
36, 3, 75, 0, 36, 0, 39, 39, 0, negative
42, 5, 102, 0, 42, 0, 60, 60, 0, negative
42, 0, 86, -5, 42, 0, 45, 45, 0, negative
43, 0, 108, 0, 42, -2, 64, 66, 2, negative
55, -3, 90, 0, 54, -12, 34, 35, 2, negative
44, 0, 75, -1, 44, 9, 31, 31, 0, negative
41, 0, 86, 3, 42, 20, 46, 45, 0, negative
37, 0, 76, 0, 20, 17, 40, 55, 16, negative
37, -54, 106, -2, 36, 0, 69, 69, 0, negative
48, 5, 88, 0, 46, 0, 40, 41, 2, negative
48, -3, 80, 0, 46, -5, 32, 34, 2, negative
51, -4, 84, 0, 50, -4, 34, 35, 2, negative
37, 0, 80, 0, 36, 5, 43, 44, 0, negative
38, 1, 92, 0, 28, 20, 54, 64, 10, negative
37, 0, 78, 0, 16, 11, 41, 63, 22, negative
37, 0, 77, 0, 38, 17, 39, 38, 0, negative
45, -1, 77, -5, 44, -8, 32, 33, 0, negative
41, 0, 106, 0, 38, 0, 65, 67, 2, negative
37, 0, 76, 4, 28, -6, 40, 48, 8, negative
48, 0, 87, 8, 46, 0, 39, 41, 2, negative
45, 2, 79, 0, 46, 29, 33, 32, 0, negative
37, 0, 95, 0, 28, 29, 58, 67, 8, negative
37, 0, 77, 0, 26, 0, 41, 52, 10, negative
37, 4, 81, 0, 36, -2, 43, 44, 2, negative
37, 0, 77, 0, 24, -16, 40, 54, 14, negative
37, 0, 77, 0, 6, -10, 40, 72, 32, negative
46, 0, 83, -1, 44, -25, 37, 39, 2, negative
43, 0, 81, -1, 42, -13, 37, 39, 2, negative
37, 0, 78, 0, 2, -13, 41, 75, 34, negative
37, 0, 77, 6, 36, -7, 39, 41, 2, negative
37, 0, 108, 2, 36, 0, 70, 71, 2, negative
43, -1, 77, 0, 42, 0, 34, 35, 2, negative
45, 0, 87, 2, 44, -19, 42, 43, 2, negative
51, -2, 77, 0, 50, -13, 26, 28, 2, negative
44, 0, 81, 0, 44, 21, 38, 37, 0, negative
37, 0, 105, -4, 16, -21, 68, 89, 22, negative
44, 0, 81, 0, 42, -18, 38, 40, 2, negative
