@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}


@data
0.867, 0.81, -1.0
-0.926, 0.694, -1.0
-0.617, 1.61, -1.0
-0.621, -1.12, -1.0
-0.672, 1.35, -1.0
-0.765, -1.13, -1.0
0.00425, 1.61, -1.0
-0.0853, -1.12, -1.0
1.77, 0.013, -1.0
-0.405, -1.25, -1.0
0.577, 0.628, -1.0
-1.15, 0.587, -1.0
-0.499, -0.766, -1.0
1.11, 0.0482, -1.0
-0.192, 1.66, -1.0
1.09, 1.03, -1.0
1.05, 1.07, -1.0
1.31, 0.17, -1.0
0.735, 0.932, -1.0
-0.652, 1.14, -1.0
1.24, 0.608, -1.0
-0.878, -1.16, -1.0
1.1, 0.131, -1.0
0.125, 2.16, -1.0
1.29, 0.622, -1.0
0.987, 0.858, -1.0
-1.01, 1.07, -1.0
1.09, 0.614, -1.0
0.552, 1.04, -1.0
-0.807, 1.12, -1.0
0.13, 1.41, -1.0
0.869, 0.576, -1.0
-0.64, -0.939, -1.0
-0.443, 1.02, -1.0
-0.532, 0.978, -1.0
1.15, 0.634, -1.0
-0.978, 0.931, -1.0
-1.1, -1.17, -1.0
0.178, -1.24, -1.0
-0.992, 1.4, -1.0
1.66, -0.402, -1.0
1.64, -0.152, -1.0
0.289, 1.01, -1.0
-0.739, 1.32, -1.0
0.387, -0.798, -1.0
1.41, -0.447, -1.0
1.05, 0.453, -1.0
-0.729, 1.5, -1.0
0.98, 0.766, -1.0
1.94, -0.65, -1.0
0.48, -1.1, -1.0
0.176, -1.11, -1.0
-0.516, -0.915, -1.0
1.71, 0.0217, -1.0
0.0558, 1.88, -1.0
0.415, -1.0, -1.0
1.01, 0.257, -1.0
-0.607, -1.6, -1.0
-1.21, -1.22, -1.0
-0.833, -1.23, -1.0
-0.0163, -1.07, -1.0
-0.439, 1.37, -1.0
0.721, 0.731, -1.0
-1.04, -1.07, -1.0
-0.132, -1.35, -1.0
0.351, -1.42, -1.0
0.64, 1.35, -1.0
1.55, 0.482, -1.0
0.851, 1.46, -1.0
-0.536, 1.13, -1.0
-0.828, -0.839, -1.0
-0.958, 0.812, -1.0
-0.396, 1.21, -1.0
-0.267, 1.37, -1.0
1.07, 0.646, -1.0
1.25, -0.202, -1.0
-0.852, 1.32, -1.0
0.893, 0.345, -1.0
1.24, 0.273, -1.0
-0.547, -1.31, -1.0
0.948, 1.41, -1.0
-0.434, -1.1, -1.0
1.53, 0.228, -1.0
0.427, 1.99, -1.0
0.933, 1.21, -1.0
1.64, -0.605, -1.0
1.36, 0.86, -1.0
0.33, -1.48, -1.0
0.235, -1.06, -1.0
-0.337, 1.85, -1.0
1.38, 0.698, -1.0
0.0194, -1.13, -1.0
1.18, -0.0513, -1.0
-0.761, -1.44, -1.0
1.42, -0.656, -1.0
-0.223, 1.04, -1.0
1.77, 0.109, -1.0
0.683, 1.07, -1.0
-0.695, 1.08, -1.0
-0.441, -1.45, -1.0
1.08, -0.133, -1.0
0.845, 0.766, -1.0
-0.524, -1.09, -1.0
-0.869, 1.38, -1.0
-1.59, 0.913, -1.0
1.46, -0.111, -1.0
-0.267, -0.896, -1.0
0.497, 1.27, -1.0
-0.747, -0.72, -1.0
1.34, 0.32, -1.0
-0.496, -1.09, -1.0
-0.565, -0.853, -1.0
-0.835, -1.06, -1.0
0.769, 0.855, -1.0
-2.98, -0.16, -1.0
0.522, 1.46, -1.0
-1.32, 1.12, -1.0
1.02, 0.729, -1.0
-1.03, 0.681, -1.0
-1.63, 0.293, -1.0
-1.58, 0.456, -1.0
0.271, -1.28, -1.0
1.53, 0.368, -1.0
-1.87, 0.373, -1.0
0.388, 1.72, -1.0
-0.745, 0.987, -1.0
0.41, 1.01, -1.0
-0.204, -1.54, -1.0
-0.341, 1.55, -1.0
-1.13, 1.01, -1.0
-0.16, -1.36, -1.0
-0.714, -1.36, -1.0
-0.783, -1.33, -1.0
-0.0247, -1.5, -1.0
-0.796, -1.63, -1.0
-1.32, 1.1, -1.0
-1.31, 0.916, -1.0
-0.137, 1.44, -1.0
-0.145, 1.67, -1.0
-0.0263, -1.35, -1.0
-0.235, -1.22, -1.0
0.0538, -1.01, -1.0
0.235, -1.05, -1.0
0.0066, -0.994, -1.0
0.844, 1.22, -1.0
0.388, 0.863, -1.0
-0.463, -1.01, -1.0
-0.581, 1.36, -1.0
-0.0476, -1.24, -1.0
0.479, 1.48, -1.0
-0.268, -1.26, -1.0
0.0893, -1.1, -1.0
0.941, 1.46, -1.0
0.529, 1.62, -1.0
-1.16, -1.01, -1.0
-0.653, -0.734, -1.0
-0.276, -1.19, -1.0
0.342, -0.701, -1.0
0.395, -1.04, -1.0
1.88, -0.289, -1.0
0.365, 0.632, -1.0
-0.66, 0.965, -1.0
0.134, -1.06, -1.0
-0.334, -1.34, -1.0
-0.969, 1.02, -1.0
1.36, -0.412, -1.0
0.61, 0.488, -1.0
1.22, 0.423, -1.0
0.139, -0.762, -1.0
-0.369, -0.984, -1.0
0.0852, -0.852, -1.0
-0.967, 0.592, -1.0
-0.945, -1.43, -1.0
0.722, 0.368, -1.0
0.244, 1.42, -1.0
-0.659, -1.27, -1.0
1.21, 0.752, -1.0
0.672, 2.03, -1.0
0.949, 0.422, -1.0
-0.372, -1.11, -1.0
-1.06, -0.937, -1.0
-0.226, -1.06, -1.0
-1.03, 1.01, -1.0
-0.843, -1.08, -1.0
-1.14, 0.693, -1.0
0.974, 0.512, -1.0
-2.09, 0.604, -1.0
-0.153, -1.2, -1.0
-1.67, 0.88, -1.0
1.8, 0.757, -1.0
1.24, 0.809, -1.0
0.0698, -1.25, -1.0
0.371, -1.23, -1.0
0.179, 1.87, -1.0
1.34, 0.0998, -1.0
0.751, 0.608, -1.0
1.22, 0.247, -1.0
-0.581, -1.27, -1.0
0.611, 0.978, -1.0
1.22, -0.345, -1.0
1.3, 0.739, -1.0
0.284, 2.31, -1.0
-1.67, 0.672, -1.0
-0.401, -1.17, -1.0
-0.0338, 1.52, -1.0
0.746, 0.991, -1.0
-1.55, 0.588, -1.0
-0.101, -0.765, -1.0
-0.531, -1.27, -1.0
0.595, 0.429, -1.0
-0.886, -1.27, -1.0
-0.134, -1.1, -1.0
-1.23, 0.89, -1.0
0.414, 1.16, -1.0
0.463, -1.28, -1.0
-0.0656, -1.57, -1.0
-1.73, 0.562, -1.0
0.136, -1.36, -1.0
0.953, 0.719, -1.0
0.0608, -1.23, -1.0
-0.0696, -0.896, -1.0
-0.166, -0.986, -1.0
-0.0699, -1.2, -1.0
0.143, -1.56, -1.0
0.675, 0.886, -1.0
1.16, 0.0489, -1.0
-0.379, -1.6, -1.0
-0.4, -1.37, -1.0
0.627, 0.234, -1.0
-1.43, 0.707, -1.0
1.18, 0.204, -1.0
-0.0677, 1.74, -1.0
-0.0611, -1.4, -1.0
-0.0261, -1.38, -1.0
-0.573, -0.88, -1.0
-0.211, -0.637, -1.0
-0.726, -1.17, -1.0
0.355, 2.08, -1.0
-0.0199, -1.32, -1.0
-0.753, 1.18, -1.0
-0.791, -1.43, -1.0
1.05, 0.472, -1.0
-1.14, 0.849, -1.0
-0.563, 1.29, -1.0
-0.366, -0.882, -1.0
-0.156, -1.16, -1.0
1.21, 0.354, -1.0
0.409, -1.15, -1.0
-0.594, -1.21, -1.0
0.417, -1.54, -1.0
1.23, 2.19, -1.0
-0.951, -1.3, -1.0
2.03, -0.427, -1.0
