@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}


@data
0.924, 0.861, -1.0
-0.851, 0.681, -1.0
-0.634, 1.65, -1.0
-0.711, -1.13, -1.0
-0.639, 1.28, -1.0
-0.762, -1.11, -1.0
-0.0819, 1.64, -1.0
-0.128, -1.14, -1.0
1.9, -0.0565, -1.0
-0.38, -1.27, -1.0
0.604, 0.555, -1.0
-1.12, 0.576, -1.0
-0.473, -0.749, -1.0
1.02, 0.0975, -1.0
-0.334, 1.63, -1.0
1.12, 1.01, -1.0
1.02, 0.976, -1.0
1.29, 0.23, -1.0
0.678, 0.961, -1.0
-0.67, 1.22, -1.0
1.25, 0.555, -1.0
-0.932, -1.15, -1.0
0.909, 0.118, -1.0
0.0935, 2.1, -1.0
1.27, 0.496, -1.0
0.986, 0.843, -1.0
-1.03, 1.18, -1.0
1.11, 0.57, -1.0
0.624, 1.1, -1.0
-0.753, 1.1, -1.0
0.144, 1.56, -1.0
0.804, 0.6, -1.0
-0.724, -0.973, -1.0
-0.527, 0.887, -1.0
-0.549, 1.03, -1.0
1.16, 0.654, -1.0
-1.08, 0.89, -1.0
-1.01, -1.23, -1.0
0.191, -1.29, -1.0
-1.07, 1.3, -1.0
1.66, -0.384, -1.0
1.57, -0.0908, -1.0
0.329, 1.11, -1.0
-0.803, 1.25, -1.0
0.372, -0.809, -1.0
1.68, -0.472, -1.0
1.01, 0.397, -1.0
-0.936, 1.81, -1.0
0.925, 0.895, -1.0
1.8, -0.811, -1.0
0.56, -1.05, -1.0
0.198, -1.19, -1.0
-0.481, -0.904, -1.0
1.64, 0.0477, -1.0
0.07, 1.7, -1.0
0.569, -0.858, -1.0
0.917, 0.231, -1.0
-0.558, -1.73, -1.0
-1.25, -1.47, -1.0
-0.798, -1.21, -1.0
-0.0314, -1.01, -1.0
-0.516, 1.46, -1.0
0.646, 0.778, -1.0
-0.932, -1.02, -1.0
-0.0868, -1.33, -1.0
0.445, -1.38, -1.0
0.605, 1.28, -1.0
1.49, 0.627, -1.0
0.838, 1.5, -1.0
-0.52, 1.2, -1.0
-0.861, -0.862, -1.0
-0.926, 0.916, -1.0
-0.413, 1.17, -1.0
-0.292, 1.32, -1.0
1.12, 0.626, -1.0
1.24, -0.145, -1.0
-0.892, 1.25, -1.0
0.822, 0.192, -1.0
1.19, 0.309, -1.0
-0.523, -1.31, -1.0
0.784, 1.39, -1.0
-0.402, -1.11, -1.0
1.45, 0.273, -1.0
0.405, 1.93, -1.0
1.03, 1.29, -1.0
1.78, -0.508, -1.0
1.31, 0.936, -1.0
0.249, -1.46, -1.0
0.26, -1.17, -1.0
-0.443, 1.86, -1.0
1.37, 0.625, -1.0
-0.0145, -1.15, -1.0
1.21, -0.132, -1.0
-0.724, -1.48, -1.0
1.33, -0.704, -1.0
-0.0845, 1.15, -1.0
1.83, 0.349, -1.0
0.655, 1.14, -1.0
-0.634, 1.08, -1.0
-0.49, -1.45, -1.0
0.955, -0.0158, -1.0
0.827, 0.755, -1.0
-0.567, -1.14, -1.0
-0.918, 1.44, -1.0
-1.57, 0.942, -1.0
1.47, -0.0578, -1.0
-0.246, -0.739, -1.0
0.395, 1.21, -1.0
-0.828, -0.82, -1.0
1.33, 0.335, -1.0
-0.489, -1.13, -1.0
-0.524, -0.857, -1.0
-0.786, -1.02, -1.0
0.786, 0.945, -1.0
-2.84, -0.177, -1.0
0.538, 1.38, -1.0
-1.41, 1.09, -1.0
1.03, 0.766, -1.0
-1.01, 0.768, -1.0
-1.59, 0.322, -1.0
-1.62, 0.593, -1.0
0.301, -1.29, -1.0
1.49, 0.365, -1.0
-1.98, 0.345, -1.0
0.379, 1.74, -1.0
-0.784, 0.969, -1.0
0.523, 1.05, -1.0
-0.226, -1.45, -1.0
-0.415, 1.48, -1.0
-1.25, 0.985, -1.0
-0.187, -1.38, -1.0
-0.642, -1.35, -1.0
-0.772, -1.38, -1.0
0.032, -1.5, -1.0
-0.888, -1.59, -1.0
-1.53, 1.21, -1.0
-1.36, 0.887, -1.0
-0.259, 1.52, -1.0
-0.129, 1.57, -1.0
0.0545, -1.32, -1.0
-0.236, -1.17, -1.0
0.0428, -1.04, -1.0
0.204, -1.06, -1.0
0.00273, -0.973, -1.0
0.866, 1.14, -1.0
0.35, 0.889, -1.0
-0.562, -1.01, -1.0
-0.769, 1.35, -1.0
0.0169, -1.22, -1.0
0.487, 1.45, -1.0
-0.188, -1.27, -1.0
-0.0397, -1.09, -1.0
1.13, 1.48, -1.0
0.551, 1.48, -1.0
-1.13, -1.06, -1.0
-0.706, -0.697, -1.0
-0.266, -1.2, -1.0
0.379, -0.755, -1.0
0.308, -1.06, -1.0
1.89, -0.243, -1.0
0.477, 0.791, -1.0
-0.685, 0.989, -1.0
0.117, -1.07, -1.0
-0.315, -1.3, -1.0
-0.956, 1.11, -1.0
1.35, -0.461, -1.0
0.424, 0.471, -1.0
1.23, 0.458, -1.0
0.246, -0.767, -1.0
-0.381, -0.959, -1.0
0.134, -0.922, -1.0
-0.704, 0.71, -1.0
-0.98, -1.49, -1.0
0.805, 0.42, -1.0
0.196, 1.27, -1.0
-0.724, -1.26, -1.0
1.07, 0.668, -1.0
0.632, 1.74, -1.0
1.03, 0.28, -1.0
-0.324, -1.03, -1.0
-1.2, -1.02, -1.0
-0.285, -1.1, -1.0
-0.944, 1.02, -1.0
-0.897, -0.972, -1.0
-1.07, 0.707, -1.0
0.935, 0.556, -1.0
-2.07, 0.0318, -1.0
-0.153, -1.22, -1.0
-1.78, 0.819, -1.0
1.63, 0.475, -1.0
1.12, 0.862, -1.0
0.088, -1.25, -1.0
0.373, -1.17, -1.0
0.137, 1.69, -1.0
1.29, 0.0437, -1.0
0.724, 0.706, -1.0
1.39, 0.155, -1.0
-0.568, -1.36, -1.0
0.536, 0.921, -1.0
1.12, -0.422, -1.0
1.44, 0.898, -1.0
-0.147, 1.85, -1.0
-1.59, 0.763, -1.0
-0.369, -1.14, -1.0
-0.0715, 1.41, -1.0
0.781, 1.08, -1.0
-1.52, 0.66, -1.0
-0.0527, -0.746, -1.0
-0.539, -1.21, -1.0
0.716, 0.487, -1.0
