@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class{-1.0,1.0}
@inputs At1,At2
@outputs Class
@data
0.888, 0.817, -1.0
-0.869, 0.634, -1.0
-0.643, 1.68, -1.0
-0.666, -1.1, -1.0
-0.632, 1.35, -1.0
-0.753, -1.08, -1.0
-0.071, 1.63, -1.0
-0.122, -1.14, -1.0
1.88, 0.116, -1.0
-0.392, -1.27, -1.0
0.463, 0.498, -1.0
-1.09, 0.531, -1.0
-0.43, -0.722, -1.0
1.08, 0.0163, -1.0
-0.337, 1.66, -1.0
1.22, 1.04, -1.0
1.02, 0.997, -1.0
1.35, 0.229, -1.0
0.713, 0.948, -1.0
-0.701, 1.17, -1.0
1.24, 0.554, -1.0
-0.89, -1.17, -1.0
0.957, 0.0986, -1.0
-0.0906, 2.01, -1.0
1.3, 0.555, -1.0
1.01, 0.865, -1.0
-1.07, 1.16, -1.0
1.04, 0.563, -1.0
0.595, 1.02, -1.0
-0.794, 1.07, -1.0
0.129, 1.52, -1.0
0.843, 0.634, -1.0
-0.715, -0.969, -1.0
-0.479, 0.91, -1.0
-0.497, 1.07, -1.0
1.19, 0.697, -1.0
-0.999, 0.906, -1.0
-1.0, -1.22, -1.0
0.205, -1.28, -1.0
-1.08, 1.31, -1.0
1.57, -0.389, -1.0
1.57, -0.114, -1.0
0.335, 1.15, -1.0
-0.717, 1.23, -1.0
0.404, -0.868, -1.0
1.57, -0.566, -1.0
1.07, 0.399, -1.0
-0.8, 1.66, -1.0
0.969, 0.921, -1.0
1.79, -0.834, -1.0
0.498, -1.02, -1.0
0.164, -1.18, -1.0
-0.471, -0.919, -1.0
1.65, 0.0404, -1.0
0.105, 1.77, -1.0
0.603, -1.0, -1.0
0.914, 0.26, -1.0
-0.566, -1.62, -1.0
-1.19, -1.32, -1.0
-0.803, -1.21, -1.0
-0.00264, -1.02, -1.0
-0.503, 1.35, -1.0
0.68, 0.739, -1.0
-0.982, -1.08, -1.0
-0.127, -1.33, -1.0
0.391, -1.42, -1.0
0.637, 1.25, -1.0
1.47, 0.486, -1.0
0.752, 1.58, -1.0
-0.526, 1.19, -1.0
-0.85, -0.92, -1.0
-0.824, 0.858, -1.0
-0.42, 1.11, -1.0
-0.259, 1.34, -1.0
1.16, 0.598, -1.0
1.27, -0.194, -1.0
-0.859, 1.26, -1.0
0.877, 0.161, -1.0
1.2, 0.298, -1.0
-0.497, -1.29, -1.0
0.831, 1.35, -1.0
-0.397, -1.1, -1.0
1.45, 0.273, -1.0
0.386, 1.92, -1.0
1.0, 1.17, -1.0
1.85, -0.558, -1.0
1.3, 1.04, -1.0
0.273, -1.45, -1.0
0.216, -1.12, -1.0
-0.436, 1.86, -1.0
1.35, 0.677, -1.0
-0.0127, -1.12, -1.0
1.22, -0.106, -1.0
-0.715, -1.49, -1.0
1.34, -0.689, -1.0
-0.167, 1.07, -1.0
1.74, 0.195, -1.0
0.7, 1.14, -1.0
-0.595, 1.09, -1.0
-0.486, -1.53, -1.0
0.981, -0.0572, -1.0
0.816, 0.762, -1.0
-0.567, -1.14, -1.0
-0.924, 1.45, -1.0
-1.48, 0.944, -1.0
1.46, -0.0465, -1.0
-0.298, -0.823, -1.0
0.494, 1.18, -1.0
-0.803, -0.782, -1.0
1.37, 0.428, -1.0
-0.487, -1.13, -1.0
-0.499, -0.858, -1.0
-0.784, -1.05, -1.0
0.778, 0.952, -1.0
-2.6, 0.217, -1.0
0.544, 1.41, -1.0
-1.41, 1.11, -1.0
1.05, 0.768, -1.0
-0.973, 0.712, -1.0
-1.43, 0.245, -1.0
-1.62, 0.468, -1.0
0.341, -1.32, -1.0
1.45, 0.398, -1.0
-2.06, 0.392, -1.0
0.311, 1.68, -1.0
-0.806, 0.941, -1.0
0.484, 1.04, -1.0
-0.269, -1.47, -1.0
-0.357, 1.51, -1.0
-1.19, 1.01, -1.0
-0.207, -1.37, -1.0
-0.69, -1.33, -1.0
-0.78, -1.37, -1.0
0.0154, -1.41, -1.0
-0.881, -1.59, -1.0
-1.31, 1.25, -1.0
-1.33, 0.897, -1.0
-0.285, 1.39, -1.0
-0.148, 1.6, -1.0
0.0432, -1.39, -1.0
-0.245, -1.18, -1.0
0.0624, -1.05, -1.0
0.226, -1.02, -1.0
-0.0264, -0.952, -1.0
0.941, 1.16, -1.0
0.126, 0.819, -1.0
-0.519, -1.0, -1.0
-0.729, 1.37, -1.0
-0.0232, -1.24, -1.0
0.373, 1.48, -1.0
-0.254, -1.27, -1.0
0.0291, -1.12, -1.0
1.18, 1.49, -1.0
0.514, 1.52, -1.0
-1.06, -1.07, -1.0
-0.648, -0.631, -1.0
-0.262, -1.2, -1.0
