@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class{-1.0,1.0}
@inputs At1,At2
@outputs Class
@data
0.975, 0.809, -1.0
-0.891, 0.593, -1.0
-0.665, 1.61, -1.0
-0.68, -1.07, -1.0
-0.634, 1.26, -1.0
-0.717, -1.03, -1.0
-0.0686, 1.72, -1.0
-0.153, -1.15, -1.0
1.75, 0.016, -1.0
-0.36, -1.28, -1.0
0.563, 0.661, -1.0
-1.16, 0.41, -1.0
-0.478, -0.796, -1.0
1.0, -0.0347, -1.0
-0.202, 1.64, -1.0
1.13, 1.07, -1.0
0.926, 0.972, -1.0
1.3, 0.175, -1.0
0.669, 0.98, -1.0
-0.634, 1.21, -1.0
1.15, 0.565, -1.0
-0.861, -1.21, -1.0
1.09, 0.155, -1.0
0.132, 2.0, -1.0
1.27, 0.433, -1.0
1.06, 0.842, -1.0
-1.04, 1.04, -1.0
1.07, 0.512, -1.0
0.673, 1.07, -1.0
-0.75, 1.14, -1.0
0.0941, 1.44, -1.0
0.819, 0.546, -1.0
-0.639, -0.938, -1.0
-0.515, 0.976, -1.0
-0.56, 1.06, -1.0
1.18, 0.766, -1.0
-0.954, 0.848, -1.0
-1.02, -1.29, -1.0
0.166, -1.25, -1.0
-0.912, 1.34, -1.0
1.58, -0.468, -1.0
1.56, -0.177, -1.0
0.408, 1.16, -1.0
-0.754, 1.19, -1.0
0.298, -0.878, -1.0
1.7, -0.489, -1.0
1.07, 0.438, -1.0
-0.928, 1.55, -1.0
0.857, 0.875, -1.0
2.01, -0.695, -1.0
0.446, -1.07, -1.0
0.174, -1.11, -1.0
-0.518, -0.914, -1.0
1.72, 0.0291, -1.0
0.0346, 1.7, -1.0
0.403, -0.997, -1.0
0.934, 0.32, -1.0
-0.486, -1.62, -1.0
-1.02, -1.43, -1.0
-0.834, -1.19, -1.0
-0.0341, -1.07, -1.0
-0.436, 1.45, -1.0
0.719, 0.759, -1.0
-0.948, -0.982, -1.0
-0.0659, -1.33, -1.0
0.374, -1.39, -1.0
0.639, 1.2, -1.0
1.43, 0.498, -1.0
0.826, 1.42, -1.0
-0.507, 1.24, -1.0
-0.93, -0.895, -1.0
-0.93, 0.758, -1.0
-0.542, 1.12, -1.0
-0.269, 1.37, -1.0
1.14, 0.494, -1.0
1.32, -0.144, -1.0
-0.795, 1.17, -1.0
0.802, 0.133, -1.0
1.22, 0.325, -1.0
-0.522, -1.34, -1.0
0.725, 1.39, -1.0
-0.435, -1.08, -1.0
1.39, 0.262, -1.0
0.284, 1.86, -1.0
0.97, 1.15, -1.0
1.72, -0.793, -1.0
1.38, 0.877, -1.0
