@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class{-1.0,1.0}
@inputs At1,At2
@outputs Class
@data
0.918, 0.82, -1.0
-0.872, 0.663, -1.0
-0.636, 1.72, -1.0
-0.668, -1.13, -1.0
-0.638, 1.32, -1.0
-0.734, -1.09, -1.0
-0.0461, 1.65, -1.0
-0.104, -1.15, -1.0
1.92, 0.0429, -1.0
-0.398, -1.28, -1.0
0.498, 0.567, -1.0
-1.12, 0.494, -1.0
-0.462, -0.707, -1.0
1.03, 0.0331, -1.0
-0.301, 1.69, -1.0
1.19, 0.997, -1.0
0.99, 1.02, -1.0
1.32, 0.218, -1.0
0.708, 0.961, -1.0
-0.675, 1.18, -1.0
1.22, 0.561, -1.0
-0.921, -1.19, -1.0
0.985, 0.114, -1.0
-0.0406, 2.09, -1.0
1.29, 0.525, -1.0
1.01, 0.829, -1.0
-1.04, 1.13, -1.0
1.07, 0.573, -1.0
0.602, 1.06, -1.0
-0.779, 1.09, -1.0
0.152, 1.53, -1.0
0.838, 0.603, -1.0
-0.709, -0.942, -1.0
-0.455, 0.868, -1.0
-0.496, 1.03, -1.0
1.16, 0.703, -1.0
-1.02, 0.883, -1.0
-1.02, -1.19, -1.0
0.195, -1.27, -1.0
-1.04, 1.33, -1.0
1.59, -0.378, -1.0
1.59, -0.111, -1.0
0.268, 1.14, -1.0
-0.749, 1.26, -1.0
0.368, -0.856, -1.0
1.55, -0.466, -1.0
1.05, 0.397, -1.0
-0.801, 1.78, -1.0
0.974, 0.877, -1.0
1.93, -0.842, -1.0
0.521, -1.04, -1.0
0.183, -1.16, -1.0
-0.474, -0.911, -1.0
1.67, 0.0877, -1.0
0.0745, 1.78, -1.0
0.548, -0.959, -1.0
0.942, 0.248, -1.0
-0.558, -1.67, -1.0
-1.2, -1.4, -1.0
-0.811, -1.21, -1.0
-0.0192, -1.03, -1.0
-0.496, 1.41, -1.0
0.651, 0.744, -1.0
-0.981, -1.04, -1.0
-0.111, -1.33, -1.0
0.428, -1.43, -1.0
0.659, 1.28, -1.0
1.5, 0.541, -1.0
0.8, 1.56, -1.0
-0.505, 1.17, -1.0
-0.847, -0.896, -1.0
-0.9, 0.858, -1.0
-0.432, 1.13, -1.0
-0.265, 1.28, -1.0
1.14, 0.607, -1.0
1.27, -0.159, -1.0
-0.855, 1.22, -1.0
0.904, 0.195, -1.0
1.19, 0.289, -1.0
-0.488, -1.31, -1.0
0.847, 1.4, -1.0
-0.405, -1.09, -1.0
1.45, 0.229, -1.0
0.335, 1.95, -1.0
1.09, 1.21, -1.0
1.82, -0.643, -1.0
1.31, 1.07, -1.0
0.282, -1.43, -1.0
0.24, -1.14, -1.0
-0.434, 1.98, -1.0
1.35, 0.644, -1.0
-0.0184, -1.13, -1.0
1.23, -0.0997, -1.0
-0.74, -1.53, -1.0
1.27, -0.685, -1.0
-0.183, 1.15, -1.0
1.78, 0.272, -1.0
0.686, 1.2, -1.0
-0.613, 1.1, -1.0
-0.476, -1.49, -1.0
0.912, -0.114, -1.0
0.809, 0.741, -1.0
-0.56, -1.12, -1.0
-1.06, 1.49, -1.0
-1.52, 0.946, -1.0
1.44, -0.0447, -1.0
-0.253, -0.809, -1.0
0.47, 1.21, -1.0
-0.827, -0.757, -1.0
1.33, 0.406, -1.0
-0.47, -1.12, -1.0
-0.466, -0.851, -1.0
-0.768, -1.04, -1.0
0.763, 0.921, -1.0
-2.56, -0.0784, -1.0
0.535, 1.4, -1.0
-1.41, 1.14, -1.0
1.04, 0.779, -1.0
-0.961, 0.755, -1.0
-1.53, 0.257, -1.0
-1.63, 0.524, -1.0
0.308, -1.34, -1.0
1.44, 0.358, -1.0
-2.03, 0.359, -1.0
0.311, 1.76, -1.0
-0.783, 0.931, -1.0
0.486, 1.05, -1.0
-0.238, -1.49, -1.0
-0.386, 1.5, -1.0
-1.21, 1.0, -1.0
-0.22, -1.38, -1.0
-0.666, -1.34, -1.0
-0.751, -1.37, -1.0
0.0114, -1.46, -1.0
-0.864, -1.56, -1.0
-1.43, 1.25, -1.0
-1.33, 0.878, -1.0
-0.31, 1.45, -1.0
-0.214, 1.58, -1.0
0.0394, -1.35, -1.0
-0.212, -1.18, -1.0
0.0479, -1.06, -1.0
0.187, -1.02, -1.0
-0.0107, -0.96, -1.0
0.904, 1.15, -1.0
0.272, 0.813, -1.0
-0.529, -1.02, -1.0
-0.697, 1.35, -1.0
-0.0198, -1.22, -1.0
0.409, 1.45, -1.0
-0.223, -1.28, -1.0
0.0116, -1.09, -1.0
1.22, 1.35, -1.0
0.553, 1.54, -1.0
-1.1, -1.13, -1.0
-0.737, -0.617, -1.0
-0.25, -1.23, -1.0
0.479, -0.821, -1.0
0.322, -1.04, -1.0
1.81, -0.218, -1.0
0.448, 0.71, -1.0
-0.738, 1.01, -1.0
0.0965, -1.1, -1.0
-0.278, -1.32, -1.0
-0.959, 1.08, -1.0
1.27, -0.441, -1.0
0.328, 0.553, -1.0
1.39, 0.504, -1.0
0.262, -0.673, -1.0
-0.357, -0.944, -1.0
0.129, -0.889, -1.0
-0.77, 0.637, -1.0
-1.06, -1.54, -1.0
0.803, 0.349, -1.0
0.189, 1.35, -1.0
-0.7, -1.25, -1.0
1.1, 0.74, -1.0
0.65, 1.86, -1.0
0.994, 0.348, -1.0
-0.367, -1.04, -1.0
-1.19, -0.976, -1.0
-0.287, -1.07, -1.0
-0.961, 1.0, -1.0
-0.826, -0.966, -1.0
-1.1, 0.737, -1.0
0.899, 0.538, -1.0
-2.25, 0.167, -1.0
-0.12, -1.22, -1.0
-1.82, 0.885, -1.0
1.61, 0.582, -1.0
1.16, 0.847, -1.0
0.087, -1.28, -1.0
0.303, -1.18, -1.0
0.191, 1.72, -1.0
1.27, 0.0842, -1.0
0.739, 0.673, -1.0
1.36, 0.258, -1.0
-0.566, -1.33, -1.0
0.552, 0.942, -1.0
0.73, -0.37, -1.0
1.4, 0.855, -1.0
-0.306, 2.28, -1.0
-1.63, 0.728, -1.0
-0.347, -1.15, -1.0
-0.012, 1.42, -1.0
0.813, 1.06, -1.0
-1.54, 0.643, -1.0
-0.0113, -0.78, -1.0
-0.529, -1.22, -1.0
0.764, 0.469, -1.0
-0.791, -1.26, -1.0
-0.109, -1.07, -1.0
-1.37, 0.928, -1.0
0.586, 1.15, -1.0
0.538, -1.25, -1.0
-0.129, -1.69, -1.0
-1.82, 0.474, -1.0
0.0967, -1.4, -1.0
0.893, 0.691, -1.0
0.017, -1.26, -1.0
-0.119, -0.842, -1.0
-0.234, -0.974, -1.0
-0.076, -1.12, -1.0
0.105, -1.67, -1.0
0.712, 0.837, -1.0
1.24, 0.00235, -1.0
-0.294, -1.54, -1.0
-0.364, -1.4, -1.0
0.395, 0.0856, -1.0
-1.49, 0.796, -1.0
1.14, 0.148, -1.0
-0.0931, 1.52, -1.0
-0.136, -1.41, -1.0
-0.0571, -1.5, -1.0
-0.76, -0.862, -1.0
-0.115, -0.719, -1.0
-0.811, -1.15, -1.0
0.176, 1.94, -1.0
-0.0554, -1.28, -1.0
-0.885, 1.05, -1.0
-0.655, -1.44, -1.0
1.08, 0.437, -1.0
-1.13, 0.654, -1.0
-0.397, 1.32, -1.0
-0.314, -0.72, -1.0
-0.203, -1.08, -1.0
1.18, 0.424, -1.0
0.413, -1.3, -1.0
-0.633, -1.18, -1.0
0.523, -1.38, -1.0
0.912, 2.1, -1.0
-0.855, -1.33, -1.0
1.85, -0.377, -1.0
-1.17, 1.08, -1.0
0.0551, 1.34, -1.0
0.163, -1.31, -1.0
0.404, -1.1, -1.0
-1.45, 0.377, -1.0
1.09, 0.299, -1.0
0.648, 1.41, -1.0
0.834, 1.24, -1.0
-0.617, -0.792, -1.0
-1.94, 0.832, -1.0
-0.0874, -0.948, -1.0
0.423, 1.74, -1.0
-1.37, 0.645, -1.0
-0.389, -1.32, -1.0
1.55, -0.00546, -1.0
0.515, 2.21, -1.0
1.44, 0.0946, -1.0
-0.596, -0.989, -1.0
0.143, 1.05, -1.0
-1.19, 0.309, -1.0
0.659, 0.913, -1.0
1.54, -0.749, -1.0
-0.995, -0.832, -1.0
0.0786, 1.63, -1.0
1.34, -0.261, -1.0
0.611, 0.649, -1.0
-0.457, -0.983, -1.0
1.64, -0.308, -1.0
-0.621, 1.52, -1.0
-0.951, 0.533, -1.0
1.88, -1.13, -1.0
0.386, 1.55, -1.0
0.0524, -0.853, -1.0
-1.69, -0.175, -1.0
-0.0685, 0.931, -1.0
-0.45, -1.59, -1.0
1.01, 0.48, -1.0
2.22, -2.04, -1.0
-1.62, 1.02, -1.0
1.98, 0.417, -1.0
0.834, -0.584, 1.0
-1.02, -0.469, 1.0
0.171, 2.11, 1.0
-0.176, -0.207, 1.0
0.606, 1.77, 1.0
0.428, -0.494, 1.0
-1.37, -0.803, 1.0
1.12, -0.659, 1.0
0.44, 0.246, 1.0
-1.84, -1.64, 1.0
0.115, 1.41, 1.0
-0.95, 0.144, 1.0
