@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}


@data
0.919, 0.798, -1.0
-0.878, 0.659, -1.0
-0.624, 1.75, -1.0
-0.688, -1.14, -1.0
-0.636, 1.35, -1.0
-0.755, -1.09, -1.0
-0.0605, 1.65, -1.0
-0.106, -1.14, -1.0
1.97, 0.041, -1.0
-0.414, -1.28, -1.0
0.485, 0.635, -1.0
-1.14, 0.488, -1.0
-0.494, -0.719, -1.0
1.02, 0.0541, -1.0
-0.265, 1.71, -1.0
1.16, 0.978, -1.0
0.996, 1.04, -1.0
1.31, 0.208, -1.0
0.707, 0.948, -1.0
-0.664, 1.18, -1.0
1.22, 0.541, -1.0
-0.954, -1.19, -1.0
0.981, 0.0921, -1.0
-0.0303, 2.11, -1.0
1.29, 0.488, -1.0
0.999, 0.811, -1.0
-0.994, 1.14, -1.0
1.07, 0.61, -1.0
0.604, 1.03, -1.0
-0.754, 1.1, -1.0
0.159, 1.51, -1.0
0.851, 0.598, -1.0
-0.705, -0.93, -1.0
-0.448, 0.91, -1.0
-0.504, 1.03, -1.0
1.15, 0.715, -1.0
-1.02, 0.849, -1.0
-1.02, -1.18, -1.0
0.194, -1.27, -1.0
-1.03, 1.31, -1.0
1.61, -0.387, -1.0
1.59, -0.0963, -1.0
0.275, 1.18, -1.0
-0.734, 1.25, -1.0
0.364, -0.858, -1.0
1.59, -0.522, -1.0
1.05, 0.409, -1.0
-0.784, 1.81, -1.0
0.974, 0.898, -1.0
1.97, -0.772, -1.0
0.527, -1.02, -1.0
0.202, -1.17, -1.0
-0.48, -0.913, -1.0
1.68, 0.113, -1.0
0.0722, 1.8, -1.0
0.517, -0.931, -1.0
0.923, 0.246, -1.0
-0.567, -1.7, -1.0
-1.12, -1.39, -1.0
-0.819, -1.21, -1.0
-0.0172, -1.03, -1.0
-0.539, 1.41, -1.0
0.636, 0.756, -1.0
-0.972, -1.06, -1.0
-0.109, -1.32, -1.0
0.431, -1.46, -1.0
0.656, 1.25, -1.0
1.47, 0.574, -1.0
0.829, 1.56, -1.0
-0.483, 1.16, -1.0
