@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class{-1.0,1.0}
@inputs At1,At2
@outputs Class
@data
0.931, 0.783, -1.0
-0.835, 0.671, -1.0
-0.68, 1.68, -1.0
-0.625, -1.14, -1.0
-0.676, 1.3, -1.0
-0.803, -1.09, -1.0
0.0114, 1.66, -1.0
-0.137, -1.16, -1.0
1.93, 0.165, -1.0
-0.383, -1.26, -1.0
0.449, 0.648, -1.0
-1.13, 0.6, -1.0
-0.412, -0.689, -1.0
1.08, -8.17E-4, -1.0
-0.269, 1.6, -1.0
1.11, 0.989, -1.0
1.08, 1.03, -1.0
1.37, 0.219, -1.0
0.72, 0.989, -1.0
-0.722, 1.19, -1.0
1.19, 0.594, -1.0
-0.964, -1.17, -1.0
0.983, 0.203, -1.0
0.0545, 2.0, -1.0
1.27, 0.589, -1.0
1.04, 0.816, -1.0
-0.983, 1.1, -1.0
1.1, 0.604, -1.0
0.617, 1.11, -1.0
-0.766, 1.06, -1.0
0.0529, 1.52, -1.0
0.883, 0.598, -1.0
-0.746, -0.93, -1.0
-0.542, 0.918, -1.0
-0.481, 1.09, -1.0
1.16, 0.776, -1.0
-1.04, 0.937, -1.0
-1.08, -1.17, -1.0
0.211, -1.28, -1.0
-0.96, 1.34, -1.0
1.54, -0.336, -1.0
1.57, -0.0786, -1.0
0.206, 1.19, -1.0
-0.777, 1.22, -1.0
0.318, -0.87, -1.0
1.47, -0.531, -1.0
1.08, 0.378, -1.0
-0.862, 1.53, -1.0
0.922, 0.93, -1.0
2.06, -0.893, -1.0
0.56, -1.02, -1.0
0.183, -1.21, -1.0
-0.45, -0.928, -1.0
1.62, 0.0564, -1.0
0.121, 1.72, -1.0
0.606, -0.877, -1.0
0.945, 0.309, -1.0
-0.508, -1.7, -1.0
-1.25, -1.28, -1.0
-0.817, -1.19, -1.0
-0.0237, -1.0, -1.0
-0.52, 1.35, -1.0
0.67, 0.784, -1.0
-0.965, -0.978, -1.0
-0.108, -1.3, -1.0
0.399, -1.48, -1.0
0.715, 1.3, -1.0
1.43, 0.57, -1.0
0.672, 1.57, -1.0
-0.536, 1.19, -1.0
-0.819, -0.943, -1.0
-0.874, 0.922, -1.0
-0.431, 1.21, -1.0
-0.26, 1.36, -1.0
1.06, 0.629, -1.0
