@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class{-1.0,1.0}
@inputs At1,At2
@outputs Class
@data
0.952, 0.836, -1.0
-0.869, 0.625, -1.0
-0.625, 1.65, -1.0
-0.652, -1.1, -1.0
-0.603, 1.3, -1.0
-0.736, -1.14, -1.0
-0.0536, 1.6, -1.0
-0.0785, -1.16, -1.0
1.98, -0.0252, -1.0
-0.411, -1.3, -1.0
0.615, 0.558, -1.0
-1.21, 0.488, -1.0
-0.421, -0.731, -1.0
0.994, 0.0734, -1.0
-0.317, 1.77, -1.0
1.16, 1.05, -1.0
0.948, 0.985, -1.0
1.3, 0.196, -1.0
0.677, 0.964, -1.0
-0.721, 1.19, -1.0
1.19, 0.554, -1.0
-0.942, -1.15, -1.0
0.908, 0.127, -1.0
-0.218, 2.09, -1.0
1.27, 0.493, -1.0
1.02, 0.858, -1.0
-1.04, 1.19, -1.0
1.09, 0.6, -1.0
0.657, 1.05, -1.0
-0.799, 1.11, -1.0
0.178, 1.49, -1.0
0.866, 0.612, -1.0
-0.756, -0.943, -1.0
-0.509, 0.912, -1.0
-0.536, 1.05, -1.0
1.11, 0.685, -1.0
-1.06, 0.917, -1.0
-1.04, -1.24, -1.0
0.21, -1.26, -1.0
-1.04, 1.27, -1.0
1.5, -0.38, -1.0
1.62, -0.131, -1.0
0.286, 1.23, -1.0
-0.794, 1.24, -1.0
0.345, -0.891, -1.0
1.45, -0.507, -1.0
1.05, 0.444, -1.0
-0.865, 1.6, -1.0
1.05, 0.899, -1.0
1.96, -0.709, -1.0
0.494, -1.01, -1.0
0.163, -1.13, -1.0
-0.486, -0.887, -1.0
1.63, 0.0545, -1.0
-0.00835, 1.76, -1.0
0.44, -0.936, -1.0
1.0, 0.254, -1.0
-0.575, -1.62, -1.0
-1.08, -1.39, -1.0
-0.813, -1.23, -1.0
-0.0418, -1.02, -1.0
-0.508, 1.48, -1.0
0.69, 0.745, -1.0
-1.02, -1.01, -1.0
-0.102, -1.31, -1.0
0.4, -1.39, -1.0
0.646, 1.23, -1.0
1.5, 0.637, -1.0
0.69, 1.57, -1.0
-0.534, 1.15, -1.0
-0.889, -0.884, -1.0
-0.876, 0.92, -1.0
-0.391, 1.1, -1.0
-0.203, 1.26, -1.0
1.18, 0.614, -1.0
1.22, -0.159, -1.0
-0.815, 1.18, -1.0
0.897, 0.294, -1.0
1.21, 0.306, -1.0
-0.455, -1.3, -1.0
0.77, 1.4, -1.0
-0.388, -1.08, -1.0
1.44, 0.276, -1.0
0.301, 2.01, -1.0
0.976, 1.24, -1.0
1.7, -0.554, -1.0
1.22, 1.13, -1.0
0.263, -1.48, -1.0
0.25, -1.1, -1.0
-0.285, 1.98, -1.0
1.3, 0.648, -1.0
-0.00698, -1.15, -1.0
