@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class{-1.0,1.0}
@inputs At1,At2
@outputs Class
@data
0.91, 0.864, -1.0
-0.826, 0.682, -1.0
-0.547, 1.71, -1.0
-0.634, -1.15, -1.0
-0.574, 1.32, -1.0
-0.785, -1.11, -1.0
-0.0939, 1.68, -1.0
-0.0583, -1.15, -1.0
1.8, 0.0607, -1.0
-0.415, -1.3, -1.0
0.56, 0.491, -1.0
-1.2, 0.455, -1.0
-0.511, -0.734, -1.0
1.07, 0.0877, -1.0
-0.271, 1.59, -1.0
1.18, 0.913, -1.0
0.904, 1.04, -1.0
1.3, 0.186, -1.0
0.724, 0.989, -1.0
-0.665, 1.23, -1.0
1.18, 0.585, -1.0
-0.858, -1.2, -1.0
0.996, 0.225, -1.0
0.133, 2.05, -1.0
1.26, 0.462, -1.0
1.03, 0.805, -1.0
-1.1, 1.16, -1.0
1.1, 0.604, -1.0
0.659, 1.07, -1.0
-0.824, 1.1, -1.0
0.121, 1.63, -1.0
0.833, 0.653, -1.0
-0.731, -0.906, -1.0
-0.555, 0.908, -1.0
-0.501, 1.1, -1.0
1.14, 0.647, -1.0
-1.02, 0.968, -1.0
-1.06, -1.24, -1.0
0.204, -1.29, -1.0
-1.09, 1.39, -1.0
1.63, -0.43, -1.0
1.6, -0.183, -1.0
0.196, 1.08, -1.0
-0.819, 1.26, -1.0
0.424, -0.84, -1.0
1.63, -0.539, -1.0
1.06, 0.443, -1.0
-0.834, 1.48, -1.0
0.923, 0.933, -1.0
1.95, -1.02, -1.0
0.527, -1.13, -1.0
0.23, -1.15, -1.0
-0.467, -0.945, -1.0
1.7, 0.157, -1.0
-0.00515, 1.75, -1.0
0.407, -0.94, -1.0
0.921, 0.3, -1.0
-0.597, -1.6, -1.0
-1.04, -1.42, -1.0
-0.779, -1.2, -1.0
-0.00634, -1.0, -1.0
-0.419, 1.4, -1.0
0.68, 0.702, -1.0
-0.897, -1.04, -1.0
-0.116, -1.36, -1.0
0.341, -1.43, -1.0
0.661, 1.2, -1.0
1.4, 0.541, -1.0
0.736, 1.64, -1.0
-0.491, 1.22, -1.0
-0.911, -0.908, -1.0
-0.904, 0.953, -1.0
-0.44, 1.22, -1.0
-0.355, 1.28, -1.0
1.21, 0.642, -1.0
1.25, -0.118, -1.0
-0.882, 1.29, -1.0
0.785, 0.173, -1.0
1.18, 0.334, -1.0
-0.44, -1.3, -1.0
0.803, 1.35, -1.0
-0.381, -1.08, -1.0
1.41, 0.258, -1.0
0.314, 1.84, -1.0
0.985, 1.16, -1.0
1.79, -0.459, -1.0
1.34, 0.878, -1.0
0.295, -1.36, -1.0
0.306, -1.13, -1.0
-0.35, 2.07, -1.0
1.29, 0.644, -1.0
0.016, -1.13, -1.0
1.22, -0.0172, -1.0
-0.769, -1.46, -1.0
1.27, -0.519, -1.0
-0.192, 1.04, -1.0
1.88, 0.325, -1.0
0.805, 1.21, -1.0
-0.651, 1.12, -1.0
-0.52, -1.52, -1.0
0.835, -0.0137, -1.0
0.85, 0.726, -1.0
-0.55, -1.07, -1.0
-1.29, 1.52, -1.0
-1.49, 0.885, -1.0
1.39, -0.013, -1.0
-0.291, -0.858, -1.0
0.527, 1.18, -1.0
-0.79, -0.823, -1.0
1.4, 0.43, -1.0
-0.468, -1.17, -1.0
-0.544, -0.831, -1.0
-0.84, -1.05, -1.0
0.784, 0.972, -1.0
-2.41, 0.26, -1.0
0.57, 1.42, -1.0
-1.46, 1.11, -1.0
0.99, 0.771, -1.0
-1.02, 0.675, -1.0
-1.62, 0.213, -1.0
-1.58, 0.588, -1.0
0.314, -1.25, -1.0
1.52, 0.356, -1.0
-1.96, 0.445, -1.0
0.196, 1.76, -1.0
-0.741, 0.979, -1.0
0.468, 0.986, -1.0
-0.239, -1.42, -1.0
-0.304, 1.5, -1.0
-1.21, 0.918, -1.0
-0.19, -1.42, -1.0
-0.733, -1.34, -1.0
-0.777, -1.33, -1.0
-0.0545, -1.45, -1.0
-0.936, -1.5, -1.0
-1.19, 1.23, -1.0
-1.29, 0.891, -1.0
-0.375, 1.36, -1.0
-0.151, 1.66, -1.0
-0.0117, -1.34, -1.0
-0.244, -1.2, -1.0
0.0966, -1.06, -1.0
0.177, -1.07, -1.0
0.0209, -0.973, -1.0
0.801, 1.14, -1.0
0.167, 0.87, -1.0
-0.514, -1.07, -1.0
-0.704, 1.46, -1.0
-0.0262, -1.18, -1.0
0.505, 1.45, -1.0
-0.243, -1.24, -1.0
0.0899, -1.09, -1.0
0.975, 1.48, -1.0
0.526, 1.48, -1.0
-1.25, -1.1, -1.0
-0.625, -0.675, -1.0
-0.302, -1.22, -1.0
0.258, -0.85, -1.0
0.357, -1.07, -1.0
1.79, -0.102, -1.0
0.357, 0.647, -1.0
-0.83, 0.993, -1.0
0.102, -1.03, -1.0
-0.342, -1.31, -1.0
-0.914, 1.07, -1.0
1.19, -0.404, -1.0
0.598, 0.484, -1.0
1.46, 0.651, -1.0
0.196, -0.779, -1.0
-0.381, -0.917, -1.0
0.157, -0.934, -1.0
-0.699, 0.755, -1.0
-0.995, -1.39, -1.0
0.848, 0.402, -1.0
0.291, 1.34, -1.0
-0.696, -1.2, -1.0
1.08, 0.839, -1.0
0.782, 1.8, -1.0
1.02, 0.44, -1.0
-0.3, -1.04, -1.0
-1.26, -0.912, -1.0
-0.228, -1.06, -1.0
-0.891, 1.0, -1.0
-0.768, -0.909, -1.0
-1.15, 0.771, -1.0
0.915, 0.611, -1.0
-1.74, 0.254, -1.0
-0.149, -1.2, -1.0
-1.7, 0.869, -1.0
1.52, 0.795, -1.0
1.24, 0.828, -1.0
0.0598, -1.26, -1.0
0.217, -1.21, -1.0
0.243, 1.61, -1.0
1.2, 0.0691, -1.0
0.8, 0.662, -1.0
1.29, 0.337, -1.0
-0.598, -1.35, -1.0
0.55, 0.857, -1.0
1.06, -0.232, -1.0
1.27, 0.775, -1.0
0.21, 2.18, -1.0
-1.6, 0.788, -1.0
-0.298, -1.16, -1.0
0.0175, 1.47, -1.0
0.792, 0.988, -1.0
-1.53, 0.679, -1.0
0.0681, -0.76, -1.0
-0.506, -1.2, -1.0
0.701, 0.564, -1.0
-0.88, -1.27, -1.0
-0.121, -1.05, -1.0
-1.34, 0.805, -1.0
0.545, 1.28, -1.0
0.484, -1.3, -1.0
-0.218, -1.63, -1.0
-1.7, 0.422, -1.0
0.16, -1.4, -1.0
0.93, 0.65, -1.0
-0.0531, -1.26, -1.0
-0.11, -0.911, -1.0
-0.188, -0.998, -1.0
-0.152, -1.11, -1.0
0.196, -1.71, -1.0
0.793, 0.836, -1.0
1.13, -0.0116, -1.0
-0.337, -1.45, -1.0
-0.43, -1.4, -1.0
0.582, 0.232, -1.0
-1.42, 0.728, -1.0
1.19, 0.19, -1.0
0.0284, 1.62, -1.0
-0.125, -1.48, -1.0
-0.0743, -1.38, -1.0
-0.568, -0.873, -1.0
0.0345, -0.691, -1.0
-0.865, -1.1, -1.0
0.0329, 1.88, -1.0
-0.0701, -1.23, -1.0
-1.08, 0.989, -1.0
-0.791, -1.44, -1.0
1.13, 0.429, -1.0
-1.21, 0.778, -1.0
-0.526, 1.26, -1.0
-0.314, -0.919, -1.0
-0.138, -1.03, -1.0
1.14, 0.376, -1.0
0.447, -1.18, -1.0
-0.614, -1.22, -1.0
0.51, -1.15, -1.0
0.874, 1.79, -1.0
-0.899, -1.25, -1.0
1.71, -0.289, -1.0
-1.14, 1.16, -1.0
0.14, 1.25, -1.0
0.226, -1.38, -1.0
0.651, -1.08, -1.0
-1.4, 0.475, -1.0
1.24, 0.342, -1.0
0.472, 1.37, -1.0
0.836, 0.849, -1.0
-0.599, -0.965, -1.0
-1.66, 0.835, -1.0
0.0311, -0.978, -1.0
0.533, 1.76, -1.0
-1.34, 0.717, -1.0
-0.452, -1.22, -1.0
1.46, 0.0665, -1.0
0.437, 2.35, -1.0
1.33, -0.0802, -1.0
-0.639, -1.04, -1.0
0.37, 1.03, -1.0
-1.28, 0.559, -1.0
0.598, 0.855, -1.0
1.71, -0.945, -1.0
-1.16, -0.641, -1.0
0.362, 1.59, -1.0
1.26, -0.25, -1.0
0.814, 0.817, -1.0
-0.484, -1.2, -1.0
1.19, -0.278, -1.0
-0.623, 1.24, -1.0
-0.674, 0.842, -1.0
2.59, -1.15, -1.0
0.318, 1.4, -1.0
0.0343, -1.18, -1.0
-1.69, 0.614, -1.0
0.361, 0.931, -1.0
-0.826, -1.67, -1.0
1.01, 0.677, -1.0
2.27, 0.284, -1.0
0.619, 1.65, -1.0
0.82, -0.514, 1.0
-1.05, -0.4, 1.0
0.137, 1.94, 1.0
-0.187, -0.267, 1.0
0.646, 1.82, 1.0
0.502, -0.536, 1.0
-1.44, -0.775, 1.0
1.2, -0.68, 1.0
0.409, 0.212, 1.0
-1.78, -1.58, 1.0
0.287, 1.45, 1.0
-0.994, 0.192, 1.0
-0.24, 1.72, 1.0
-1.45, -0.167, 1.0
-1.17, -0.073, 1.0
-0.55, 0.236, 1.0
-0.413, 0.0554, 1.0
0.703, -0.583, 1.0
-0.132, 1.68, 1.0
-0.532, 0.181, 1.0
1.02, -0.351, 1.0
-0.202, 0.712, 1.0
0.407, 1.67, 1.0
0.16, 0.189, 1.0
0.454, 1.48, 1.0
-1.53, 0.132, 1.0
-1.24, 0.323, 1.0
-1.36, -0.324, 1.0
-0.158, 0.358, 1.0
0.942, 1.89, 1.0
-0.19, 0.168, 1.0
-0.709, -0.262, 1.0
0.862, -1.24, 1.0
-1.89, -0.418, 1.0
-1.69, -1.2, 1.0
1.09, -1.1, 1.0
0.133, -0.568, 1.0
1.34, -1.8, 1.0
-0.66, -0.0708, 1.0
1.13, 1.38, 1.0
0.878, -0.856, 1.0
-1.44, 0.0919, 1.0
-0.462, -0.187, 1.0
-0.522, 0.877, 1.0
0.307, 0.12, 1.0
-1.07, 0.534, 1.0
0.32, -0.465, 1.0
0.244, -0.69, 1.0
-0.163, -0.398, 1.0
-1.58, -0.352, 1.0
1.15, -1.56, 1.0
-0.484, 0.615, 1.0
-1.28, -1.12, 1.0
1.15, 1.68, 1.0
1.46, -0.91, 1.0
-0.914, -0.522, 1.0
-1.31, -0.229, 1.0
-1.69, -0.176, 1.0
-1.66, -1.52, 1.0
2.03, 0.984, 1.0
0.923, -1.02, 1.0
-0.688, 0.709, 1.0
-1.43, -1.02, 1.0
-0.0839, 1.0, 1.0
1.24, -0.687, 1.0
0.0853, 0.789, 1.0
0.388, -0.0851, 1.0
0.478, 0.46, 1.0
-0.0433, 0.605, 1.0
1.32, -0.616, 1.0
1.16, -1.1, 1.0
0.408, -0.664, 1.0
-0.308, 2.19, 1.0
0.923, 1.54, 1.0
-1.12, -0.315, 1.0
1.03, 0.252, 1.0
-2.14, -1.59, 1.0
-0.856, -0.664, 1.0
-1.55, -1.02, 1.0
-0.61, 0.00888, 1.0
-0.291, 0.561, 1.0
-0.971, -0.906, 1.0
0.778, 1.44, 1.0
-1.11, 0.439, 1.0
0.298, 0.509, 1.0
1.41, 1.63, 1.0
-0.622, 0.804, 1.0
0.00295, -0.125, 1.0
0.637, 0.00536, 1.0
0.896, 0.36, 1.0
0.552, -0.199, 1.0
0.247, 0.41, 1.0
0.0725, 0.596, 1.0
-0.079, 0.227, 1.0
-1.18, -0.898, 1.0
0.408, 0.0673, 1.0
0.535, 0.504, 1.0
1.9, 1.27, 1.0
-1.74, -1.83, 1.0
1.01, -0.935, 1.0
1.31, -1.4, 1.0
-0.862, -0.0613, 1.0
1.8, 1.53, 1.0
-1.51, -0.626, 1.0
0.0271, 1.83, 1.0
0.791, 1.69, 1.0
-0.0897, -0.115, 1.0
-0.169, -0.601, 1.0
-0.235, 0.352, 1.0
-0.851, 0.189, 1.0
0.933, -0.277, 1.0
-1.01, -0.155, 1.0
