@relation glass5
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.51588824, 12.87795, 3.43036, 1.40066, 73.282, 0.68931, 8.04468, 0.0, 0.1224, negative
1.52212996, 14.20795, 3.82099, 0.46976, 71.77, 0.11178, 9.5726, 0.0, 0.0, negative
1.52222108, 13.21045, 3.7716, 0.79076, 71.9884, 0.13041, 10.2452, 0.0, 0.0, negative
1.51755118, 13.39, 3.65935, 1.1888, 72.7892, 0.57132, 8.27064, 0.0, 0.0561, negative
1.52099096, 13.68925, 3.592, 1.12139, 71.9604, 0.08694, 9.40044, 0.0, 0.0, negative
1.51793844, 13.21045, 3.47975, 1.41029, 72.638, 0.58995, 8.43204, 0.0, 0.0, negative
1.51215232, 12.991, 3.47077, 1.12139, 72.9796, 0.621, 8.34596, 0.0, 0.1581, negative
1.51761952, 13.88875, 3.60098, 1.35893, 72.7276, 0.47817, 7.82948, 0.0, 0.0, negative
1.51784732, 12.67845, 3.66833, 1.15991, 73.1084, 0.60858, 8.70104, 0.0, 0.0, negative
1.51720948, 13.3767, 3.5022, 1.15028, 72.8508, 0.50301, 8.43204, 0.0, 0.0, negative
1.51746006, 12.83805, 3.5022, 1.14065, 73.2708, 0.5589, 8.5504, 0.0, 0.0, negative
1.52210718, 13.72915, 3.83895, 0.72014, 71.7588, 0.16767, 9.74476, 0.0, 0.0, negative
1.51823458, 12.8713, 3.47975, 1.29152, 72.9516, 0.60237, 8.43204, 0.0, 0.0, negative
1.51919134, 14.417, 3.57853, 1.36856, 72.078, 0.5589, 8.30292, 0.0, 0.0, negative
1.51750562, 12.81145, 3.56955, 1.3493, 73.0188, 0.621, 8.59344, 0.0, 0.0, negative
1.51782454, 12.69175, 3.53812, 1.33967, 72.9516, 0.57132, 8.75484, 0.0, 0.0, negative
1.51793844, 12.7915, 3.5022, 1.12139, 73.03, 0.63963, 8.7656, 0.0, 0.0, negative
1.51837126, 13.1373, 2.84217, 1.27868, 72.8508, 0.55269, 9.06688, 0.0, 0.0, negative
1.5215149, 13.05085, 3.65037, 0.87101, 72.218, 0.19251, 9.85236, 0.0, 0.0867, negative
1.51595658, 12.7915, 3.60996, 1.61894, 72.9684, 0.63963, 8.0662, 0.0, 0.1326, negative
1.51734616, 13.0176, 3.53812, 1.68956, 72.7276, 0.54027, 8.4428, 0.0, 0.0357, negative
1.5177562, 12.85135, 3.47975, 1.23053, 72.9684, 0.60858, 8.56116, 0.09135, 0.1122, negative
1.5215149, 13.05085, 3.65037, 0.87101, 72.3188, 0.19251, 9.85236, 0.0, 0.0867, negative
1.51743728, 13.2969, 3.60098, 1.14065, 73.0916, 0.57753, 8.1738, 0.0, 0.0, negative
1.51910022, 13.88875, 3.52914, 1.32041, 71.8092, 0.50922, 8.77636, 0.11025, 0.0, negative
1.51869018, 13.1905, 3.37199, 1.17917, 72.722, 0.57132, 8.83016, 0.0, 0.0816, negative
1.52171992, 13.5097, 3.8614, 0.88064, 71.7924, 0.22977, 9.54032, 0.0, 0.0561, negative
1.51755118, 12.99765, 3.60098, 1.35893, 72.9908, 0.57132, 8.39976, 0.0, 0.0561, negative
1.51784732, 13.7745, 3.48873, 1.27868, 72.862, 0.60237, 8.48584, 0.0, 0.0, negative
1.5175284, 12.57205, 3.47077, 1.3814, 73.3884, 0.60237, 8.5504, 0.0, 0.0306, negative
1.5178701, 12.73165, 3.43036, 1.1888, 72.9516, 0.621, 8.75484, 0.0, 0.153, negative
1.52320062, 13.7225, 3.72221, 0.51149, 71.7476, 0.08694, 10.568, 0.0, 0.0816, negative
1.5229956, 13.3102, 3.57853, 0.81965, 71.9884, 0.11799, 10.17516, 0.0, 0.0153, negative
1.52101374, 13.6427, 4.49, 1.09892, 71.7812, 0.0621, 8.75484, 0.0, 0.0, negative
1.51750562, 12.8181, 3.55159, 1.49054, 72.75, 0.54027, 8.51812, 0.0, 0.0969, negative
1.52212996, 14.20795, 3.82099, 0.46976, 71.77, 0.11178, 9.5726, 0.0, 0.0, negative
1.51925968, 13.19715, 3.33158, 1.27868, 72.358, 0.60237, 9.1422, 0.0, 0.0561, negative
1.51618438, 13.52965, 3.55159, 1.53869, 72.9908, 0.39123, 7.77568, 0.0, 0.0, negative
1.51761952, 12.61195, 3.592, 1.31078, 73.2876, 0.57753, 8.4966, 0.0, 0.0, negative
1.51768786, 12.55875, 3.52016, 1.42955, 73.1476, 0.57132, 8.53964, 0.0, 0.0, negative
1.51796122, 12.7383, 3.47975, 1.3493, 72.9572, 0.63963, 8.67952, 0.0, 0.0, negative
1.51807512, 13.4299, 2.86911, 1.1888, 72.8396, 0.55269, 9.0346, 0.0, 0.0, negative
1.5215149, 13.11735, 3.57853, 0.8999, 72.2012, 0.22977, 9.82008, 0.0, 0.0816, negative
1.5174145, 13.2703, 3.61894, 1.24016, 73.0804, 0.55269, 8.0662, 0.0, 0.0, negative
1.51748284, 12.858, 3.56057, 1.26905, 73.2092, 0.54027, 8.37824, 0.0, 0.0867, negative
1.51736894, 12.7782, 3.61894, 1.29152, 72.7892, 0.58995, 8.70104, 0.0, 0.0, negative
1.51768786, 12.65185, 3.56057, 1.30115, 73.0804, 0.60858, 8.69028, 0.0, 0.0714, negative
1.51755118, 12.7117, 3.42138, 1.19843, 73.198, 0.58995, 8.63648, 0.0, 0.0, negative
1.51768786, 12.45235, 2.71196, 1.29152, 73.702, 0.5589, 9.05612, 0.0, 0.1224, negative
1.51905466, 13.6028, 3.61894, 1.10855, 72.638, 0.14283, 8.75484, 0.0, 0.0, negative
1.51766508, 13.21045, 3.69078, 1.29152, 72.61, 0.57132, 8.21684, 0.0, 0.0, negative
1.52226664, 14.16805, 3.81201, 0.78113, 71.35, 0.0, 9.69096, 0.0, 0.0, negative
1.51777898, 13.21045, 2.81074, 1.29152, 72.9796, 0.50922, 9.02384, 0.0, 0.459, negative
1.5219705, 14.3609, 3.84793, 0.89027, 71.3612, 0.14904, 9.15296, 0.0, 0.0, negative
1.5190091, 13.48975, 3.47975, 1.3493, 71.9492, 0.55269, 9.00232, 0.0, 0.0, negative
1.51848516, 13.6427, 3.87038, 1.26905, 71.9604, 0.54027, 8.32444, 0.0, 0.1632, negative
1.51818902, 13.7225, 0.0, 0.55964, 74.4524, 0.0, 10.99292, 0.0, 0.0, negative
1.51663998, 12.93115, 3.53812, 1.61894, 72.9572, 0.63963, 8.03392, 0.0, 0.1071, negative
1.51689056, 12.6718, 2.87809, 1.70882, 73.2092, 0.73278, 8.53964, 0.0, 0.0, negative
1.5266404, 11.22875, 0.0, 0.7715, 73.2092, 0.0, 14.6836, 0.0, 0.0, negative
1.51850794, 13.19715, 3.62792, 1.07003, 72.8284, 0.57132, 8.41052, 0.09135, 0.0867, negative
1.51812068, 12.95775, 2.95891, 1.42955, 72.918, 0.60237, 8.78712, 0.1386, 0.0, negative
1.51645774, 13.40995, 3.55159, 1.24979, 72.8116, 0.6831, 8.09848, 0.0, 0.0, negative
1.51629828, 12.7117, 3.33158, 1.49054, 73.282, 0.67068, 8.23836, 0.0, 0.0, negative
1.52725546, 13.8023, 3.15198, 0.65915, 70.5716, 0.08073, 11.63852, 0.0, 0.0, negative
1.51891798, 13.46315, 3.82997, 1.25942, 72.5484, 0.57132, 8.20608, 0.0, 0.0714, negative
1.51871296, 12.93115, 3.65935, 1.56116, 72.5092, 0.57753, 8.5504, 0.0, 0.0612, negative
1.52176548, 13.7491, 1.01025, 1.35893, 72.19, 0.32913, 11.14356, 0.0, 0.0, negative
1.51618438, 13.01095, 3.5022, 1.48091, 72.89, 0.60237, 8.12, 0.0, 0.0, negative
1.5160477, 12.8979, 3.43934, 1.44881, 73.58, 0.44091, 8.27064, 0.0, 0.0, negative
1.5170728, 13.7225, 3.6818, 1.81154, 72.0612, 0.63963, 7.88328, 0.0, 0.0, negative
1.51666276, 12.9378, 3.60996, 1.25942, 72.75, 0.5589, 8.6042, 0.0, 0.0, negative
1.51689056, 13.33015, 3.53812, 1.60931, 72.5428, 0.6831, 8.10924, 0.0, 0.0, negative
1.51645774, 13.4432, 3.60996, 1.53869, 72.3916, 0.65826, 8.03392, 0.0, 0.0, negative
1.5159338, 13.25035, 3.44832, 1.42955, 73.17, 0.60858, 7.86176, 0.0, 0.0, negative
1.51743728, 12.19965, 3.25076, 1.15991, 73.5508, 0.621, 8.89472, 0.0, 0.1224, negative
1.52474966, 11.4482, 0.0, 1.87895, 72.19, 0.8073, 13.24176, 0.0, 0.1734, negative
1.51828014, 13.23705, 3.90181, 1.41029, 72.33, 0.55269, 8.31368, 0.0, 0.051, negative
1.51789288, 13.1905, 3.90181, 1.30115, 72.33, 0.55269, 8.4428, 0.0, 0.1428, negative
1.51818902, 12.6186, 2.76135, 0.82928, 73.8084, 0.34776, 9.42196, 0.0, 0.102, negative
1.51846238, 13.0974, 3.96916, 1.1888, 72.442, 0.60237, 8.43204, 0.0, 0.0, negative
1.52080872, 13.78235, 2.28092, 1.42955, 71.9884, 0.49059, 9.85236, 0.0, 0.0867, negative
1.51711836, 12.89125, 3.61894, 1.57079, 72.9572, 0.60858, 8.10924, 0.0, 0.0, negative
1.51613882, 13.922, 3.52016, 1.24979, 72.8788, 0.3726, 7.93708, 0.0, 0.0714, negative
1.51591102, 12.858, 3.52016, 2.1197, 72.6604, 0.68931, 7.96936, 0.0, 0.0, negative
1.51841682, 13.0176, 3.61894, 1.0604, 72.3412, 0.63963, 9.13144, 0.0, 0.0765, negative
1.52408904, 13.8289, 2.90054, 1.16954, 71.1484, 0.08073, 10.78848, 0.0, 0.0, negative
1.5184396, 13.25035, 3.75813, 1.32041, 72.4028, 0.57753, 8.42128, 0.0, 0.0, negative
1.51812068, 13.4299, 3.97814, 1.17917, 72.4924, 0.57753, 8.15228, 0.0, 0.0, negative
1.51632106, 13.3368, 3.56955, 1.57079, 72.8676, 0.60858, 7.89404, 0.0, 0.0, negative
1.51645774, 13.4033, 3.48873, 1.51943, 72.6492, 0.67068, 8.07696, 0.0, 0.051, negative
1.52222108, 14.4274, 0.0, 0.99941, 72.6716, 0.09936, 11.52016, 0.0, 0.0408, negative
1.52739214, 11.0226, 0.0, 0.74903, 73.0804, 0.0, 14.96336, 0.0, 0.0, negative
1.51812068, 13.33015, 3.84793, 1.24979, 72.778, 0.52164, 8.12, 0.0, 0.0, negative
1.5166172, 12.85135, 3.51118, 1.43918, 73.0076, 0.6831, 8.2276, 0.5985, 0.1275, negative
1.51572878, 14.85965, 3.66833, 1.74092, 71.8708, 0.16146, 7.35604, 0.0, 0.0612, negative
1.51625272, 13.35675, 3.57853, 1.49054, 72.722, 0.44712, 8.20608, 0.0, 0.0, negative
1.51859906, 13.35675, 3.43036, 1.42955, 72.2628, 0.50922, 8.6042, 0.0, 0.0, negative
1.5173006, 12.3526, 2.72094, 1.62857, 72.8676, 0.70173, 9.22828, 0.0, 0.0, negative
1.51805234, 12.99765, 3.79854, 1.07966, 73.0692, 0.5589, 8.37824, 0.0, 0.0612, negative
1.51591102, 13.0176, 3.57853, 1.5098, 73.1196, 0.68931, 7.9586, 0.0, 0.0, negative
1.51568322, 13.23705, 3.48873, 1.47128, 73.2484, 0.37881, 8.03392, 0.0, 0.0, negative
1.53393, 12.2994, 0.0, 0.99941, 70.1628, 0.11799, 16.19, 0.0, 0.1224, negative
1.5277794, 12.63855, 0.0, 0.66878, 72.022, 0.0621, 14.40384, 0.0, 0.0, negative
1.51800678, 13.7092, 3.92875, 1.53869, 71.8092, 0.54027, 8.20608, 0.0, 0.0765, negative
1.51591102, 12.8181, 3.52016, 1.90142, 72.862, 0.68931, 7.96936, 0.0, 0.0, negative
1.5163894, 12.5521, 3.47975, 1.86932, 73.2316, 0.62721, 8.07696, 0.0, 0.459, negative
1.51591102, 13.23705, 3.34056, 1.47128, 73.0972, 0.39123, 8.21684, 0.0, 0.0, negative
1.51654886, 12.7516, 2.85115, 1.43918, 73.2708, 0.57132, 8.78712, 0.11025, 0.1122, negative
1.5167311, 13.2969, 3.64139, 1.52906, 72.5316, 0.65205, 8.03392, 0.0, 0.1479, negative
1.52176548, 13.19715, 3.6818, 1.15028, 72.75, 0.54027, 8.51812, 0.0, 0.0, negative
1.5167311, 12.8713, 3.56057, 1.64141, 73.142, 0.65205, 7.99088, 0.0, 0.0, negative
1.51595658, 13.0176, 3.56057, 1.53869, 73.1084, 0.72036, 7.9048, 0.0, 0.0, negative
1.51408862, 14.24785, 3.08912, 2.08118, 72.2796, 1.09917, 7.07628, 0.0, 0.0, negative
1.53124196, 10.73, 0.0, 2.10044, 69.81, 0.57753, 13.29556, 3.15, 0.1428, negative
1.52067204, 13.5496, 2.08785, 1.6703, 72.1788, 0.52785, 9.5726, 0.2709, 0.0867, negative
1.5167311, 12.7915, 3.52016, 1.53869, 73.3604, 0.65826, 7.9048, 0.0, 0.0, negative
1.5177562, 13.52965, 3.40791, 1.51943, 72.0388, 0.57753, 8.78712, 0.0, 0.0, negative
1.51609326, 13.33015, 3.52914, 1.33967, 72.6716, 0.5589, 8.3352, 0.0, 0.0, negative
1.51663998, 13.1373, 3.44832, 1.76018, 72.4812, 0.60237, 8.37824, 0.0, 0.0867, negative
1.52121876, 14.0284, 3.75813, 0.5789, 71.7924, 0.11178, 9.64792, 0.0, 0.0, negative
1.51645774, 13.03755, 3.39893, 1.25942, 73.0076, 0.52164, 8.58268, 0.0, 0.0, negative
1.51693612, 12.858, 3.57853, 1.31078, 72.61, 0.60858, 8.78712, 0.0, 0.0, negative
1.51796122, 13.50305, 3.35852, 1.62857, 71.938, 0.57132, 8.80864, 0.0, 0.459, negative
1.5193508, 13.6427, 3.53812, 0.74903, 72.6492, 0.16146, 8.89472, 0.1512, 0.1224, negative
1.51768786, 13.64935, 3.65935, 1.10855, 72.7724, 0.11178, 8.6042, 0.0, 0.0, negative
1.5183257, 13.33015, 3.34056, 1.53869, 72.1396, 0.5589, 8.99156, 0.0, 0.0, negative
1.51654886, 13.40995, 3.38995, 1.27868, 72.638, 0.52164, 8.64724, 0.0, 0.0, negative
1.51643496, 12.15975, 3.52016, 1.3493, 72.89, 0.57132, 8.52888, 0.0, 0.0, negative
1.5196925, 12.63855, 0.0, 1.65104, 73.7524, 0.37881, 11.53092, 0.0, 0.0, negative
1.51914578, 12.73165, 1.84988, 1.85969, 72.6884, 0.60237, 10.08908, 0.0, 0.0, negative
1.5151365, 14.00845, 2.68053, 3.5, 69.8884, 1.68291, 5.87116, 2.1987, 0.0, negative
1.51315464, 13.0176, 0.0, 3.04097, 70.482, 6.21, 6.95792, 0.0, 0.0, negative
1.52119598, 12.97105, 0.32777, 1.5098, 73.3884, 0.13041, 11.27268, 0.0, 0.1428, negative
1.5215149, 11.02925, 1.71069, 1.56116, 73.4388, 0.57753, 11.617, 0.0, 0.0, negative
1.5132002, 12.99765, 0.0, 3.0185, 70.7004, 6.21, 6.92564, 0.0, 0.0, negative
1.51666276, 12.858, 0.0, 1.8308, 73.8812, 0.96876, 10.17516, 0.0, 0.0, negative
1.523679, 13.4432, 0.0, 1.58042, 72.218, 0.32292, 12.24108, 0.0, 0.0, negative
1.52042146, 13.3767, 0.0, 1.40066, 72.2516, 0.32913, 12.49932, 0.0, 0.0, negative
1.51994308, 13.2703, 0.0, 1.76018, 73.03, 0.47196, 11.31572, 0.0, 0.0, negative
1.52058092, 12.85135, 1.61191, 2.17106, 72.1788, 0.75762, 9.70172, 0.2394, 0.2601, negative
1.5196925, 14.5604, 0.0, 0.55964, 73.478, 0.0, 11.21888, 0.0, 0.0, positive
1.51937358, 13.789, 2.41113, 1.1888, 72.7612, 0.0, 9.76628, 0.0, 0.0, positive
1.51828014, 14.46065, 2.24051, 1.61894, 72.3804, 0.0, 9.26056, 0.0, 0.0, positive
1.51853072, 14.08825, 2.19112, 1.66067, 72.6716, 0.0, 9.32512, 0.0, 0.0, positive
1.51299518, 14.4008, 1.74212, 1.53869, 74.5476, 0.0, 7.59276, 0.0, 0.0, positive
1.51905466, 14.0018, 2.38868, 1.56116, 72.3692, 0.0, 9.5726, 0.0, 0.0, positive
1.51916856, 14.1481, 0.0, 2.09081, 72.7388, 0.0, 10.88532, 0.0, 0.0, positive
1.51613882, 13.8821, 1.77804, 1.78907, 73.0972, 0.0, 8.66876, 0.75915, 0.0, negative
1.51509094, 15.15225, 0.0, 2.25131, 73.5004, 0.0, 8.3352, 0.63, 0.0, negative
1.52247166, 14.85965, 2.2001, 2.05871, 70.258, 0.75762, 9.75552, 0.0, 0.0, negative
1.51130946, 13.68925, 3.20137, 1.81154, 72.8116, 1.75743, 5.43, 1.1907, 0.0, negative
1.51556932, 13.8688, 0.0, 2.54021, 73.2316, 0.14283, 9.4112, 0.80955, 0.0051, negative
1.52315506, 13.4432, 3.34056, 1.23053, 72.3804, 0.60237, 8.83016, 0.0, 0.0, negative
1.51545542, 14.14145, 0.0, 2.68145, 73.3884, 0.08073, 9.06688, 0.6111, 0.0255, negative
1.5165033, 14.38085, 0.0, 1.93994, 73.6124, 0.0, 8.47508, 1.5687, 0.0, negative
1.51645774, 14.93945, 0.0, 1.86932, 73.1084, 0.0, 8.66876, 1.3797, 0.0, negative
1.5171867, 14.75325, 0.0, 2.00093, 73.0188, 0.0, 8.52888, 1.59075, 0.0408, negative
1.5161616, 14.95275, 0.0, 2.27057, 73.2988, 0.0, 8.7118, 0.67095, 0.0, negative
1.51711836, 14.2279, 0.0, 2.08118, 73.3604, 0.0, 8.61496, 1.6695, 0.0, negative
1.52365622, 15.79065, 1.83192, 1.31078, 70.4316, 0.3105, 8.61496, 1.67895, 0.0, negative
1.5151365, 14.853, 0.0, 2.42144, 73.7188, 0.0, 8.389, 0.5607, 0.0, negative
1.51622994, 14.2013, 0.0, 2.79059, 73.4612, 0.03726, 9.04536, 0.40005, 0.459, negative
1.51531874, 14.38085, 0.0, 2.65898, 73.0972, 0.03726, 9.07764, 0.63945, 0.0, negative
1.51609326, 15.126, 0.0, 2.51132, 73.0524, 0.04968, 8.83016, 0.5292, 0.0, negative
1.51830292, 14.3875, 0.0, 1.82117, 72.862, 1.40967, 6.47372, 2.8791, 0.0, negative
1.51602492, 14.853, 0.0, 2.37971, 73.282, 0.0, 8.75484, 0.63945, 0.459, negative
1.51727782, 14.70005, 0.0, 2.34119, 73.282, 0.0, 8.94852, 0.6615, 0.0, negative
1.51622994, 14.14145, 0.0, 2.88047, 72.61, 0.08073, 9.18524, 1.06155, 0.0, negative
1.51837126, 14.321, 3.25974, 2.21921, 71.2492, 1.45935, 5.78508, 1.62855, 0.0, negative
1.51657164, 14.7998, 0.0, 1.9913, 73.1084, 0.0, 8.2814, 1.71045, 0.0, negative
